 	cet	enfant	qui	pleure	dans	la	maison	n'	a	personne	pour	le	consoler	</S>
m	0.636608	0.318813	0.00713062	0.00051456	0.00190372	0.00833514	0.00792986	0.0137534	0.00039998	0.000173549	0.00063178	0.00206456	0.00162919	0.000112604
w	0.0476795	0.936179	0.0134272	0.000207349	0.000417239	0.000509449	0.000148838	0.000161454	0.000176168	7.93869e-05	0.000252186	0.000459331	4.86853e-05	0.000254477
á	0.014715	0.983354	0.000944142	4.19958e-05	0.000187721	0.000383625	0.000170584	7.69754e-05	5.28241e-05	1.09651e-05	1.97104e-05	1.75818e-05	1.59968e-05	9.17524e-06
n	0.278733	0.699434	0.008432	0.000437593	0.00113339	0.00191148	0.00108554	0.00136857	0.000736835	0.000346864	0.000446219	0.000823539	0.000744011	0.00436628
a	0.0460584	0.67514	0.0867932	0.00414149	0.0203313	0.0214157	0.0295595	0.0140387	0.0356068	0.00990653	0.00927482	0.00756983	0.00148959	0.0386747
y	0.545979	0.0890756	0.304053	0.00495548	0.00737357	0.00710327	0.00445952	0.00654491	0.0048106	0.00355396	0.00503885	0.0105966	0.000721896	0.00573367
e	0.34909	0.138596	0.325032	0.00301521	0.0196148	0.0238529	0.0329498	0.0406556	0.039012	0.0111627	0.00296251	0.00198286	0.000931048	0.0111419
é	0.157011	0.0956892	0.597473	0.00604856	0.0270432	0.03543	0.0365243	0.0159342	0.00782964	0.0024945	0.0021846	0.00365877	0.000877756	0.0118013
l	0.0111073	0.0289184	0.176305	0.573041	0.0974853	0.0128343	0.00641165	0.00404802	0.00855059	0.0102826	0.0192756	0.00991323	0.00471384	0.0371128
e	0.00159168	0.00106543	0.0317918	0.641717	0.116043	0.0186375	0.00158044	0.00709365	0.013686	0.0308748	0.0587303	0.0207831	0.00281626	0.0535885
á	0.0132779	0.00476908	0.0554821	0.724569	0.120912	0.0177941	0.00414551	0.00203579	0.00217681	0.00584678	0.0137502	0.00625044	0.00290852	0.0260814
s	0.00849536	0.00861708	0.0842916	0.00728152	0.313052	0.259074	0.206934	0.029171	0.0188874	0.0105593	0.0168392	0.0202831	0.00151479	0.0149995
á	0.00324826	0.00164406	0.012232	0.00298191	0.299677	0.470964	0.132518	0.0313401	0.0186563	0.00351903	0.00444284	0.00297605	0.00126153	0.0145396
n	0.00265009	0.000922471	0.00709	0.000485777	0.0464676	0.390388	0.366215	0.0954991	0.0438421	0.0137747	0.00564217	0.00746374	0.00728409	0.0122755
d	0.00053649	0.000971302	0.00457274	5.4299e-05	0.0132521	0.109714	0.864174	0.00189432	0.00141153	0.000233828	0.000352508	0.000577036	0.000598334	0.00165735
é	0.00032278	0.00112067	0.00235186	9.95038e-05	0.0213626	0.111203	0.85227	0.0035362	0.00434464	0.000557928	0.000319896	0.00025185	0.000822349	0.00143642
e	0.00238325	0.00126848	0.0682355	0.00519086	0.107012	0.218647	0.228804	0.0921536	0.0587765	0.0278607	0.0264925	0.0305734	0.0997897	0.0328125
w	0.00199841	0.000726999	0.0267568	0.00259236	0.0512748	0.112775	0.0847082	0.270299	0.155354	0.100492	0.0820067	0.0543929	0.0212014	0.0354206
ó	0.00373656	0.000425871	0.0182516	0.00957679	0.0630961	0.0982097	0.0340152	0.0901947	0.175941	0.172741	0.0806722	0.0481257	0.0832445	0.121769
á	0.0006439	8.57523e-05	0.00744802	0.00551805	0.0188461	0.0237754	0.00875645	0.11151	0.128662	0.267923	0.0880909	0.0198412	0.0720569	0.246843
m	0.000636377	0.000109329	0.00334901	0.0154204	0.013909	0.00530005	0.00245324	0.0223009	0.122636	0.168797	0.303672	0.158204	0.0856966	0.0975158
i	0.00081395	0.000172303	0.0111535	0.000515164	0.00667498	0.0108915	0.00196583	0.0152115	0.126684	0.292655	0.322383	0.135765	0.0107009	0.0644139
k	0.00091275	5.7249e-05	0.00212435	0.012356	0.00872487	0.00753268	0.00223702	0.00809304	0.0489103	0.229556	0.351786	0.121288	0.120545	0.085877
á	3.19832e-05	1.87196e-05	0.00021958	0.00387812	0.00189756	0.000785087	7.98028e-05	0.00458437	0.00749176	0.0848263	0.140181	0.045775	0.644772	0.0654591
m	0.000574747	2.7428e-05	0.000442089	0.00233764	0.00295315	0.00414642	0.000373767	0.0154886	0.0613502	0.289607	0.19775	0.0786874	0.296999	0.0492623
b	0.000681837	6.62159e-05	0.000580375	0.000497868	0.00499002	0.0397108	0.00530499	0.0436123	0.0579345	0.0957087	0.247206	0.136569	0.117872	0.249265
á	0.00159347	0.000644421	0.00150026	0.000741679	0.00612699	0.0284677	0.00830701	0.0207727	0.0133285	0.0346304	0.0645535	0.0518229	0.165313	0.602198
o	0.00201154	0.00051645	0.00478635	0.000212279	0.00782473	0.0194868	0.0122725	0.115459	0.115159	0.051323	0.171632	0.298945	0.0284201	0.171952
k	0.000280521	6.04724e-05	0.00792821	0.00772653	0.0138728	0.00493945	0.00034544	0.00393525	0.017356	0.0774908	0.217325	0.175386	0.418246	0.0551075
ώ	5.1226e-05	4.26398e-05	0.00028035	0.00349297	0.00117984	0.000352119	2.7108e-05	0.00105294	0.00131682	0.018044	0.0795588	0.0806006	0.779525	0.0344754
n	0.00012137	1.78405e-05	0.000165983	0.000959572	0.000480518	0.000346347	2.0383e-05	0.00234929	0.00279166	0.0323459	0.0564541	0.0343712	0.833128	0.0364481
g	0.000191109	0.000144317	0.000506966	0.000817713	0.00144733	0.00174202	0.000414334	0.0263103	0.0397451	0.0593746	0.134963	0.125996	0.494429	0.113919
i	0.000987824	0.00129093	0.00138513	0.000111241	0.00133892	0.00777796	0.00389698	0.0305138	0.0202352	0.012501	0.0374287	0.0752527	0.738835	0.0684451
s	0.00141569	5.5955e-05	0.000791562	0.000198253	0.00323797	0.0101154	0.00133369	0.0140053	0.00382799	0.0146968	0.106042	0.108471	0.100347	0.635462
i	0.00777438	0.00026006	0.00309252	0.000331844	0.0160308	0.0446218	0.00393886	0.034885	0.0222294	0.0353961	0.109302	0.17392	0.287586	0.260631
</S>	0.0257469	0.000483526	0.0179027	0.000388007	0.0397525	0.0289392	0.00241923	0.0484219	0.0388981	0.0143201	0.0735932	0.4218	0.011239	0.276096
