 	il	va	acheter	une	boîte	d'	allumettes	</S>
w	0.684284	0.265066	0.00165853	0.019706	0.0114389	0.0142724	0.00296512	0.000609188
a	0.615874	0.354433	0.00340898	0.00753042	0.00430677	0.0121098	0.00190955	0.000427277
l	0.232366	0.497229	0.079821	0.110731	0.0133725	0.0538814	0.00452984	0.00806942
á	0.184727	0.237411	0.0945555	0.0874462	0.0289566	0.0675222	0.0196987	0.279683
a	0.265739	0.388249	0.0781297	0.0606129	0.0093562	0.0336905	0.031179	0.133043
s	0.0115053	0.0419779	0.883758	0.025601	0.0235935	0.00601135	0.00189449	0.00565853
ó	0.00155422	0.00616283	0.985049	0.00164487	0.0050583	0.000221175	2.98816e-05	0.000280032
m	0.201935	0.154077	0.516424	0.091454	0.0113074	0.0114466	0.00284581	0.0105108
b	0.105769	0.107073	0.231586	0.442734	0.0268702	0.0389953	0.00711293	0.0398593
á	0.0487393	0.0923795	0.0571123	0.281562	0.079555	0.0638069	0.0128779	0.363967
i	0.0264877	0.0302259	0.0198474	0.671109	0.167835	0.0644233	0.00935077	0.0107207
b	0.0133845	0.0137473	0.00769804	0.258786	0.493058	0.0900692	0.082319	0.0409375
v	0.00732218	0.00864389	0.00333669	0.0514486	0.846256	0.0513635	0.0226139	0.00901539
é	0.000474921	0.0015321	0.00201623	0.0318477	0.932493	0.0228511	0.00586342	0.00292148
é	0.00364983	0.00502122	0.00349485	0.128686	0.443103	0.211675	0.057067	0.147303
l	0.00157595	0.00174812	0.00179334	0.151485	0.331008	0.406437	0.0441633	0.0617896
á	0.00746615	0.00284789	0.00368973	0.0496897	0.0746527	0.171972	0.0808194	0.608862
a	0.0246864	0.0141857	0.00532335	0.0675633	0.0845127	0.250844	0.445554	0.10733
l	0.00110816	0.0028972	0.0137581	0.0200236	0.174795	0.319648	0.44532	0.0224494
i	0.000507951	0.00340552	0.0696708	0.0167791	0.37616	0.182537	0.330739	0.020201
m	4.04919e-05	0.000559999	0.0059404	0.0253193	0.235032	0.278992	0.394227	0.0598885
έ	0.00175261	0.00326166	0.00108899	0.0278964	0.0516126	0.35414	0.3666	0.193648
t	0.00108299	0.000999388	0.000110372	0.020338	0.0176658	0.223905	0.260906	0.474993
i	0.0152233	0.00552613	0.000312374	0.0166666	0.00600198	0.119821	0.691718	0.144731
</S>	0.000715064	0.00105923	0.000349633	0.0103174	0.0106786	0.125786	0.503194	0.347899
