 	il	n'	y	a	pas	beaucoup	de	blancs	dans	notre	ville	</S>
i	0.136568	0.0537181	0.0708571	0.0817331	0.0463204	0.0388589	0.0895483	0.184278	0.249075	0.038185	0.00333375	0.00752494
b	0.00829896	0.0341486	0.0138326	0.0306701	0.0277197	0.0590674	0.118062	0.280429	0.359692	0.0122077	0.0273253	0.028547
o	0.0122912	0.0171253	0.00956894	0.0209861	0.00635823	0.0171984	0.128084	0.417596	0.216499	0.0911634	0.012251	0.0508774
n	0.00719591	0.0245669	0.0186395	0.0190248	0.00675322	0.0327289	0.183056	0.38282	0.100752	0.0101604	0.064087	0.150215
g	0.0800777	0.0399309	0.0279556	0.0221381	0.0612358	0.0792369	0.156485	0.132048	0.157088	0.0424992	0.064379	0.136925
a	0.302922	0.104074	0.0377489	0.0143637	0.021856	0.0246372	0.0723363	0.0973778	0.156384	0.0569163	0.0696789	0.0417056
l	0.108331	0.119734	0.265948	0.116086	0.0661899	0.0829204	0.0827273	0.0708935	0.0393043	0.0115382	0.00341503	0.0329131
á	0.147237	0.096817	0.0684334	0.0350488	0.0338456	0.0261773	0.0224736	0.0174586	0.0379063	0.0497428	0.0427141	0.422145
b	0.186847	0.0412196	0.133647	0.0501364	0.0483908	0.0430083	0.0556602	0.0324504	0.0938407	0.261133	0.0255113	0.0281562
í	0.0369908	0.0124702	0.0128338	0.0114457	0.00910003	0.00812142	0.0115344	0.00796069	0.0469549	0.823473	0.0114416	0.00767358
s	0.0991286	0.0283502	0.0478607	0.0503639	0.0261659	0.0163848	0.0447046	0.0360496	0.0912576	0.529124	0.00814793	0.0224625
í	0.0313459	0.0180093	0.0167703	0.0200601	0.0205344	0.0134231	0.0266346	0.0198643	0.0706084	0.46232	0.0280963	0.272333
í	0.00677015	0.0289562	0.108323	0.0949185	0.101028	0.156418	0.111581	0.0975773	0.12657	0.0459417	0.052638	0.0692781
d	0.00881123	0.0315779	0.0323201	0.0327878	0.0919665	0.166745	0.0888834	0.0581731	0.111978	0.0718285	0.142085	0.162843
í	0.000450022	0.00171316	0.00171506	0.00164502	0.010077	0.0232514	0.0111077	0.00788044	0.0557641	0.0486996	0.145781	0.691915
i	0.00149312	0.0033946	0.0174663	0.0165691	0.141102	0.227116	0.125701	0.0889946	0.135012	0.0669611	0.0741907	0.102
b	0.00356411	0.00758079	0.00776853	0.00900013	0.0398657	0.0851279	0.0849605	0.069444	0.0755829	0.0869274	0.200627	0.329551
a	0.0042441	0.0127676	0.010906	0.0139539	0.0509707	0.0972329	0.0822377	0.0539554	0.20437	0.230638	0.0279032	0.210821
a	0.000371682	0.00113565	0.00239408	0.00429199	0.0412496	0.0852713	0.161147	0.160977	0.176461	0.0473364	0.0114202	0.307944
m	0.00133834	0.00393128	0.0133028	0.00833978	0.0329269	0.0781744	0.0743766	0.0700999	0.168362	0.162776	0.091036	0.295336
i	0.00655705	0.0037242	0.00702628	0.00462631	0.0113509	0.0143682	0.04391	0.0475631	0.0935246	0.10746	0.135215	0.524675
i	0.00101435	0.00288579	0.00575635	0.00527648	0.0286833	0.0539174	0.0666528	0.0568458	0.0841403	0.0476127	0.0860363	0.561179
y	0.00167997	0.00604285	0.00728275	0.00688002	0.00863405	0.0213935	0.023134	0.0230672	0.018777	0.03685	0.104228	0.742031
í	0.000899861	0.00317406	0.0027264	0.00153844	0.0058296	0.0157535	0.00863999	0.00926754	0.0228668	0.0545086	0.47503	0.399766
í	0.000253145	0.000307406	0.00127259	0.00080808	0.0059902	0.0104796	0.005547	0.0071185	0.0401432	0.11345	0.090913	0.723718
k	0.00187475	0.00346682	0.0182418	0.0110419	0.015248	0.0184521	0.0136522	0.0126432	0.0268179	0.187819	0.10046	0.590282
a	0.000967918	0.00607349	0.00889864	0.0202106	0.0352345	0.0276045	0.0276953	0.0331251	0.123243	0.394313	0.0148513	0.307782
á	0.000410782	0.00073979	0.00219248	0.00271908	0.00802995	0.0142098	0.0223151	0.0262668	0.107392	0.17302	0.0204871	0.622217
</S>	0.00279434	0.00399813	0.0113917	0.01027	0.00833858	0.0125023	0.0117574	0.00938123	0.024274	0.118639	0.0763466	0.710306
