 	c'	est	dieu	qui	délivre	les	hommes	des	maladies	</S>
n	0.382242	0.203826	0.335494	0.0198157	0.00268249	0.0294665	0.0223636	0.00297872	0.000894668	0.000236414
z	0.197535	0.013696	0.768806	0.0145941	0.000856596	0.00317123	0.000112317	0.000704165	0.0004502	7.42965e-05
a	0.013759	0.0150778	0.95506	0.00287387	0.00700105	0.00363388	0.000849135	0.000487978	0.000932435	0.000325249
m	0.0939916	0.286077	0.479446	0.0360868	0.0404391	0.0180757	0.00301511	0.00607928	0.00688492	0.0299046
b	0.218157	0.194351	0.259829	0.25187	0.0109225	0.0381871	0.00710644	0.00353096	6.54682e-05	0.0159793
é	0.0868127	0.221895	0.524766	0.0647935	0.00902665	0.024311	0.0136895	0.00955721	0.00162714	0.0435208
a	0.118845	0.151754	0.0782319	0.500022	0.0309561	0.0148364	0.0109441	0.0329512	0.00198503	0.0594746
d	0.0578634	0.161197	0.159237	0.289579	0.0929425	0.0188506	0.0267149	0.083591	0.00630052	0.103724
í	0.0110828	0.0280088	0.178079	0.371078	0.146426	0.0207106	0.00641136	0.0547823	0.0012161	0.182205
o	0.0115257	0.0318257	0.096094	0.277618	0.19417	0.10427	0.0409506	0.0968568	0.00716835	0.13952
s	0.00108572	0.00458487	0.0172866	0.0331094	0.901397	0.01445	0.0141072	0.00303977	0.00657831	0.00436157
u	0.000328698	0.000402161	0.0137886	0.00456687	0.974372	0.000867445	0.00138005	0.00054906	0.000872529	0.00287217
n	0.00767324	0.00507004	0.0428037	0.0973135	0.784701	0.0277712	0.00633192	0.00351913	0.00142478	0.0233915
g	0.00399507	0.0141353	0.0569138	0.041821	0.76612	0.0640185	0.0157898	0.00479903	0.00116224	0.0312448
u	0.0113369	0.0185337	0.161799	0.0813887	0.29294	0.342811	0.0363204	0.00786897	0.0141753	0.0328259
b	0.00316449	0.00465516	0.0189826	0.187085	0.1844	0.486073	0.0633611	0.0288448	0.0044607	0.0189731
a	0.00280848	0.00324969	0.0072521	0.0668894	0.0349681	0.499195	0.310974	0.0446803	0.00450683	0.0254759
r	0.000753972	0.0016678	0.00401361	0.0350484	0.00915708	0.458572	0.369481	0.0352606	0.00991968	0.0761254
e	0.00270506	0.00409024	0.0700659	0.0746369	0.16008	0.371817	0.106172	0.0724101	0.0191755	0.118847
l	0.000683616	0.000975967	0.00164673	0.111346	0.0501165	0.377306	0.142861	0.259526	0.0070689	0.0484694
a	0.00624435	0.00666481	0.00247235	0.0449473	0.052932	0.0751814	0.133138	0.217633	0.0792315	0.381555
k	0.00470132	0.0020996	0.00155634	0.0209841	0.0455391	0.103625	0.112389	0.158372	0.421487	0.129246
ω	0.00130093	0.00301362	0.00326659	0.013109	0.0810903	0.0452973	0.274967	0.102953	0.444097	0.0309041
n	3.14992e-05	0.00018237	0.00012548	0.00135574	0.0255408	0.0148245	0.0560063	0.0389939	0.846027	0.0169127
í	0.000303545	0.00115676	0.00150191	0.005399	0.10088	0.0357082	0.112489	0.113073	0.463522	0.165966
</S>	0.000984958	0.000909904	0.000420371	0.0175446	0.00610882	0.105225	0.0637924	0.332415	0.0571519	0.415447
