 	il	prend	son	arc	et	ses	flêches	</S>
w	0.977548	0.010454	0.00674964	0.0018817	0.00119849	0.0014281	0.000635547	0.000104388
a	0.961164	0.00561477	0.0198358	0.00112033	0.00214265	0.00788409	0.00221064	2.75652e-05
l	0.23151	0.570936	0.139219	0.00445372	0.015226	0.0267179	0.00380965	0.00812779
á	0.146658	0.0918457	0.305024	0.0174237	0.149491	0.0867862	0.0258912	0.176881
a	0.159893	0.186839	0.182005	0.0365125	0.0778247	0.0778166	0.0614199	0.217689
k	0.00772583	0.952628	0.0243886	0.00772074	0.00296037	0.000986741	0.000814302	0.00277584
o	0.0057016	0.94567	0.0191202	0.025619	0.00176921	0.000518832	0.000381946	0.00121901
b	0.00117736	0.908783	0.0363807	0.0398463	0.00405682	0.00196761	0.00130409	0.00648363
h	0.018369	0.526092	0.146359	0.180529	0.0441321	0.0270406	0.00772341	0.0497548
á	0.00993867	0.0374247	0.159609	0.27346	0.0844686	0.0949357	0.0166208	0.323543
e	0.0151235	0.0208392	0.375457	0.401524	0.138869	0.0358583	0.00566823	0.00666092
b	0.00426405	0.114572	0.0736049	0.435924	0.246692	0.0523927	0.0454589	0.027092
h	0.000284853	0.00386431	0.00333735	0.918666	0.0637121	0.00364163	0.00494413	0.00154976
e	1.28483e-05	0.00169324	0.000458815	0.977211	0.0141159	0.00279711	0.00231378	0.00139728
r	0.00442261	0.0101058	0.0249201	0.754275	0.140703	0.0295069	0.00537388	0.0306929
á	0.00396466	0.0232153	0.042879	0.0888657	0.16956	0.067825	0.0817147	0.521976
l	0.00980139	0.00537226	0.053844	0.0212694	0.482672	0.271741	0.0777863	0.0775136
a	0.0108637	0.00615063	0.0554181	0.00418976	0.326855	0.254451	0.141072	0.201
m	0.0132709	0.000603908	0.0600895	0.00225806	0.10917	0.30074	0.481277	0.0325901
b	0.00221836	0.000857943	0.0278465	0.00512448	0.0310658	0.433431	0.295911	0.203545
á	0.0012258	0.00187746	0.0176092	0.0414354	0.0834905	0.125222	0.624971	0.104169
á	0.00125234	0.000504406	0.0146693	0.0179085	0.0645233	0.268219	0.507931	0.124992
y	0.00704968	0.00551416	0.0274632	0.0141208	0.0982294	0.410477	0.269643	0.167504
á	0.00141625	0.0035366	0.0938247	0.000742198	0.0329876	0.288034	0.258542	0.320916
w	0.00500456	0.00149101	0.0778544	0.000921428	0.0221578	0.388672	0.45759	0.0463087
a	0.0177871	0.00361621	0.0227131	0.0221142	0.0665269	0.468415	0.329667	0.0691608
</S>	0.000900504	0.000278273	0.00864875	0.00244763	0.041817	0.203835	0.345547	0.396526
