 	si	l'	enfant	fait	des	bêtises	il	faut	le	redresser	</S>
w	0.85759	0.0731616	0.0189887	0.00421154	0.00265756	0.0126973	0.00836052	0.0194795	0.00247258	0.000237265	0.000143042
á	0.838533	0.0682918	0.0275325	0.00798546	0.0108227	0.0338486	0.00451735	0.00606267	0.0021461	0.000206113	5.34063e-05
á	0.242788	0.343406	0.213934	0.0572678	0.020741	0.00443518	0.0164511	0.0436211	0.0166355	0.00191061	0.0388102
m	0.075451	0.453526	0.281324	0.0582717	0.024496	0.0138297	0.0087555	0.0128676	0.0179399	0.00510588	0.0484322
w	0.000928896	0.0179708	0.955434	0.0148694	0.00713386	0.00179812	0.000636013	2.23927e-05	0.000266812	1.23779e-05	0.000927063
á	0.00465711	0.0158687	0.957971	0.0128556	0.00381824	0.00266532	0.00110844	0.000113267	0.000125616	8.22493e-05	0.000734093
n	0.0329523	0.203255	0.461287	0.152632	0.11393	0.00776982	0.0146104	0.00135588	0.00764382	4.6817e-05	0.00451746
a	0.310033	0.184554	0.195731	0.0493966	0.021325	0.00739005	0.0076212	0.00315201	0.00916107	0.00179631	0.209839
a	0.0726063	0.312841	0.121174	0.195789	0.150827	0.0680487	0.0299355	0.00709082	0.0216541	0.00237768	0.0176559
p	0.00491555	0.113173	0.0800584	0.51457	0.177203	0.0612486	0.0109756	0.0109463	0.008125	0.0105349	0.00824991
é	0.00101858	0.0214897	0.00941964	0.426236	0.149522	0.0917948	0.0666637	0.111328	0.023218	0.0231468	0.0761631
s	0.00200102	0.015167	0.00601793	0.241609	0.144013	0.134685	0.0890626	0.110481	0.0224172	0.0475397	0.187007
í	0.00172413	0.0669588	0.0035773	0.275178	0.147047	0.355855	0.0542723	0.0521913	0.025042	0.00195612	0.0161984
n	0.00467265	0.0319688	0.0512821	0.0865846	0.144122	0.2201	0.293747	0.0589507	0.0212598	0.00745653	0.0798563
í	0.0191943	0.0232997	0.035121	0.0343021	0.106768	0.254929	0.200346	0.233928	0.0498117	0.00399749	0.0383033
k	0.000548946	0.0131405	0.0116447	0.049256	0.162685	0.273125	0.217085	0.102919	0.082849	0.0255951	0.0611522
á	0.00119837	0.00213132	0.000382835	0.0155783	0.033293	0.250673	0.287507	0.325449	0.00959403	0.0601652	0.0140277
a	0.000428779	0.00218798	0.00094363	0.0287794	0.0402821	0.155538	0.22601	0.443434	0.0131068	0.0244806	0.0648086
l	0.000609938	0.00342442	0.00126781	0.0113836	0.0259243	0.0301311	0.12201	0.229177	0.380898	0.077059	0.118115
ó	0.00302618	0.0208706	0.00305353	0.0358966	0.0846696	0.111109	0.0529578	0.0898925	0.199944	0.102819	0.295762
o	0.00196513	0.0187619	0.00298146	0.00742481	0.0418797	0.092025	0.051592	0.0539319	0.148936	0.419808	0.160694
s	3.92121e-05	0.00324423	0.00105221	0.00878522	0.0356909	0.0214257	0.00414144	0.00605371	0.12232	0.676921	0.120327
é	0.00189281	0.0228322	0.0114515	0.0187614	0.0566061	0.0781303	0.00316747	0.0050033	0.156234	0.35919	0.286731
s	0.000127227	0.00324345	0.00191959	0.00572705	0.0455524	0.0565508	0.00713223	0.00423476	0.147997	0.211843	0.515673
a	0.000438862	0.00320745	0.00154026	0.0163568	0.0638242	0.032347	0.0143991	0.013167	0.182209	0.345077	0.327434
a	0.000243406	0.0041248	0.00057554	0.00234686	0.0130788	0.0053826	0.0033737	0.00264308	0.103665	0.0503448	0.814222
</S>	0.00215384	0.0459343	0.00267418	0.0423761	0.162962	0.0661122	0.0447953	0.0321679	0.308837	0.0647182	0.227268
