 	un	grand	nombre	de	gens	est	réuni	chez	le	notable	</S>
b	0.364563	0.460091	0.138855	0.0216854	0.00433166	0.00168953	2.5948e-05	0.00433698	0.00414411	0.000193556	8.48175e-05
a	0.0656722	0.579322	0.315361	0.0178878	0.0119879	0.000691974	3.81718e-05	0.00291228	0.00325088	0.00265655	0.000220113
r	0.0326752	0.217346	0.375449	0.112547	0.237795	0.0020834	0.000387145	0.00798834	0.00180333	0.0102064	0.00171998
e	0.358553	0.402159	0.0405905	0.0900885	0.0363596	0.00356068	0.00361447	0.0046164	0.00543832	0.0156942	0.0393249
a	0.0993518	0.141706	0.213788	0.147841	0.137362	0.0747123	0.00922741	0.024395	0.0157483	0.00364429	0.132224
m	0.0332829	0.0345254	0.177917	0.274356	0.248698	0.116849	0.0564806	0.0166864	0.00576978	0.0104487	0.0249862
i	0.0363482	0.0400687	0.0459421	0.323175	0.391	0.0858356	0.014119	0.0159953	0.00165596	0.0151952	0.0306658
k	0.0729024	0.0841831	0.130041	0.190071	0.231877	0.0972139	0.101475	0.0171118	0.00204244	0.0152058	0.0578765
ó	0.0126446	0.0177903	0.11902	0.105531	0.221404	0.0359918	0.421942	0.0232174	0.00211115	0.0171658	0.023182
a	0.00790337	0.0165519	0.0554285	0.0831732	0.156061	0.0839699	0.559561	0.0124043	0.00218467	0.00503105	0.0177315
t	0.0271725	0.00754294	0.0176456	0.136543	0.208714	0.512748	0.0282099	0.034283	0.0205782	0.0020638	0.00449834
u	0.0181258	0.0107679	0.0208203	0.133733	0.149697	0.119978	0.317731	0.07127	0.0296514	0.0669938	0.0612322
g	0.0102015	0.00425114	0.00980422	0.0721668	0.0592679	0.239427	0.4585	0.0530125	0.0463456	0.0105124	0.0365104
h	0.110185	0.0266901	0.0124997	0.045715	0.0102849	0.082538	0.33344	0.266288	0.0681801	0.00514616	0.0390328
u	0.0854163	0.0286031	0.0151365	0.107497	0.0215228	0.0946723	0.257749	0.274428	0.0796485	0.00641364	0.0289131
g	0.00569938	0.00368188	0.00337985	0.028873	0.00945982	0.339757	0.137768	0.299909	0.125076	0.00837073	0.0380256
h	0.0200751	0.00770628	0.00332617	0.0205077	0.00653033	0.117669	0.213108	0.240095	0.207616	0.0446812	0.118684
u	0.0122108	0.00471023	0.00119362	0.0274885	0.00442817	0.0682018	0.214756	0.319322	0.255745	0.0409611	0.0509837
m	0.0010122	0.000733213	0.00126766	0.0130011	0.00556369	0.182197	0.126227	0.347883	0.209189	0.0160945	0.0968321
b	0.0139543	0.00237112	0.000270454	0.00592098	0.00148056	0.0408969	0.00494072	0.392303	0.164617	0.110817	0.262428
v	0.00644046	0.00329496	0.000745081	0.00866254	0.00566039	0.00312243	0.0018456	0.71599	0.0725375	0.143717	0.0379842
á	0.00623674	0.00516778	0.00111616	0.0127364	0.00998779	0.00420704	0.00297706	0.396675	0.13029	0.302469	0.128136
a	0.0101073	0.00333098	0.000918881	0.00401534	0.00215109	0.00716248	0.00968668	0.27827	0.259678	0.221731	0.202948
m	0.00200323	0.000718419	0.00131015	0.00988362	0.00564356	0.043333	0.00241948	0.195496	0.438292	0.0610514	0.239849
w	0.0144571	0.00381477	0.000327274	0.00326012	0.000636878	0.00972053	0.00118647	0.178929	0.250906	0.291639	0.245124
á	0.000553038	0.000162964	5.09352e-05	0.000522667	0.000563702	0.00033199	0.000986432	0.0331613	0.0448549	0.908117	0.0106946
n	0.0216897	0.0198501	0.00298125	0.00819321	0.00269582	0.00651527	0.000313171	0.212012	0.37432	0.286986	0.0644435
a	0.0112103	0.00781179	0.00220948	0.0203655	0.0121474	0.00713665	0.00227704	0.0374701	0.117286	0.712302	0.069784
</S>	0.00353273	0.00228359	0.00191674	0.0053197	0.00226166	0.0321973	0.0148994	0.082664	0.376937	0.0718607	0.406127
