 	il	n'	aime	que	les	boissons	froides	</S>
n	0.685448	0.0996879	0.00742882	0.119729	0.0856193	0.000881115	0.000868824	0.000337468
g	0.913333	0.0345041	0.00185151	0.0394317	0.00983949	0.000497321	0.000283783	0.000258849
á	0.642453	0.231693	0.0178044	0.0623225	0.03037	0.0120934	0.00148623	0.00177749
i	0.507478	0.25186	0.0499986	0.0673637	0.0295453	0.0146163	0.00379062	0.0753472
d	0.0336782	0.290435	0.508323	0.0258671	0.0182976	0.022428	0.0593542	0.0416172
i	0.0717746	0.370407	0.318556	0.0399056	0.0240345	0.0509733	0.00662183	0.117727
í	0.0250664	0.14363	0.764242	0.0224712	0.00613148	0.00205646	0.00610549	0.0302972
p	0.0345168	0.184415	0.597586	0.101439	0.0338641	0.0202992	0.0115471	0.0163324
ó	0.00126952	0.013082	0.869921	0.0291514	0.0157922	0.00106211	0.0530978	0.0166241
s	0.00283437	0.0194786	0.877687	0.0453375	0.0176315	0.00358769	0.0160992	0.017344
á	0.00189552	0.0193176	0.925155	0.0131825	0.0107845	0.00103269	0.0140232	0.014609
a	0.0408582	0.0454972	0.0802238	0.361011	0.367189	0.0770576	0.00907893	0.0190839
l	0.00505102	0.0306503	0.0364808	0.129296	0.243474	0.487066	0.0364163	0.0315663
ω	0.00178281	0.0178374	0.0331237	0.0595379	0.0758865	0.475993	0.0456366	0.290202
i	0.000691286	0.00751899	0.04197	0.108597	0.101859	0.640296	0.0374373	0.0616308
m	0.00906948	0.0104742	0.0117429	0.155807	0.180762	0.49669	0.0589655	0.0764889
á	0.012423	0.0648851	0.0199573	0.0470157	0.284085	0.255342	0.122586	0.193706
p	0.0272044	0.0158592	0.0138892	0.150459	0.212254	0.190583	0.317135	0.0726169
y	0.0025614	0.00253984	0.0156824	0.0199386	0.0287399	0.0122939	0.880755	0.0374893
é	0.000765316	0.000717711	0.0113458	0.0117619	0.0186748	0.00694941	0.900309	0.0494762
b	6.31751e-05	0.000305512	0.0132198	0.0014009	0.00241219	0.00773061	0.922343	0.0525251
h	0.000384567	0.000314278	0.0159806	0.00933982	0.0114385	0.00475174	0.754469	0.203321
i	0.00259854	0.00237161	0.0606774	0.0419546	0.0663477	0.0195441	0.370968	0.435538
k	0.00542663	0.00635186	0.013949	0.033078	0.0315281	0.0199248	0.261219	0.628522
a	0.00804314	0.0046671	0.0232087	0.034409	0.0203206	0.0054029	0.484998	0.41895
á	0.000633154	0.000494967	0.0104747	0.00490306	0.0086756	0.00426316	0.283739	0.686816
</S>	0.00629234	0.00676215	0.00353423	0.0219479	0.0187808	0.169386	0.0756632	0.697633
