 	je	suis	impliqué	dans	cette	affaire	parce	que	c'	est	moi	qui	l'	ai	emmené	à	brazaville	</S>
n	0.705503	0.186315	0.00922942	0.0122979	0.0207575	0.0266265	0.0135894	0.0067018	0.00609417	0.00596863	0.00291516	0.00107957	0.000503574	0.000384801	0.000484731	0.000857749	0.000458759	0.000232936
g	0.983985	0.00667116	0.00020096	0.000510462	0.00080672	5.51212e-05	0.000197651	0.000323619	0.0001091	0.000113072	0.00496281	5.09936e-05	2.95796e-05	5.7568e-05	3.47329e-06	4.23472e-05	0.00187779	2.75189e-06
á	0.98061	0.0152109	0.000293383	0.000416023	0.00043265	0.000151284	9.28509e-05	0.000104349	6.59285e-05	7.43854e-05	0.00216845	3.09752e-05	2.97804e-05	3.7111e-05	7.06402e-06	9.20266e-06	0.000264572	1.31271e-06
í	0.0645455	0.327344	0.0097631	0.027404	0.02433	0.00836745	0.0444039	0.0292851	0.0265799	0.0291613	0.0841541	0.0324472	0.0217339	0.043576	0.00207045	0.0353028	0.00208946	0.187441
k	0.0274635	0.303927	0.631664	0.0111954	0.00271222	0.00216445	0.000916736	0.00115472	0.00115283	0.000994318	0.000886707	0.000776993	0.00139089	0.0030006	0.00606306	0.00130664	0.000130244	0.00309993
u	0.000205616	0.0491334	0.854452	0.0191494	0.00855722	0.016553	0.00400603	0.00285564	0.00486778	0.00538125	0.000635854	0.0066259	0.00551714	0.00385749	0.00962929	0.00327992	4.47131e-05	0.00524816
l	0.00459366	0.0585311	0.798574	0.0778663	0.0434455	0.00328753	0.00206997	0.000709192	0.000860174	0.00163278	0.000976423	0.001606	0.00208267	0.00137547	0.0011495	0.000623578	0.000201114	0.000414496
u	0.00715769	0.086117	0.728747	0.0702175	0.038976	0.00508087	0.00578754	0.00471455	0.00434411	0.00759504	0.00515712	0.00455696	0.00633603	0.00718422	0.00472131	0.009498	0.000384564	0.00342425
i	0.0140158	0.108199	0.012782	0.342127	0.213818	0.0254295	0.0672264	0.0415636	0.0215197	0.0175861	0.0233537	0.018955	0.017822	0.0172166	0.00230605	0.0119099	0.00180657	0.0423635
b	0.000479701	0.0106231	0.0170364	0.357351	0.385596	0.0752906	0.0329085	0.0151986	0.0136906	0.01248	0.00555004	0.00477225	0.00658202	0.011107	0.0153526	0.0078357	0.000887145	0.0272583
h	0.000626881	0.00669261	0.00211306	0.071748	0.0877007	0.673596	0.0707729	0.00999848	0.013177	0.00662875	0.00131566	0.00673245	0.00364541	0.00446191	0.0320662	0.00472183	0.000106099	0.00389619
ώ	8.20523e-05	0.00433915	0.00662181	0.0574979	0.0948736	0.679837	0.0647043	0.00623955	0.00697262	0.00325102	0.000425111	0.00318362	0.00193127	0.00283084	0.0263066	0.021915	0.000972913	0.0180157
ω	0.000240258	0.0121312	0.00212352	0.22452	0.327302	0.23776	0.0866171	0.0234031	0.0138147	0.0061132	0.00162089	0.00626452	0.00338875	0.00356797	0.00365882	0.0149398	0.000705812	0.0318286
d	6.66722e-05	0.00599948	0.000893165	0.173884	0.471699	0.221959	0.0521878	0.0210342	0.0126951	0.00796968	0.000980364	0.00833867	0.00503528	0.0029249	0.00295555	0.00254565	0.000134488	0.00869753
í	0.000696501	0.0079503	0.004881	0.177535	0.48509	0.0156915	0.0180949	0.0509124	0.0323728	0.0180428	0.00219924	0.0104103	0.00896363	0.00510895	0.00384757	0.0149711	0.00123441	0.141997
t	0.000203451	0.00304379	0.00274942	0.0934765	0.25782	0.0919854	0.147805	0.111396	0.0768076	0.0359733	0.0077904	0.0305485	0.029604	0.00925983	0.00749655	0.0143791	0.000968189	0.0786926
s	0.000303126	0.00136554	0.00568015	0.028935	0.2433	0.130806	0.163896	0.074401	0.0665833	0.0717447	0.00794095	0.0675732	0.0309377	0.0100114	0.0486756	0.0121783	0.000873131	0.0347949
í	1.82915e-05	0.000544674	0.00760891	0.0181623	0.106658	0.146919	0.235514	0.102029	0.0607533	0.0465764	0.00527434	0.0588101	0.032328	0.0106334	0.0373472	0.0462343	0.00611334	0.0784763
n	0.000231739	0.000664954	0.00116308	0.0172433	0.0714047	0.222907	0.319433	0.0710319	0.0403448	0.0300885	0.00443614	0.0240699	0.0140536	0.006659	0.0298874	0.0141478	0.00142046	0.130813
a	0.00077448	0.00548235	0.00324209	0.0162121	0.0741598	0.0081099	0.125425	0.114089	0.049221	0.0376929	0.027605	0.0234105	0.0165445	0.0306445	0.00522148	0.0613055	0.0150187	0.385841
n	0.000199314	0.00428185	0.000925414	0.0205725	0.0526106	0.0244951	0.23567	0.222985	0.12591	0.0871902	0.015869	0.0843844	0.0544035	0.0232187	0.00607684	0.00944098	0.000611564	0.0311554
g	0.0103474	0.0184553	0.00209795	0.0257171	0.0647099	0.0027603	0.091683	0.227746	0.0574508	0.0518646	0.098303	0.0428089	0.0221069	0.0578665	0.00215335	0.0474826	0.0285979	0.147849
á	0.00643645	0.00198233	0.000424415	0.00614924	0.0567269	0.00477823	0.0555957	0.110076	0.0247774	0.0384379	0.279047	0.0279357	0.0311555	0.0417878	0.00422684	0.015006	0.273176	0.0222809
