 	les	femmes	sont	en	train	de	lancer	des	cris	de	malheur	parce	que	le	notable	vient	de	mourir	</S>
a	0.823965	0.144355	0.0165507	0.00232246	0.00135277	0.000507788	7.87539e-05	0.00312509	0.000668036	0.00499146	0.000591592	0.000148835	0.000152862	0.000695185	0.000329105	3.98264e-06	0.000153549	3.52601e-06	3.74134e-06
y	0.044192	0.854308	0.0694706	0.00449992	0.0217675	0.000471597	0.0003582	0.000611772	0.000423626	0.000420511	0.000394908	0.000406435	0.000331156	0.000553364	0.00025415	0.000208849	0.000549682	0.000420627	0.000357691
ú	0.317736	0.634747	0.0189637	0.00217789	0.000357164	0.0002542	0.000210061	0.00166301	0.00462386	0.00238005	0.00469009	0.00595873	0.00249131	0.00100603	0.000524817	0.000733796	0.000204081	0.000248937	0.00102888
r	0.674437	0.236034	0.0483098	0.00414867	0.000129214	0.000155205	9.84071e-05	0.00139113	0.00565933	0.004587	0.00424711	0.00340155	0.00424529	0.00341034	0.000486392	0.000362884	0.000951733	0.000319858	0.00762552
u	0.668238	0.203665	0.0858849	0.0162596	0.00330238	0.0013661	0.000741148	0.00125779	0.00211686	0.00248552	0.00296921	0.0019298	0.00151418	0.00185892	0.00238613	0.000340271	0.000491684	0.000681955	0.00251066
b	0.173899	0.0223759	0.229371	0.206114	0.0156123	0.185263	0.0274314	0.0217281	0.0123484	0.0113245	0.00661384	0.0119263	0.0124463	0.0115897	0.00248526	0.0106562	0.018656	0.00251485	0.0176441
ó	0.0656445	0.00274324	0.11069	0.209027	0.070987	0.288715	0.0509418	0.0422045	0.0137472	0.0202796	0.0226386	0.00881858	0.0178597	0.0141088	0.0182836	0.0103024	0.0156215	0.00721646	0.0101705
b	0.0431854	0.00582754	0.10724	0.318951	0.107308	0.219393	0.0693607	0.0387895	0.00929037	0.0129609	0.00787187	0.00544347	0.0079353	0.014593	0.00273566	0.00698396	0.0145961	0.0015235	0.00601114
á	0.436492	0.0110195	0.0633351	0.0428203	0.0328234	0.108262	0.0598921	0.056282	0.0141598	0.0264841	0.0492247	0.00649631	0.00988748	0.00729327	0.0608648	0.00506717	0.002965	0.00415913	0.00247256
a	0.0454935	0.0020299	0.153661	0.260218	0.0608705	0.269899	0.0758527	0.0191599	0.00784415	0.00620471	0.0139788	0.00591941	0.0100376	0.00964491	0.00729271	0.0120239	0.014065	0.00650588	0.0192987
t	0.0211342	0.00348167	0.101903	0.0306431	0.00402089	0.138234	0.338523	0.105434	0.0671623	0.0125692	0.00987133	0.00913741	0.0214627	0.00887937	0.00701766	0.0135533	0.0140361	0.0136943	0.0792422
u	0.00216023	0.00123986	0.0843848	0.0274229	0.00178022	0.0248739	0.632162	0.0523096	0.0505558	0.0116415	0.0147715	0.0128546	0.0246899	0.00500776	0.00627362	0.00811157	0.00184871	0.0125597	0.0253518
m	0.0564788	0.00420907	0.0940627	0.129258	0.00241929	0.0266968	0.306522	0.0413056	0.0253041	0.00965091	0.00547652	0.00387951	0.0198483	0.0206594	0.00819692	0.00477353	0.013902	0.00506307	0.222294
b	0.0791275	0.00110384	0.0676811	0.0570745	0.0014039	0.0819419	0.107535	0.153343	0.16663	0.133534	0.0499779	0.0261099	0.0175591	0.0204998	0.0172908	0.00352149	0.00658691	0.00191758	0.00716164
á	0.064399	0.00190682	0.0282675	0.0955309	0.00648049	0.0855767	0.034738	0.0996941	0.163524	0.178059	0.0776835	0.0207943	0.0135053	0.0158858	0.0793458	0.000794539	0.00225537	0.00193574	0.0296229
i	0.00225792	0.00013437	0.00192914	0.00653774	0.00111649	0.0106541	0.020259	0.113915	0.121309	0.367269	0.199832	0.0699808	0.0191385	0.0258942	0.0232452	0.00681556	0.00565425	0.00170069	0.00235706
s	0.00233867	0.000731513	0.00435393	0.00180472	0.000715661	0.00273741	0.0260495	0.0554212	0.416762	0.133002	0.235837	0.0287298	0.0247991	0.0154094	0.0206359	0.00851128	0.00190592	0.0132478	0.00700758
í	0.00157311	0.000329642	0.00210024	0.00190494	4.99517e-05	0.000720975	0.00738152	0.0269999	0.637815	0.101145	0.129799	0.0102882	0.0429935	0.0193957	0.00318512	0.00238389	0.0014881	0.00648821	0.0039589
m	0.00120592	2.87602e-05	0.000716153	0.00127927	0.000104545	0.000679489	0.0019719	0.025546	0.259201	0.186177	0.178005	0.126109	0.0832703	0.0820245	0.0121829	0.00735469	0.00566726	0.00667844	0.0217981
i	0.00105547	4.30976e-05	0.0012265	0.000533798	2.55905e-05	0.00115132	0.00418209	0.0254897	0.232102	0.216483	0.20992	0.0176733	0.055693	0.0490921	0.142058	0.00518279	0.00531388	0.00902127	0.0237525
t	0.000756622	1.45947e-05	0.000766089	0.00138597	0.000225411	0.00128151	0.000701419	0.00683312	0.0175329	0.0660573	0.124301	0.191573	0.156479	0.190939	0.117064	0.0635289	0.0267654	0.010865	0.0229294
s	0.000864494	3.10801e-05	0.00173005	0.00117197	0.000355277	0.00130559	0.00242189	0.00623106	0.0134351	0.0663642	0.180797	0.370692	0.0919354	0.0496113	0.137439	0.0349833	0.00524766	0.00718248	0.0282009
i	0.00285511	3.21875e-05	0.000939103	0.00507195	0.00573051	0.0021068	0.00518665	0.0105286	0.0231832	0.0442172	0.147256	0.36503	0.142193	0.0726701	0.115953	0.0211073	0.00504488	0.0141231	0.0167702
n	0.00410529	0.000192666	0.0034381	0.0205082	0.0182474	0.0077152	0.00560132	0.0124114	0.0352155	0.0641505	0.128793	0.222603	0.132058	0.0365459	0.134765	0.0319944	0.00926473	0.0189828	0.113408
a	0.0268319	0.00400022	0.0122324	0.026059	0.013513	0.00862035	0.00260653	0.00419727	0.00766791	0.0395951	0.147589	0.26127	0.0916106	0.0344431	0.173909	0.0283665	0.00608243	0.0137375	0.0976681
m	0.00770268	0.000192595	0.00188383	0.00382985	0.000368444	0.00337017	0.000369025	0.00624128	0.00529206	0.0219448	0.0316431	0.183945	0.191413	0.18325	0.0921119	0.143614	0.0748333	0.00781242	0.040182
