 	il	n'	a	pas	pu	attraper	le	cabri	</S>
w	0.472799	0.267245	0.0629691	0.144297	0.036707	0.00455982	0.00929234	0.00172592	0.000405479
a	0.633989	0.244112	0.0304147	0.0428013	0.00161994	0.000647603	0.0225699	0.0237378	0.000107607
á	0.0967599	0.375033	0.312985	0.132226	0.0632662	0.00362155	0.0113513	0.00147482	0.0032822
m	0.0188601	0.21146	0.252069	0.202373	0.225552	0.0344894	0.0146249	0.00278881	0.0377819
i	0.0432452	0.129666	0.217628	0.130448	0.208489	0.14192	0.0233184	0.00898704	0.096298
k	0.008177	0.0148561	0.0464693	0.103755	0.774857	0.0358788	0.00414498	0.000548998	0.0113129
ώ	0.0029062	0.0083657	0.0294516	0.102184	0.682984	0.152263	0.00794808	6.81598e-05	0.0138301
n	0.00564269	0.0616634	0.154371	0.24997	0.221858	0.272813	0.0262821	0.000158969	0.00723981
d	0.0886951	0.096639	0.141499	0.357536	0.154304	0.0971359	0.0336352	0.00043305	0.0301227
ώ	0.259089	0.209959	0.078971	0.125269	0.171624	0.0535926	0.0229605	0.000882709	0.0776517
o	0.0123482	0.0106614	0.0391124	0.212667	0.0316049	0.179318	0.488063	0.0132036	0.0130216
p	0.00397087	0.00777635	0.00468631	0.0188728	0.0618686	0.681296	0.183973	0.0242393	0.0133175
i	0.00137995	0.00578293	0.00651969	0.0236006	0.046581	0.824223	0.0706139	0.0030742	0.018225
á	0.000390505	0.00227451	0.00567751	0.0240514	0.0307789	0.865179	0.0469939	0.00116607	0.0234884
m	0.0290039	0.0149475	0.0358286	0.0286879	0.00775811	0.0640627	0.563825	0.187493	0.0683933
b	0.0179619	0.00165956	0.00066825	0.000239691	6.70375e-05	0.00313628	0.0936762	0.82897	0.0536212
ó	0.000442575	0.000176886	3.3874e-05	3.04705e-05	5.38578e-05	0.00333235	0.00334179	0.98988	0.00270813
s	0.000156936	0.000132894	0.000105515	0.00010656	0.000185494	0.00873901	0.00230282	0.980816	0.0074549
i	0.00807774	0.00521098	0.0020505	0.0019894	0.00741185	0.0542504	0.127531	0.466871	0.326607
</S>	0.00334632	0.00446152	0.013619	0.0152997	0.00616303	0.0785341	0.114246	0.0474815	0.716849
