 	la	femme	du	chef	coutumier	prend	soin	de	ses	habits	</S>
m	0.901222	0.0715587	0.00864139	0.013368	0.00216423	0.000398286	8.31086e-05	0.000315168	0.00158787	0.000564462	9.70667e-05
w	0.0187575	0.975092	0.000946736	0.000243325	0.00333498	4.53413e-05	3.67432e-05	0.00025288	0.000235509	0.000290163	0.000765001
á	0.0564506	0.911788	0.000249195	0.000912225	0.0303838	1.9139e-05	2.5054e-05	5.11184e-05	2.4636e-05	8.89715e-05	7.53828e-06
s	0.775525	0.157259	0.0277327	0.00439489	0.0136024	0.00235612	0.000176986	0.00152677	0.00587602	0.00285489	0.00869503
í	0.452632	0.362467	0.033368	0.0404204	0.0124716	0.00621531	0.00549109	0.0155827	0.00738255	0.0106962	0.0532735
y	0.400054	0.0347985	0.456349	0.0302916	0.00150893	0.0108311	0.0115204	0.00515219	0.0218533	0.00454344	0.0230973
a	0.493626	0.0661672	0.198338	0.0784931	0.0199553	0.00742103	0.074015	0.0148608	0.00981107	0.0178074	0.019505
m	0.45004	0.0337926	0.393281	0.0367861	0.0133101	0.00522177	0.0264087	0.00476002	0.00759021	0.00742647	0.0213832
w	0.211428	0.465236	0.0808076	0.0175214	0.197781	0.00391246	0.00308212	0.00344028	0.00253575	0.00412378	0.010132
ε	0.0127052	0.0733567	0.0108362	0.0253652	0.870343	0.000983954	0.00032816	0.000739196	0.00128345	0.00137167	0.00268764
n	0.244114	0.12018	0.0962272	0.153953	0.252965	0.0297867	0.00440676	0.0159899	0.0229785	0.0072345	0.0521632
έ	0.250729	0.0215414	0.293648	0.18206	0.0349797	0.00524177	0.013048	0.030907	0.0278558	0.0170033	0.122986
a	0.0319276	0.00524262	0.577393	0.0695934	0.0236967	0.0623761	0.0924845	0.00904252	0.00903469	0.00484062	0.114368
d	0.00717505	0.000142066	0.160556	0.153914	0.0122311	0.52659	0.0891594	0.0181907	0.0107922	0.00433599	0.0169133
í	0.0128444	0.000627872	0.0758925	0.0683994	0.0118888	0.120613	0.31224	0.0675932	0.0285133	0.0220885	0.279299
l	0.0289041	0.00021645	0.0968336	0.0594724	0.00600677	0.284655	0.349046	0.052325	0.0467054	0.0115055	0.06433
o	0.00101813	0.000105995	0.0183003	0.0127762	0.000941306	0.205857	0.519082	0.10125	0.0284583	0.0169007	0.0953101
y	0.00550531	0.000247346	0.0131306	0.0107909	0.00193766	0.0932767	0.755233	0.0772146	0.00702615	0.0273056	0.0083326
ε	0.00107069	0.000541756	0.00284518	0.00500836	0.00124802	0.0307732	0.880928	0.0553826	0.00472012	0.00296725	0.0145153
s	0.000440585	3.0025e-05	0.00740757	0.00890869	0.000823268	0.042649	0.701914	0.150274	0.0237277	0.0188271	0.0449977
i	0.000164738	1.45255e-06	0.00867843	0.0329204	0.00072571	0.129065	0.553221	0.195096	0.0491022	0.0104308	0.0205941
m	0.000320905	2.08325e-05	0.0202335	0.00480735	0.00012707	0.0768902	0.30582	0.196949	0.177337	0.0275319	0.189962
í	0.00828131	0.000120088	0.0137581	0.00237393	0.00293514	0.0242088	0.066914	0.277034	0.255596	0.169504	0.179275
k	0.00252747	4.30242e-05	0.00646998	0.00659917	0.00118058	0.027196	0.0563542	0.259788	0.176357	0.426498	0.0369866
á	0.000481052	4.52293e-06	0.00193194	0.0188268	0.000848929	0.0434459	0.0467154	0.386507	0.0714148	0.373465	0.0563581
n	0.00148192	4.30484e-05	0.0030442	0.00847482	0.00706805	0.030401	0.0422932	0.120598	0.108766	0.499556	0.178274
d	0.000728668	1.04124e-05	0.00230716	0.0152885	0.00178293	0.0115779	0.0124644	0.167915	0.191235	0.40231	0.19438
á	0.00114632	0.000138425	0.0035602	0.00939618	0.00355819	0.00692256	0.0384537	0.190879	0.104732	0.383473	0.257739
</S>	0.00246344	6.68523e-05	0.00642155	0.00331311	0.000115034	0.0101994	0.0236222	0.129331	0.30696	0.277716	0.239791
