 	l'	enfant	agace	son	père	</S>
m	0.716906	0.265214	0.000814475	0.0168982	0.000126938	4.01419e-05
w	0.0255358	0.970455	0.000973974	0.000899938	1.91484e-05	0.0021164
á	0.00346076	0.996473	3.06587e-05	7.7924e-06	1.73516e-05	1.0568e-05
n	0.0735706	0.923837	0.000871027	0.000302136	0.000139105	0.00128059
a	0.0969212	0.677807	0.0235559	0.00317281	0.0149816	0.183562
l	0.645694	0.0683081	0.113872	0.138849	0.00485761	0.0284191
á	0.0993815	0.0175235	0.19279	0.0602196	0.0107232	0.619362
a	0.471408	0.104613	0.215959	0.143506	0.0301429	0.0343704
p	0.0190994	0.0315632	0.923231	0.00325346	0.00410447	0.0187483
έ	0.00186682	0.000857967	0.981447	0.000700142	0.000721612	0.0144064
t	0.0617403	0.0550773	0.648285	0.0506624	0.00605411	0.178181
á	0.0908853	0.180272	0.363958	0.198155	0.138314	0.0284164
á	0.00256036	0.014082	0.570695	0.108559	0.239193	0.0649106
k	0.015272	0.00475139	0.0375621	0.862371	0.0687661	0.0112779
y	0.00106923	0.000394573	0.930101	0.0102193	0.0525079	0.00570848
έ	0.000802055	0.000672704	0.849181	0.0124522	0.118161	0.0187312
r	0.00392859	0.00273259	0.424578	0.505514	0.0272797	0.035967
ε	0.0148744	0.00296962	0.677351	0.204345	0.0504135	0.0500467
</S>	0.00478418	0.00239239	0.114766	0.35336	0.0311045	0.493593
