 	a	côté	du	village	il	y	a	une	grande	bananeraie	</S>
b	0.44313	0.42866	0.0776017	0.0146116	0.00934695	0.00913414	0.00537942	0.00296603	0.00810457	0.000816908	0.000249113
ε	0.0507155	0.883262	0.0319848	0.00710272	0.00705213	0.00271479	0.00360072	0.00152963	0.0100392	0.00147617	0.000522427
έ	0.0123997	0.836239	0.0601863	0.00549137	0.0197783	0.00830389	0.0137246	0.0104618	0.0129904	0.00084485	0.0195804
b	0.257517	0.0859508	0.347677	0.0736529	0.066963	0.0397458	0.0279898	0.0116172	0.0112953	0.00039337	0.0771987
ε	0.0911254	0.481916	0.207716	0.00506622	0.0717806	0.033531	0.0235884	0.0153316	0.0222216	0.00047487	0.0472482
έ	0.0918797	0.305078	0.300891	0.0515397	0.0653476	0.0268428	0.0244635	0.021966	0.019664	0.00281806	0.0895099
l	0.0502129	0.050469	0.25873	0.308708	0.0981065	0.07615	0.0447353	0.0318063	0.0194284	0.0029661	0.0586872
a	0.119928	0.0341914	0.229836	0.155756	0.0781751	0.062243	0.0550125	0.0461351	0.0372828	0.0110335	0.170407
p	0.0899962	0.0264968	0.198437	0.220619	0.12297	0.0949311	0.034273	0.0185889	0.0295496	0.0435633	0.120575
o	0.00195216	0.0290545	0.0312219	0.73211	0.111041	0.0170509	0.0188478	0.0189072	0.00212585	0.0146702	0.0230187
o	0.00253282	0.00679074	0.034734	0.6587	0.159215	0.0380269	0.0380701	0.0318349	0.00265664	0.00331861	0.0241203
é	0.00201371	0.00184179	0.036325	0.00113367	0.146316	0.475625	0.196947	0.0805324	0.0415427	0.00158194	0.0161401
d	0.00471739	0.00278329	0.039155	0.00352211	0.0717133	0.189537	0.377682	0.20984	0.0459269	0.00914588	0.0459773
í	0.000487159	3.51614e-05	0.00180547	0.000345189	0.0194415	0.0739051	0.210709	0.177147	0.0782524	0.00130423	0.436568
l	0.00303891	0.000602677	0.0176396	0.00308642	0.0431338	0.126817	0.197343	0.183882	0.134981	0.0255038	0.263971
a	0.000924927	0.000530584	0.00458273	0.000792663	0.0101878	0.038239	0.10275	0.234492	0.185218	0.032604	0.389677
n	0.00152099	0.000260021	0.00223084	0.000874264	0.0029106	0.0104918	0.0172675	0.0586989	0.110503	0.700824	0.0944176
g	0.000864236	0.000271497	0.000714883	7.44809e-05	0.00133939	0.00401833	0.00996759	0.0414864	0.0439464	0.85711	0.0402068
o	0.00014469	0.000116035	0.000609492	0.0001074	0.000752893	0.00181762	0.00435787	0.0109747	0.00894545	0.964458	0.00771587
n	2.71032e-06	5.01641e-06	3.18486e-05	0.000155188	0.000312181	0.000307721	0.000656708	0.00288566	0.0015687	0.978075	0.0159992
d	0.00185699	0.000290725	0.00267316	0.00166845	0.00877013	0.0182918	0.0286717	0.124396	0.0861559	0.260579	0.466646
a	0.000414497	0.000165343	0.000179187	0.000218741	0.000415807	0.000538131	0.000879514	0.00407539	0.00272523	0.936923	0.0534654
y	0.00167584	0.00347434	0.00586902	0.000492794	0.0205941	0.026002	0.0330065	0.0744518	0.112138	0.348378	0.373918
á	0.042362	0.0101923	0.0607172	0.00219968	0.0407981	0.0676359	0.049982	0.0544477	0.264321	0.24749	0.159855
a	0.00778601	0.00516404	0.0324785	0.00164113	0.0110788	0.0451969	0.0359917	0.0686285	0.372568	0.169548	0.249918
t	0.00604382	0.00552305	0.0227283	0.00231765	0.00950546	0.0157603	0.0505959	0.0997601	0.192502	0.147593	0.447671
ω	0.000910361	0.00672059	0.014959	0.0153894	0.0232396	0.0153164	0.063064	0.24013	0.0930462	0.087636	0.439588
r	0.000114984	0.000818839	0.00257756	0.00212725	0.0085135	0.0121914	0.0335375	0.185835	0.0783986	0.150473	0.525412
ω	0.000504373	0.00343871	0.0029493	0.0014177	0.00921812	0.0101754	0.0295731	0.150058	0.0900373	0.338734	0.363894
</S>	0.00239598	0.00206341	0.0125726	0.000439417	0.0115423	0.0255344	0.0246328	0.0658705	0.169777	0.0909388	0.594233
