 	la	manière	dont	il	est	parti	m'	a	énervé	</S>
e	0.319189	0.527342	0.105691	0.0353965	0.00323677	0.000683822	0.00215746	0.000686023	0.00126165	0.00435588
d	0.0184103	0.0126039	0.0304558	0.0168422	0.177554	0.168733	0.00892674	0.123	0.438331	0.00514297
z	0.0293351	0.0273195	0.177848	0.0342075	0.0304878	0.585488	0.00240303	0.0204315	0.0711714	0.0213079
w	0.00623821	0.0421867	0.1117	0.0395113	0.0738914	0.689213	0.00240437	0.0207925	0.00522259	0.00883955
e	0.00397791	0.00165439	0.0113825	0.0388973	0.181145	0.488145	0.0213594	0.0645791	0.00993006	0.178929
e	0.171386	0.0339512	0.293046	0.0612447	0.100473	0.176936	0.0268018	0.0273291	0.0106372	0.0981947
l	0.0145044	0.00812409	0.037376	0.0237156	0.0486138	0.0857928	0.0398438	0.106382	0.183654	0.451994
í	0.00755303	0.00504513	0.0527133	0.0512727	0.0354239	0.0949227	0.103185	0.193732	0.122606	0.333546
y	0.0837273	0.0584215	0.643597	0.0781465	0.0513062	0.00602498	0.0394658	0.0201937	0.00340682	0.01571
é	0.0681048	0.0688567	0.426816	0.11156	0.0801754	0.0242281	0.0204791	0.0473785	0.0349948	0.117407
é	0.0211555	0.0156728	0.291067	0.192046	0.134363	0.0895234	0.0514168	0.0436331	0.0586262	0.102497
d	0.00596157	0.000481646	0.0159616	0.106492	0.241564	0.179676	0.0633008	0.194275	0.14154	0.0507479
z	0.00181335	0.000127455	0.00892312	0.0409732	0.236001	0.15192	0.0298904	0.320691	0.0506847	0.158976
w	0.00164297	0.000466224	0.00566581	0.0203467	0.0834591	0.846023	0.00818664	0.0205579	0.00484844	0.00880352
é	0.0192595	0.000711661	0.007523	0.023888	0.19369	0.502453	0.0451122	0.103417	0.0248671	0.0790783
w	0.0251628	0.00412991	0.0640148	0.103769	0.169033	0.0662859	0.189548	0.160019	0.0637535	0.154284
a	0.0374137	0.0093241	0.0261528	0.240238	0.228265	0.042049	0.126807	0.0751892	0.121704	0.0928566
é	0.00938383	0.00261838	0.0361224	0.0764571	0.105271	0.0248865	0.237514	0.137238	0.134754	0.235755
p	0.00618895	0.000887189	0.0263452	0.0391733	0.104893	0.0165753	0.138847	0.369278	0.243201	0.0546111
έ	0.000202298	9.61733e-05	0.00153794	0.00661078	0.0266257	0.0102488	0.013479	0.114536	0.75269	0.0739732
ε	0.00135224	0.000525306	0.00496473	0.0261173	0.0615961	0.0175646	0.0452977	0.0891544	0.396299	0.357128
n	0.00384996	0.000565974	0.014378	0.022219	0.104203	0.00886679	0.243372	0.202303	0.109127	0.291115
g	0.00873236	0.00439006	0.00962638	0.0103166	0.0105811	0.00328431	0.477621	0.0955407	0.247837	0.132071
á	0.0010743	0.00475377	0.0131115	0.00408481	0.00483252	0.00351284	0.835313	0.060267	0.0389853	0.0340651
k	0.00407935	0.000626157	0.00916676	0.00636944	0.0415495	0.00960599	0.051741	0.120095	0.522427	0.23434
y	0.000175793	0.000207829	0.00174871	0.00728087	0.00711576	0.000823165	0.00994819	0.0318585	0.880789	0.0600522
έ	0.000236674	0.000202334	0.000996638	0.0010566	0.00346916	0.000739711	0.00401652	0.0155483	0.878636	0.095098
r	0.000332933	0.000306976	0.00823248	0.00458349	0.00344308	0.000886441	0.0161527	0.0274839	0.712027	0.226551
ε	0.000581801	0.000430235	0.00128756	0.000554828	0.00086333	0.00107197	0.00591481	0.0202926	0.735286	0.233717
</S>	0.00319954	0.00106433	0.00741089	0.00347101	0.0127852	0.00325858	0.0410071	0.150707	0.172909	0.604187
