 	la	chenille	se	transforme	en	papillon	</S>
l	0.488202	0.408035	0.0945272	0.00147158	0.00394498	0.00366168	0.000158162
e	0.496082	0.370371	0.0894104	0.00378125	0.0202501	0.0106996	0.00940547
k	0.213019	0.693331	0.026175	0.0181098	0.00296169	0.00417214	0.0422315
o	0.0137256	0.861382	0.0186456	0.0464228	0.00285389	0.0243487	0.0326209
n	0.0287247	0.50621	0.0361278	0.396425	0.00578225	0.0168611	0.00986838
g	0.27518	0.535001	0.0552736	0.0694459	0.00716426	0.0239994	0.0339354
ó	0.14229	0.816665	0.0254539	0.00875485	0.00117897	0.00118689	0.00447055
l	0.174513	0.0651918	0.654962	0.0423393	0.0374394	0.00132831	0.0242261
í	0.272512	0.0597169	0.27804	0.0638074	0.0451429	0.00637722	0.274404
i	0.362443	0.0404779	0.445643	0.0579308	0.037818	0.00524575	0.0504413
k	0.0183186	0.0231518	0.0529309	0.832985	0.0296821	0.010849	0.0320829
a	0.00282968	0.0103546	0.0155145	0.948531	0.0091304	0.00461244	0.00902733
l	0.00110405	0.0135276	0.0088876	0.958755	0.00522863	0.00843679	0.00406041
á	0.0643306	0.0298461	0.0744436	0.740947	0.0221404	0.0261189	0.0421732
á	0.0242848	0.00424302	0.260204	0.226753	0.300535	0.0761455	0.107834
o	0.0191856	0.0027371	0.0598524	0.0411861	0.549196	0.267873	0.0599695
b	0.00578837	0.00435761	0.00263694	0.149759	0.0303372	0.78536	0.0217616
v	0.00807074	0.0158089	0.0142061	0.0788057	0.0461188	0.792207	0.044783
u	0.00234217	0.00165979	0.00457924	0.0379371	0.0293615	0.898641	0.0254789
b	0.00875753	0.00112704	0.0126323	0.0409534	0.10909	0.501746	0.325694
v	0.0415618	0.00472088	0.0532374	0.053728	0.186575	0.41272	0.247457
u	0.0272309	0.00481256	0.0172666	0.0486578	0.134224	0.54288	0.224928
l	0.00828549	0.000904817	0.00675034	0.00772221	0.11742	0.249233	0.609684
u	0.0166172	0.00197029	0.0188047	0.0344821	0.138747	0.307389	0.48199
</S>	0.0176478	0.00307299	0.0206183	0.0103271	0.139602	0.237537	0.571194
