 	le	juge	lui	a	posé	une	question	</S>
k	0.359022	0.613174	0.0164583	0.00935952	0.000384534	0.00120949	0.000114547	0.000277954
á	0.0670154	0.924571	0.00245843	0.00358096	0.00124538	0.000421644	0.000277991	0.000428719
n	0.0491651	0.807052	0.0535354	0.0178361	0.016918	0.00102823	0.00652286	0.0479419
i	0.330216	0.631538	0.00914555	0.0104409	0.00826574	0.000486356	0.00172034	0.00818738
á	0.501068	0.19939	0.152976	0.122663	0.0056904	0.0101465	0.00115567	0.00691018
m	0.0927845	0.0579357	0.278021	0.361166	0.0514505	0.0468091	0.0237426	0.0880905
i	0.0165772	0.0279905	0.22061	0.415608	0.155651	0.0664856	0.0163459	0.0807311
k	0.00412506	0.00908816	0.0174477	0.182453	0.702806	0.0180491	0.0232784	0.042752
a	0.00126767	0.00202409	0.00145479	0.0217095	0.961642	0.00385381	0.00318915	0.00485932
n	0.00209538	0.0054551	0.00963028	0.101958	0.841672	0.0161948	0.00290281	0.0200919
á	0.0650488	0.0261668	0.10117	0.205068	0.478966	0.0457357	0.0194352	0.05841
w	0.00897395	0.00505859	0.193006	0.091708	0.0259219	0.568318	0.0886452	0.018368
a	0.0152013	0.0250217	0.502578	0.188934	0.0564629	0.110753	0.0667917	0.0342568
o	0.00428864	0.0042115	0.121164	0.0696195	0.019862	0.518262	0.114714	0.147879
d	0.00270654	0.00158802	0.00197692	0.0254804	0.116284	0.332703	0.361334	0.157928
u	0.00339755	0.000683364	0.00162283	0.0113327	0.011599	0.16626	0.504082	0.301022
ú	0.00968972	0.00101459	0.0157775	0.049935	0.0153157	0.270903	0.519549	0.117816
</S>	0.00400816	0.000523297	0.0374854	0.0422574	0.00168308	0.455758	0.0879423	0.370342
