 	c'	était	lui	qui	nous	a	éclairci	sur	ce	problème	</S>
é	0.839466	0.0582396	0.0505277	0.0123407	0.00592708	0.0053871	0.00449836	0.00736675	0.0134893	0.00210769	0.000649508
d	0.133076	0.817612	0.00224999	0.000839742	0.00046391	0.00265435	0.00409978	0.0287872	0.00780072	0.00206984	0.000347305
z	0.0626532	0.863437	0.0239533	0.0148764	0.00245559	0.00360996	0.00169292	0.0147079	0.00121769	0.000478408	0.0109181
e	0.0780237	0.864216	0.0364321	0.0116548	0.00131781	0.000807321	0.000647644	0.00282334	0.00157002	0.000107781	0.0023998
w	0.0403042	0.465543	0.145773	0.0803796	0.02181	0.0144774	0.00307325	0.0122198	0.0134292	0.0120949	0.190896
á	0.0561587	0.019486	0.313164	0.218763	0.0908151	0.0633777	0.0213303	0.0266563	0.0205906	0.00893592	0.160722
m	0.0589875	0.0616154	0.327151	0.160689	0.0786183	0.0441185	0.0210415	0.0205331	0.0250394	0.0100928	0.192113
o	0.07045	0.0517644	0.168173	0.568837	0.0944451	0.0182332	0.00211374	0.00780255	0.00578136	0.000441694	0.0119585
r	0.201473	0.0932889	0.224924	0.193794	0.0271374	0.0351949	0.0175475	0.046957	0.0330949	0.0570195	0.0695689
o	0.0663121	0.0324243	0.373793	0.354542	0.0250084	0.0159519	0.0243258	0.0157064	0.0183501	0.00588697	0.0676999
y	0.021757	0.0174746	0.37236	0.242687	0.0910333	0.0545557	0.0320501	0.0333899	0.0367355	0.00513827	0.0928182
e	0.0858457	0.0369428	0.317963	0.259602	0.050489	0.0483407	0.0261518	0.0355044	0.0218725	0.00565574	0.111632
é	0.0390685	0.00668762	0.202509	0.248923	0.189707	0.125252	0.0810641	0.0400832	0.0371013	0.00797915	0.0216251
n	0.00652369	0.0213392	0.00935963	0.0412057	0.072747	0.160391	0.321443	0.283394	0.0550259	0.0204534	0.00811671
a	0.000289832	0.00135493	0.00167273	0.00543335	0.00762447	0.0183644	0.873378	0.0680245	0.00956893	0.00274053	0.0115487
a	0.000164278	0.00402	0.00865326	0.0135776	0.0102439	0.0248353	0.151383	0.456733	0.256501	0.0380563	0.0358326
n	0.00271903	0.000758775	0.0319248	0.063172	0.134675	0.213231	0.111832	0.238964	0.168266	0.0194237	0.0150338
í	0.00244663	0.000584875	0.00657256	0.0143575	0.0584873	0.0740819	0.667532	0.0993191	0.0436609	0.00233164	0.0306261
b	0.000925145	0.00131075	0.0306869	0.0557713	0.153629	0.11656	0.108731	0.14283	0.310432	0.035563	0.0435615
í	0.014084	0.0102636	0.0422448	0.110149	0.348349	0.110429	0.0203344	0.0212132	0.0226791	0.230963	0.0692906
s	0.00105277	0.00194073	0.0236609	0.0363167	0.260801	0.0720878	0.0325322	0.0289426	0.0383074	0.38445	0.119908
í	0.00166428	0.00205024	0.00371664	0.0185983	0.0839422	0.104342	0.161354	0.192253	0.0830949	0.123505	0.22548
i	0.000367994	0.00140583	0.0137396	0.0211759	0.0309035	0.139932	0.0606	0.1308	0.209766	0.18728	0.204029
b	0.00168654	0.00232589	0.00236232	0.00441012	0.00361606	0.0219513	0.0336365	0.178901	0.203756	0.375045	0.172309
h	0.0030957	0.000867192	0.00437925	0.0136486	0.012858	0.0202623	0.0159933	0.0412029	0.032096	0.841135	0.0144622
ώ	0.000211401	7.94058e-05	0.000313005	0.000758333	0.000531736	0.00246634	0.0104784	0.0443133	0.0296847	0.862458	0.0487055
ω	6.72378e-05	6.86755e-05	0.000824289	0.00113558	0.00162517	0.0101185	0.0145405	0.0971908	0.182631	0.41603	0.275768
d	0.000267424	6.52445e-05	0.00135415	0.00130814	0.000697431	0.00299064	0.0076413	0.129755	0.277586	0.102541	0.475795
í	0.0008866	0.000842751	0.00393717	0.0041128	0.00545327	0.0118692	0.0283952	0.345539	0.304344	0.09795	0.19667
</S>	0.00115024	0.00086094	0.0157366	0.0137641	0.0238861	0.0354624	0.0424653	0.0861512	0.306416	0.094318	0.379789
