 	tu	as	vraiment	grossi	</S>
n	0.977301	0.0194569	0.0027049	0.000473926	6.30349e-05
ω	0.880718	0.115813	0.00283092	0.000431255	0.000207289
t	0.580639	0.269251	0.112963	0.0251173	0.0120292
i	0.111461	0.0217581	0.125355	0.550174	0.191252
ó	0.0817598	0.116065	0.695051	0.0402336	0.0668914
m	0.00838258	0.118192	0.775708	0.0118901	0.0858273
i	0.000447388	0.0274142	0.333154	0.166492	0.472492
p	0.000155522	0.00335742	0.173116	0.450815	0.372556
e	1.01377e-05	0.000304492	0.0123865	0.939469	0.0478299
b	0.000167631	0.0253183	0.553156	0.279301	0.142057
h	0.000523743	0.0115237	0.0583307	0.504548	0.425074
a	0.000384354	0.0131764	0.120369	0.243558	0.622513
</S>	0.00446796	0.0757893	0.128146	0.0396631	0.751934
