 	le	porc	a	de	grosses	molaires	</S>
n	0.35467	0.477868	0.132231	0.0171287	0.0155103	0.00153028	0.00106163
g	0.0665471	0.926604	0.00231737	0.00104987	0.00330961	8.40665e-05	8.77701e-05
ú	0.0142667	0.965993	0.00626195	0.00926811	0.00327266	0.000364938	0.000572497
l	0.00671928	0.967525	0.00544259	0.0101124	0.00696456	0.000194565	0.00304135
u	0.131095	0.348005	0.092336	0.0921781	0.0551674	0.00148775	0.279731
a	0.104049	0.0412953	0.69262	0.111642	0.0282052	0.00361348	0.0185745
d	0.274609	0.0294476	0.329331	0.288872	0.0314977	0.0153272	0.0309151
í	0.0954032	0.0462776	0.251582	0.46989	0.0161277	0.00248992	0.118229
l	0.0603904	0.0128072	0.125345	0.445793	0.100239	0.0118612	0.243564
a	0.0197748	0.00331619	0.092844	0.397366	0.138794	0.149479	0.198426
k	0.0508888	0.0165558	0.0933085	0.345749	0.214651	0.155793	0.123053
y	0.0133963	0.00586107	0.0296715	0.450044	0.106851	0.334746	0.0594294
ω	0.0146478	0.0213511	0.012417	0.14274	0.209267	0.555318	0.0442589
a	0.00714615	0.00428762	0.0694811	0.351154	0.355501	0.0845492	0.127881
n	0.0183551	0.00223532	0.0392352	0.134288	0.391816	0.0453303	0.36874
έ	0.0599427	0.0446365	0.0787344	0.239345	0.274488	0.041191	0.261662
a	0.00670005	0.00105935	0.0519072	0.194701	0.202274	0.0983221	0.445037
n	0.10983	0.0108772	0.0697057	0.269637	0.220931	0.169909	0.149111
έ	0.0822336	0.0969677	0.0598064	0.115794	0.143359	0.00490987	0.496929
</S>	0.0028903	0.000508893	0.0227212	0.164582	0.142542	0.0294923	0.637263
