 	le	féticheur	range	les	objets	rituels	dans	une	boîte	</S>
n	0.414788	0.304379	0.092179	0.0478582	0.107851	0.0150726	0.0132128	0.0030997	0.00139938	0.000160718
g	0.0520277	0.944418	0.00123431	0.00168074	0.000143147	0.000323997	8.44738e-05	4.08278e-05	3.59371e-05	1.09462e-05
a	0.00278144	0.995117	0.000582458	0.000532526	0.000222932	0.000697175	1.40053e-05	1.48446e-05	3.03736e-05	7.25851e-06
n	0.0854488	0.841477	0.044237	0.00678795	0.00427378	0.00994966	0.00121529	0.000311611	0.000260555	0.00603891
g	0.1322	0.595382	0.125412	0.0305229	0.0191915	0.0412886	0.00685921	0.00192579	0.000688005	0.0465291
a	0.0400992	0.89235	0.0174189	0.00433738	0.00611926	0.0379664	0.000287033	5.22098e-05	6.15807e-05	0.00130753
l	0.0584458	0.024217	0.720208	0.0847151	0.0317613	0.0411159	0.0254274	0.004054	0.000686022	0.00936958
á	0.168944	0.025368	0.309981	0.154491	0.11716	0.0841167	0.0270048	0.0100776	0.00351808	0.0993401
a	0.273437	0.0315618	0.109241	0.162507	0.230559	0.155937	0.0208311	0.00695187	0.000766865	0.0082069
k	0.020223	0.00294824	0.104221	0.206733	0.219067	0.358067	0.0289468	0.0148331	0.0244255	0.0205361
a	0.00680341	0.00026252	0.0459973	0.145712	0.648627	0.085757	0.01361	0.00905397	0.0198963	0.0242801
n	0.00530798	0.00045454	0.0356675	0.173101	0.62807	0.0680898	0.0199028	0.012471	0.0249811	0.0319542
á	0.0365312	0.00853332	0.068471	0.274465	0.382573	0.134802	0.0417661	0.00894144	0.00710311	0.0368148
m	0.0149231	0.00210227	0.042561	0.125209	0.0466673	0.22529	0.490015	0.0396581	0.00462328	0.00895088
a	0.0191595	0.00116125	0.0117179	0.0829618	0.0275604	0.579183	0.202962	0.0550907	0.00120814	0.0189952
l	0.0147565	0.00112953	0.0165219	0.0477567	0.0324985	0.244433	0.336559	0.157073	0.0876706	0.0616016
é	0.00567959	0.000299852	0.0352626	0.0448219	0.00967589	0.0327777	0.247858	0.329111	0.147336	0.147177
s	0.00328612	0.000251273	0.0158484	0.026446	0.0110967	0.0442061	0.294039	0.296999	0.17614	0.131687
á	0.00419266	0.000255766	0.00176014	0.00873656	0.00116281	0.00642172	0.175439	0.418663	0.262799	0.120569
o	0.00425739	0.000279562	0.00236444	0.00856875	0.00451879	0.00435209	0.0891627	0.317038	0.387053	0.182405
k	0.000788818	7.55062e-05	0.000502135	0.00118566	0.00112201	0.00125809	0.00506795	0.0789286	0.838277	0.072794
o	0.000111661	1.99617e-05	0.000706164	0.00121405	0.00172152	0.000170919	0.000532839	0.0189174	0.961399	0.0152063
s	0.000448079	3.45025e-05	0.000414634	0.00115173	0.00192068	0.000209108	0.00178373	0.0214141	0.905856	0.066767
a	0.0032149	0.000182439	0.00166382	0.00828532	0.00312206	0.000548406	0.0203767	0.158021	0.410485	0.394101
</S>	0.00172779	4.57498e-05	0.000877074	0.0018352	0.000417309	0.000428603	0.0173772	0.0991479	0.16852	0.709623
