 	les	cris	stridents	des	cigales	nous	ont	empêché	de	dormir	</S>
l	0.411164	0.185092	0.208406	0.1575	0.00137167	0.0120624	0.00659395	0.0148423	0.00230891	0.000480189	0.000178656
o	0.383572	0.457121	0.0540237	0.0384724	0.00698798	0.0142955	0.0207827	0.00505908	0.011842	0.00662443	0.00121996
b	0.0591363	0.503853	0.181755	0.0111763	0.20295	0.00212124	0.0077413	0.00415673	0.00101235	0.00648944	0.0196086
h	0.0400404	0.141754	0.433215	0.114731	0.0375569	0.070787	0.0282118	0.024637	0.0550867	0.0252146	0.0287656
ó	0.125844	0.23003	0.451955	0.0234824	0.0358802	0.026394	0.00404901	0.0218523	0.0110021	0.00633544	0.0631751
l	0.112093	0.110368	0.617755	0.115991	0.0306262	0.00250943	0.00179258	0.00176301	0.00191536	0.00075876	0.00442749
í	0.101414	0.0262605	0.202145	0.177961	0.10376	0.0670106	0.0455944	0.0288278	0.0360481	0.00896398	0.202015
y	0.0706812	0.021288	0.112313	0.347888	0.0250325	0.170915	0.175766	0.0347693	0.0244072	0.00263574	0.0143039
i	0.127914	0.0327057	0.0669741	0.181993	0.3472	0.077386	0.0891496	0.0036999	0.022705	0.00149172	0.0487818
έ	0.185559	0.00915953	0.0758534	0.267895	0.212879	0.0877573	0.101098	0.00789778	0.0143968	0.00146723	0.036037
í	0.00872675	0.00645656	0.00599137	0.0452788	0.711397	0.0130274	0.0498063	0.0918439	0.00900154	0.014615	0.0438557
k	0.0389861	0.0376202	0.00441414	0.0356001	0.236945	0.0241891	0.0980347	0.405866	0.0202871	0.0450659	0.0529916
á	0.00443454	0.00369407	0.0025218	0.0109047	0.536442	0.00924423	0.0197172	0.296704	0.0128717	0.0420907	0.0613759
m	0.00189975	0.00139997	0.00713912	0.0215887	0.567485	0.0983589	0.0561779	0.163817	0.0186276	0.0157477	0.0477583
b	0.0126427	0.00530639	0.00558548	0.0326123	0.0804259	0.230341	0.157292	0.356778	0.0398377	0.0151632	0.0640158
i	0.0307215	0.0054009	0.101435	0.0500028	0.0783762	0.386399	0.0535055	0.139987	0.0181897	0.00715652	0.128826
s	0.0025858	0.00090285	0.00703997	0.0352892	0.00956896	0.523841	0.282954	0.0649185	0.0643733	0.00332344	0.0052036
i	0.0180531	0.00442384	0.00893077	0.0122249	0.0902427	0.469717	0.107232	0.140398	0.0720306	0.0113176	0.0654294
b	0.00203566	0.000368598	0.0015105	0.0153773	0.00461934	0.533862	0.28278	0.0380672	0.105039	0.00736952	0.00897103
í	0.00238162	0.0054111	0.00112799	0.00488757	0.000635516	0.678034	0.0969659	0.170439	0.0164502	0.0193448	0.0043225
s	0.0015287	0.0014914	0.00156861	0.00243817	8.1876e-05	0.794959	0.10039	0.0717614	0.0150428	0.00618125	0.00455721
í	0.00903124	0.0100479	0.000822261	0.00378068	0.00234173	0.534887	0.141598	0.0809277	0.0977389	0.0221553	0.0966699
f	0.00480598	0.00117693	0.00259838	0.0122449	0.0102295	0.0860249	0.0760298	0.0696457	0.456976	0.197835	0.0824328
u	0.00278517	0.00337252	0.00881087	0.0081884	0.0141842	0.092237	0.0311578	0.0816075	0.138518	0.472648	0.14649
l	0.00437044	0.0053307	0.00275076	0.00395971	0.0436739	0.0454546	0.0219398	0.0482202	0.121575	0.545456	0.157268
ú	0.00806193	0.00151641	0.0065693	0.00532712	0.0439756	0.0956314	0.0214079	0.0538883	0.159422	0.377705	0.226495
</S>	0.00238147	0.000632391	0.0013981	0.00369247	0.0110262	0.0225698	0.0146802	0.0167752	0.160463	0.281975	0.484406
