 	des	larmes	coulent	des	yeux	de	ce	malade	</S>
o	0.281973	0.129654	0.161894	0.133623	0.0358753	0.0982828	0.0687311	0.0532047	0.0367625
k	0.0175801	0.268807	0.184818	0.0428723	0.150737	0.0706575	0.0343124	0.127358	0.102858
ω	0.0157042	0.0574958	0.0819926	0.023591	0.00468084	0.0929939	0.074016	0.426118	0.223408
n	0.00672534	0.0200315	0.180108	0.0471616	0.00979406	0.0571446	0.126186	0.490869	0.0619799
í	0.086341	0.120747	0.14881	0.076634	0.0182879	0.125514	0.0897222	0.26425	0.0696933
m	0.124346	0.0571196	0.0721249	0.186163	0.0757372	0.159342	0.189257	0.0254407	0.11047
ú	0.384668	0.0297701	0.0408643	0.248944	0.058979	0.0892752	0.0345087	0.00953096	0.103459
m	0.0437067	0.0324783	0.0196497	0.132833	0.235866	0.148363	0.104732	0.0290264	0.253345
í	0.11539	0.0158698	0.00643987	0.0829511	0.559664	0.0766216	0.049152	0.00490594	0.0890051
s	0.0723767	0.0359119	0.0141619	0.12016	0.389999	0.0831578	0.121352	0.0672157	0.0956644
i	0.0107563	0.0298984	0.00421804	0.0721408	0.469176	0.0824656	0.143437	0.0285958	0.159312
b	0.0219981	0.0166988	0.0171539	0.226117	0.117374	0.108392	0.243674	0.0270896	0.221503
ó	0.0541378	0.0216576	0.00682459	0.126622	0.0251483	0.169487	0.147911	0.135132	0.313079
m	0.0146248	0.0136021	0.0256211	0.199724	0.0539305	0.166279	0.303421	0.0475612	0.175235
á	0.0458884	0.00562667	0.00325675	0.137888	0.363332	0.150118	0.0979463	0.0140188	0.181925
a	0.00895098	0.00834071	0.00578086	0.0885531	0.143736	0.107788	0.272347	0.106919	0.257584
d	0.00491096	0.014189	0.0160349	0.0774947	0.116281	0.108208	0.207274	0.061704	0.393904
z	0.00263706	0.0188472	0.011873	0.0563599	0.110261	0.0882911	0.219787	0.010983	0.480961
e	0.00391978	0.00577498	0.0056663	0.0369438	0.375369	0.131465	0.135201	0.00960417	0.296057
e	0.00346251	0.00364609	0.0140375	0.183842	0.0394715	0.129609	0.256926	0.0203028	0.348701
n	0.00208605	0.0056088	0.00806637	0.0170913	0.0271312	0.104545	0.145577	0.0741124	0.615781
g	0.00942824	0.0446819	0.0117902	0.0184707	0.0674204	0.0788432	0.148777	0.0744335	0.546155
á	0.00266314	0.0432744	0.0266905	0.0465458	0.0446812	0.0796359	0.188571	0.142279	0.425658
a	0.00147706	0.0003669	0.00151366	0.013706	0.0083481	0.117029	0.210911	0.0359602	0.610688
t	0.00778844	0.0112075	0.0278409	0.0496364	0.0127307	0.141119	0.340635	0.0557539	0.353288
s	0.0288586	0.0259741	0.0236566	0.0520534	0.00210871	0.106452	0.329873	0.140826	0.290198
á	0.00605508	0.00155743	0.00538468	0.0129316	0.00254824	0.124906	0.22239	0.139067	0.485159
n	0.0301723	0.0130988	0.00614998	0.0741993	0.0215756	0.107719	0.355301	0.0327962	0.358988
g	0.0100765	0.0154695	0.0049871	0.00705217	0.00670456	0.0366979	0.0530598	0.0747675	0.791185
a	0.00498804	0.0277524	0.00971153	0.0183929	0.0215379	0.0575021	0.0878302	0.143771	0.628514
</S>	0.00467248	0.00711474	0.00978613	0.0477256	0.00775481	0.112087	0.316613	0.0463184	0.447928
