 	la	manière	dont	ils	ont	égaré	mon	fils	relève	de	la	sorcellerie	</S>
e	0.23828	0.567065	0.135755	0.0147101	0.0324655	0.00115252	0.00467678	0.000704361	0.00227714	0.000838909	0.000956757	0.000710162	0.000407496
l	0.00847061	0.0106821	0.0130733	0.00730684	0.0337678	0.689964	0.00445328	0.00271906	0.0200786	0.0246545	0.0346774	0.147933	0.00222024
é	0.00150421	0.00291788	0.00157338	0.00125027	0.00354144	0.93791	0.00152682	0.000466715	0.0090163	0.00399319	0.00138774	0.031421	0.00349078
m	0.000447416	0.00124102	0.00792591	0.00960348	0.0292701	0.903321	0.00442778	0.000708109	0.00616671	0.00801154	0.0120244	0.0143052	0.00254766
b	0.00510363	0.00438077	0.00492635	0.00159785	0.0211152	0.820046	0.00155127	0.00946042	0.000433352	0.0140977	0.00526482	0.0121905	0.0998317
í	0.0378126	0.0581636	0.00788969	0.0215759	0.00618257	0.317247	0.00560041	0.0603569	0.0102647	0.033341	0.010656	0.0829596	0.34795
s	0.0169805	0.0587215	0.0736109	0.0194064	0.190916	0.126242	0.080569	0.0704443	0.035382	0.0989877	0.070133	0.0160407	0.142567
í	0.00967159	0.0157479	0.0144116	0.00339277	0.0273185	0.72992	0.0188296	0.0299934	0.00884588	0.0325899	0.0192551	0.0100143	0.0800097
l	0.29379	0.177518	0.0781048	0.010214	0.0444252	0.0336542	0.0292857	0.042241	0.0191753	0.0479122	0.0486268	0.0379251	0.137128
í	0.205857	0.0618852	0.0494016	0.0140269	0.0381316	0.157108	0.0179396	0.0206954	0.0122217	0.0261333	0.0148693	0.0127007	0.36903
y	0.0351757	0.0882109	0.398478	0.0360819	0.0973362	0.0805365	0.0425585	0.0291939	0.0375154	0.0405662	0.044921	0.0131983	0.056228
é	0.0416807	0.0483021	0.474108	0.00548167	0.0276331	0.227277	0.0512365	0.0149942	0.0260381	0.0107597	0.00575208	0.00385603	0.0628802
é	0.090351	0.052968	0.492611	0.00837119	0.0460491	0.113169	0.0584414	0.0203109	0.0201447	0.0118858	0.00961341	0.0112149	0.0648692
l	0.00478507	0.00119035	0.00326414	0.0145727	0.0463919	0.817967	0.00280577	0.00275945	0.00959134	0.0166384	0.013629	0.0164024	0.0500027
é	0.00311072	0.000432721	0.00168715	0.0120332	0.0310954	0.889968	0.00550247	0.00189142	0.0187593	0.00612437	0.00707732	0.0104756	0.0118423
m	0.00269523	0.000513096	0.014837	0.0305575	0.0289651	0.747829	0.0206227	0.00293803	0.0338008	0.01251	0.0141603	0.0303586	0.0602123
b	0.0241697	0.00666273	0.0216583	0.0421066	0.0640964	0.578913	0.0660292	0.00727477	0.0497231	0.0507126	0.0313755	0.0160304	0.0412479
í	0.0733771	0.101344	0.302776	0.0826437	0.0204992	0.103486	0.048163	0.00616128	0.038037	0.0147666	0.00869421	0.0159972	0.184054
s	0.00360135	0.00575563	0.0123071	0.259721	0.124369	0.0104391	0.311424	0.120206	0.0759112	0.0337356	0.0163543	0.0021738	0.0240005
í	0.107665	0.0295125	0.0792527	0.0804627	0.0468659	0.0499703	0.415734	0.0213084	0.100235	0.020876	0.00827026	0.00587213	0.0339754
b	0.0103013	0.00744435	0.00470404	0.18233	0.0961583	0.00502083	0.392286	0.125027	0.138226	0.0196426	0.0106617	0.000798311	0.00739962
á	0.00130018	0.000399632	4.40582e-05	0.953645	0.0116524	0.00150706	0.00184137	0.00160762	0.026908	0.000746769	0.000101363	5.37291e-05	0.000192661
a	0.000358504	0.000303837	6.34177e-05	0.899087	0.0112631	0.000135229	0.00614631	0.00948992	0.0697065	0.00199799	0.000377212	7.94128e-05	0.000991071
n	0.00088609	0.000488285	0.000695124	0.080336	0.0864052	0.00451141	0.239797	0.156693	0.264861	0.0896074	0.0566577	0.00349366	0.0155677
g	0.0109252	0.00656415	0.00547187	0.0885514	0.0309696	0.00995647	0.215406	0.0810789	0.421409	0.0313266	0.00823495	0.00491431	0.0851918
á	0.00169939	0.0035869	0.00781651	0.0260833	0.0308769	0.0698138	0.322127	0.0453591	0.411285	0.0214014	0.0124847	0.0257056	0.0217603
m	0.00251574	0.000945045	0.0038	0.0075588	0.0614698	0.00293557	0.27785	0.0689297	0.161971	0.194376	0.159835	0.0212824	0.0365311
w	0.00559468	0.00114098	0.00107375	0.00334371	0.074003	0.011849	0.0770617	0.643343	0.0541019	0.0639778	0.0325599	0.00204765	0.029903
á	0.000641144	0.000124506	6.21255e-05	0.00337417	0.00654956	0.00140429	0.00655828	0.951581	0.0118123	0.010121	0.00157965	0.0015636	0.00462871
n	0.00232273	0.00349515	0.00375836	0.0691677	0.0204497	0.000402142	0.0761858	0.60815	0.15778	0.0211529	0.0111211	0.00305595	0.0229586
a	0.0239894	0.016359	0.00873962	0.0572405	0.0996834	0.0217803	0.164534	0.356021	0.115804	0.03374	0.00519886	0.0146059	0.0823048
é	0.00229121	0.00176768	0.0094632	0.00350637	0.0264284	0.0050448	0.162416	0.0176864	0.229937	0.320235	0.191323	0.0128342	0.0170657
d	0.00153722	0.00197404	0.00461059	0.00295225	0.0489207	0.0331011	0.0376728	0.007858	0.0543077	0.363708	0.377131	0.0261601	0.0400669
í	0.00137417	0.00071185	0.000374047	0.000214293	0.0245655	0.0069494	0.0201519	0.0128823	0.0323401	0.252242	0.341419	0.0220025	0.284773
i	0.00137485	0.000958456	0.000539052	0.000309337	0.00869991	0.000601931	0.0147562	0.0127343	0.0331045	0.164018	0.605212	0.0484264	0.109265
k	0.000712194	0.000649608	0.000478692	0.00168931	0.00301835	0.00261934	0.00615942	0.00782141	0.0101725	0.0404181	0.097939	0.644947	0.183376
u	2.7936e-05	3.12373e-05	8.62684e-05	0.000246915	0.00020515	0.000463789	0.000361656	0.000594666	0.00692215	0.0490041	0.114438	0.773317	0.0543017
n	0.000222474	0.000131385	0.000135185	0.000623493	0.00139239	0.00104895	0.00232481	0.00223926	0.00940663	0.0237563	0.0360796	0.884431	0.0382083
d	0.0419733	0.00420681	0.00217415	0.00146481	0.00732021	0.00172315	0.0241915	0.00432096	0.0304108	0.115637	0.0846489	0.604591	0.077337
ú	0.0657878	0.0119555	0.00337091	0.00371859	0.00334154	0.000460556	0.0348769	0.0272696	0.131264	0.217651	0.0981459	0.313696	0.0884615
</S>	0.00524486	0.00276482	0.00838054	0.00549207	0.00188606	0.000117672	0.100181	0.00469125	0.0754547	0.0825275	0.045296	0.159477	0.508487
