 	qui	est	ce	qui	est	blessé	sur	la	tête	</S>
o	0.595651	0.19414	0.081329	0.0536828	0.0243445	0.00531387	0.0134597	0.0100545	0.0209087	0.00111575
k	0.00248603	0.00877905	0.00666816	0.00900365	0.0196156	0.9061	0.00963774	0.00502818	0.0246074	0.00807453
ώ	0.000214696	0.00169458	0.00360817	0.00181282	0.0046095	0.978208	0.00425715	0.00226777	0.00147781	0.00184973
s	0.000224244	0.00387613	0.0187648	0.016648	0.00952106	0.931491	0.00582765	0.00470815	0.00531199	0.00362714
i	0.0316159	0.0403332	0.0733882	0.0516786	0.0620167	0.279439	0.273597	0.144149	0.0299111	0.0138714
m	0.0414973	0.0667882	0.105321	0.182741	0.308362	0.0610715	0.112748	0.03266	0.00785529	0.0809552
i	0.0124164	0.0160426	0.0335414	0.0385801	0.0413889	0.0275975	0.208585	0.21774	0.0983095	0.305799
b	0.00314743	0.00451418	0.0114162	0.0133077	0.014227	0.0047954	0.109592	0.256479	0.366487	0.216034
o	0.00407106	0.0073597	0.00532601	0.00551981	0.00806757	0.00437349	0.033085	0.103803	0.624566	0.203829
ó	0.000431225	0.000683373	0.00149045	0.00187127	0.00172457	0.00556607	0.0328271	0.123003	0.782899	0.0495045
a	0.00740845	0.00756017	0.00861993	0.0141607	0.0659291	0.0319659	0.182082	0.218062	0.0359861	0.428227
d	0.00256779	0.00869121	0.00871806	0.0180296	0.0681912	0.0857135	0.150053	0.223425	0.0915361	0.343075
z	0.00289856	0.00319676	0.00368024	0.00839135	0.0304366	0.0162749	0.18614	0.153083	0.00533209	0.590567
e	0.0147264	0.00631834	0.0192287	0.0304747	0.0197736	0.00368522	0.639984	0.181498	0.00195082	0.0823599
n	0.00152803	0.00189627	0.0243991	0.0725087	0.0750946	0.0727079	0.23463	0.24413	0.0566139	0.216492
d	0.0008524	0.00119262	0.00603114	0.0133154	0.019624	0.0352265	0.280402	0.222696	0.0573817	0.363278
a	0.00163147	0.00149356	0.00500521	0.00736757	0.00492455	0.00856622	0.114842	0.122632	0.0256169	0.70792
</S>	0.000917413	0.00133481	0.00454829	0.00848488	0.0118597	0.00667713	0.192577	0.124942	0.0126437	0.636015
