 	cet	homme	est	venu	payer	mon	dû	</S>
m	0.452642	0.456985	0.0785328	0.00598744	0.000223616	0.00399549	0.00125537	0.00037781
o	0.798545	0.164884	0.0175135	0.00531176	0.000273641	0.00865909	0.000156167	0.00465755
r	0.562715	0.414805	0.00586058	0.0114652	0.00208096	0.000208309	0.000223482	0.00264093
o	0.680069	0.160031	0.0787528	0.0186145	0.00364643	0.0317959	0.00767796	0.0194127
w	0.647925	0.184501	0.145784	0.0127042	0.000488239	0.0017792	2.76602e-05	0.00679052
ó	0.454056	0.054855	0.173781	0.107159	0.00525991	0.0494559	0.0150095	0.140423
a	0.112718	0.0186687	0.402958	0.265223	0.00572463	0.0117422	0.00105101	0.181915
y	0.00484796	0.00319759	0.366943	0.522748	0.0311374	0.0117723	0.000799576	0.0585539
ε	0.014151	0.00682434	0.265507	0.61076	0.01365	0.0452765	0.00217137	0.0416596
í	0.0187633	0.0143734	0.239295	0.266029	0.0551382	0.0768187	0.0243188	0.305264
o	0.00404959	0.00513708	0.375314	0.348739	0.0544868	0.132103	0.0172588	0.0629118
f	0.00166709	0.00732717	0.013539	0.0826365	0.811506	0.0132707	0.0525479	0.0175053
u	0.000784157	0.00481045	0.00825607	0.0719004	0.836262	0.00409443	0.0317656	0.0421269
r	0.00576221	0.00570869	0.0195617	0.0340579	0.839669	0.0107482	0.0117322	0.0727605
á	0.0396101	0.0052114	0.0205114	0.0206054	0.426604	0.2026	0.12284	0.162018
m	0.00853753	0.00248509	0.0443123	0.0210159	0.0354055	0.546985	0.242842	0.0984174
b	0.00878077	0.0110492	0.00287223	0.00154306	0.00251964	0.160404	0.337554	0.475278
e	0.00046038	0.000840639	0.000521762	0.000480586	0.00460596	0.0204385	0.880438	0.0922137
a	0.00171527	0.00532355	0.00519986	0.00336279	0.029241	0.05021	0.758158	0.146789
y	0.00158002	0.000935386	0.00966554	0.00221848	0.0146703	0.476447	0.114512	0.379971
á	0.0283674	0.0116087	0.0345429	0.00930604	0.00825135	0.349606	0.367987	0.19033
n	0.00793743	0.00151344	0.0201529	0.00313543	0.00917052	0.23468	0.595549	0.127862
g	0.000507938	0.000187396	0.000462249	0.000297884	0.000742691	0.604171	0.257639	0.135992
á	0.00171459	0.000800924	0.00189185	0.000894761	0.00238811	0.575599	0.1681	0.248611
</S>	0.00127537	0.000764021	0.00362636	0.00101648	0.0108367	0.182532	0.281239	0.51871
