 	la	maladie	de	ma	femme	me	dépasse	</S>
i	0.454801	0.432146	0.0876798	0.0154704	0.00262172	0.00601272	0.000440225	0.00082884
k	0.0343135	0.953785	0.00294836	0.00136152	0.00222861	0.00280066	0.00123617	0.00132596
ω	0.00353098	0.989806	0.00317145	0.000848192	0.000183265	0.000258788	0.00166225	0.000538733
n	0.00735299	0.983671	0.00249533	0.00208121	5.68044e-05	0.00111172	0.00225732	0.000973417
í	0.0585366	0.923319	0.00974452	0.000870119	0.000471054	0.000733105	0.00375148	0.00257434
l	0.395562	0.250572	0.240236	0.0293338	0.0117457	0.0149025	0.00458187	0.0530671
á	0.124752	0.0272649	0.0840559	0.143306	0.00635332	0.104902	0.00856651	0.500799
m	0.152206	0.00556386	0.180119	0.493086	0.0950613	0.0499769	0.00750141	0.016486
w	0.0367687	0.000493466	0.105102	0.0428705	0.750016	0.0309853	0.0126887	0.0210755
á	0.0188569	0.00684613	0.186401	0.0362917	0.559116	0.0518564	0.112789	0.0278435
s	0.217352	0.00423422	0.282833	0.306114	0.159015	0.0128911	0.0104825	0.00707885
í	0.0886298	0.00769201	0.0992275	0.1479	0.316047	0.0590984	0.0580395	0.223366
í	0.0954386	0.0246188	0.206168	0.305894	0.0216279	0.316314	0.00893523	0.0210029
m	0.0347875	0.00781011	0.137083	0.0619751	0.0785579	0.380679	0.13625	0.162858
i	0.00662344	0.000131662	0.073603	0.0481169	0.240919	0.417992	0.155583	0.0570307
b	0.0120019	0.00188078	0.0323462	0.0192919	0.124585	0.163365	0.51858	0.127949
h	0.000459441	0.00124499	0.00918934	0.000619767	0.00314633	0.00636418	0.954186	0.0247899
a	0.00119282	0.00397155	0.010457	0.0025289	0.00288329	0.00840675	0.933252	0.037308
n	0.00511557	0.00747059	0.0469383	0.0217428	0.0209221	0.0628169	0.671081	0.163913
g	0.00366855	0.00508743	0.0847756	0.0116361	0.0136911	0.0767368	0.615309	0.189095
á	0.0131317	0.00975126	0.175243	0.0323201	0.00516064	0.0280598	0.566858	0.169476
l	0.00234162	0.00143344	0.0325049	0.0254951	0.00672512	0.258285	0.245108	0.428107
a	0.00416616	0.00366482	0.0405072	0.047065	0.00223621	0.209031	0.315576	0.377753
n	0.0052395	0.0021532	0.0745634	0.142474	0.00467404	0.296501	0.277854	0.196541
g	0.00184996	0.000468023	0.0078932	0.295707	0.00482028	0.448159	0.125525	0.115578
á	0.000489828	0.000365181	0.00476635	0.455578	0.0090174	0.340779	0.0536735	0.135331
</S>	0.00614602	0.00386944	0.0485813	0.0352322	0.00616978	0.325069	0.175257	0.399675
