 	il	prend	son	arc	et	ses	flêches	</S>
w	0.968262	0.017655	0.00535534	0.000170569	0.00322466	0.00504255	0.000211343	7.85667e-05
a	0.950605	0.0030677	0.0151429	0.00010969	0.00450606	0.0263265	0.00018004	6.17484e-05
l	0.318232	0.430902	0.127732	0.00273691	0.0332236	0.0338829	0.0145385	0.0387518
á	0.126933	0.0395363	0.252171	0.00928729	0.131238	0.141527	0.026251	0.273057
a	0.260074	0.0888169	0.196725	0.00397514	0.0578868	0.106872	0.0403905	0.245259
k	0.0127034	0.903572	0.0497942	0.0200566	0.00315438	0.0010525	0.00336529	0.00630134
o	0.00242709	0.929839	0.0241987	0.0408038	0.00105187	0.000260345	0.000340679	0.00107884
b	0.0018045	0.831743	0.0849728	0.0758088	0.002806	0.000823338	0.000482704	0.00155843
h	0.0132883	0.646891	0.12981	0.162059	0.0220298	0.00389063	0.0020466	0.019985
á	0.0132589	0.0520703	0.23659	0.299077	0.127599	0.0640348	0.0149956	0.192374
e	0.0289898	0.0228192	0.643559	0.133067	0.0833765	0.0681101	0.0104571	0.00962096
b	0.00806978	0.163503	0.266523	0.348032	0.115317	0.0442534	0.0301426	0.0241599
h	0.00388262	0.0103022	0.0294614	0.915383	0.0241357	0.00668061	0.0069997	0.00315451
e	4.98216e-05	0.0041695	0.00461721	0.978017	0.00719445	0.00293305	0.00141895	0.00159975
r	0.00261805	0.00971044	0.0440547	0.832939	0.0721733	0.0167589	0.00322769	0.0185179
á	0.00742945	0.0197109	0.0830968	0.302338	0.152558	0.0229977	0.0138854	0.397984
l	0.00899211	0.00455565	0.148195	0.0365534	0.607708	0.146164	0.011581	0.0362514
a	0.00745455	0.00484468	0.0534518	0.00708457	0.310146	0.097402	0.221293	0.298323
a	0.0159319	0.000860273	0.112471	0.00102883	0.322322	0.341012	0.184979	0.0213946
k	0.00502434	0.0289754	0.0683982	0.0866528	0.183894	0.174811	0.418232	0.0340123
ω	0.000303891	0.0198669	0.0197678	0.145362	0.0896142	0.127305	0.511335	0.0864456
n	0.000128499	0.0106565	0.0187936	0.0863228	0.219621	0.0676153	0.40868	0.188182
g	0.00112564	0.00698448	0.0189732	0.0204118	0.214893	0.119679	0.340904	0.277028
ώ	0.00295962	0.00115549	0.022684	0.00369077	0.336578	0.230538	0.226547	0.175847
m	0.000628729	0.000471467	0.0191593	0.00137925	0.312005	0.27459	0.114393	0.277373
á	0.0119247	0.000610818	0.059871	0.00279067	0.0948333	0.499707	0.0387666	0.291496
w	0.00352242	0.00150343	0.0443249	0.00405685	0.115145	0.409079	0.368338	0.0540307
a	0.0102664	0.00335742	0.0463277	0.0131406	0.099169	0.320757	0.399134	0.107848
</S>	0.000770919	0.000285272	0.00668802	0.00151499	0.0635224	0.162865	0.375026	0.389327
