 	le	poisson	en	forme	de	carpe	est	pris	au	filet	</S>
i	0.448923	0.35354	0.0885214	0.0327269	0.040849	0.0141431	0.0109137	0.0019227	0.00527637	0.00299694	0.000186985
y	0.16425	0.309818	0.246111	0.141827	0.0169341	0.027825	0.00686352	0.0212292	0.00665834	0.0568427	0.0016419
a	0.154505	0.331395	0.121238	0.0429568	0.0284741	0.305376	0.00513386	0.00706904	0.00150909	0.000193675	0.00214851
n	0.111639	0.209028	0.112328	0.0183983	0.0247512	0.281636	0.00912966	0.0227517	0.00697381	0.00135322	0.202011
g	0.244517	0.100717	0.325802	0.0522663	0.124346	0.108725	0.00904443	0.00459894	0.0028284	0.000501929	0.0266541
a	0.329867	0.0711331	0.175468	0.0704071	0.127833	0.197169	0.00735623	0.00341606	0.00143085	0.000131239	0.0157887
í	0.0537431	0.00851682	0.259983	0.0537424	0.457705	0.0591822	0.0523737	0.0190091	0.0147805	0.000516672	0.0204477
m	0.0276543	0.00359321	0.0412231	0.0260784	0.088522	0.0804485	0.286712	0.362473	0.0441164	0.00299259	0.0361868
o	0.0192876	0.0185849	0.0402007	0.0298431	0.119602	0.0951962	0.249023	0.137512	0.135422	0.00310373	0.152224
t	0.00359187	0.000297541	0.00345688	0.00779287	0.00310693	0.0271118	0.118824	0.774645	0.0185976	0.00631603	0.0362593
ó	0.000493851	0.000123383	0.00194882	0.00821577	0.003322	0.00733717	0.0447637	0.894113	0.0165854	0.00626644	0.0168301
á	0.000957497	8.6105e-05	0.00774532	0.0273123	0.00579484	0.0222611	0.0748827	0.728258	0.0337396	0.013148	0.0858145
m	0.0189201	0.00371735	0.0118005	0.00521344	0.0912447	0.0623053	0.107176	0.0780773	0.46623	0.04848	0.106836
ó	0.0531378	0.0463508	0.0307675	0.00816938	0.0747121	0.234996	0.184429	0.0261301	0.140158	0.0184071	0.182742
k	0.0107027	0.0017428	0.00646002	0.00252537	0.00938815	0.0322343	0.0528726	0.054759	0.167774	0.46093	0.200612
i	0.0001273	2.35319e-05	0.000364034	0.00337031	0.00021838	0.000360445	0.00438568	0.0663794	0.0166567	0.886737	0.0213774
a	0.000407219	5.00779e-05	0.000651382	0.00214719	0.000660295	0.00245965	0.00918377	0.0987215	0.0460826	0.74482	0.0948166
</S>	0.00466834	0.00108567	0.00687638	0.00476496	0.0132234	0.0114725	0.0166929	0.0281279	0.409322	0.233794	0.269973
