 	la	femme	de	son	oncle	est	devenue	pour	elle	une	rivale	</S>
m	0.953458	0.0327758	0.00357531	0.00730377	0.000507801	0.000686557	0.00022709	0.000636854	0.000274497	0.00037932	0.000160753	1.40585e-05
w	0.00218755	0.997454	8.83779e-05	1.59819e-05	1.57549e-05	0.000138799	8.96324e-06	1.40239e-05	1.97992e-05	9.33199e-06	1.27257e-05	3.43179e-05
á	0.562116	0.423581	0.00498873	0.00460381	0.000612656	0.00141395	0.000427914	0.000308481	0.000190125	3.89328e-05	0.00168289	3.61157e-05
s	0.69987	0.221189	0.0329101	0.0109208	0.00286527	0.00657113	0.00583582	0.00457494	0.00355169	0.00109035	0.00443484	0.00618634
í	0.530644	0.2325	0.0190146	0.0330259	0.110082	0.0141472	0.00156909	0.00595335	0.0042305	0.0031114	0.00767664	0.0380457
y	0.109345	0.0140822	0.580048	0.142887	0.0615346	0.0259136	0.00487177	0.017821	0.00782345	0.0197255	0.00265918	0.0132887
a	0.483777	0.0312979	0.122198	0.143148	0.156824	0.0347386	0.00104213	0.00595215	0.00324326	0.00457437	0.00317544	0.0100287
n	0.804539	0.00209692	0.0556648	0.107318	0.0173456	0.00586741	0.000126432	0.000981845	0.000358864	0.00121526	0.000350223	0.00413559
g	0.369004	0.036523	0.00665385	0.0315692	0.548797	0.00100418	0.000264684	0.00136739	0.000818144	0.00165664	0.000727721	0.0016141
ó	0.0146923	0.0183739	0.0238477	0.0925416	0.824233	0.0037928	0.000460875	0.00136591	0.00112911	0.00178035	0.0019356	0.0158473
l	0.00639869	0.00155023	0.0674616	0.150885	0.700001	0.0192228	0.00350295	0.0109049	0.00746706	0.0103853	0.00863307	0.013587
ó	0.010319	0.000497595	0.238458	0.282464	0.336442	0.0315946	0.0288213	0.0154533	0.0145883	0.0112155	0.00839307	0.0217535
m	0.0111651	0.00187048	0.0818815	0.168341	0.372126	0.157189	0.0640307	0.0610117	0.0308178	0.0216259	0.0144261	0.0155148
i	0.251268	0.00856329	0.0749605	0.0618458	0.00921609	0.312376	0.138517	0.0855924	0.0239367	0.0132083	0.00722102	0.013295
á	0.0145377	0.00102118	0.0529915	0.0752674	0.0428334	0.198182	0.376131	0.138737	0.0480567	0.0261626	0.00918384	0.0168961
b	0.00404226	0.000239102	0.0122176	0.0252012	0.0255919	0.141475	0.517035	0.142409	0.0579645	0.0219533	0.00336312	0.0485085
h	0.000303183	2.32656e-05	0.00421843	0.0160916	0.00760512	0.0106261	0.806931	0.0684184	0.0676246	0.00750153	0.00419988	0.00645672
i	0.00939158	1.0407e-05	0.021272	0.0420592	0.0075831	0.0149189	0.618507	0.151753	0.0975299	0.0212955	0.00284785	0.0128323
á	0.0037328	1.7559e-05	0.0437594	0.137448	0.018387	0.0525894	0.233612	0.195344	0.163686	0.0669889	0.0208462	0.0635896
l	0.0137233	0.000597044	0.0112759	0.0398669	0.0151225	0.0620423	0.0807974	0.288263	0.200921	0.195567	0.0700921	0.0217313
a	0.0182525	0.000115857	0.00522954	0.014525	0.0186963	0.0288706	0.0298696	0.212463	0.19768	0.302881	0.0729346	0.0984816
w	0.00307483	4.47197e-05	0.00639943	0.0140269	0.00640771	0.0305188	0.0177441	0.188894	0.201056	0.289718	0.192918	0.049197
á	0.00991957	7.61395e-05	0.040078	0.0896778	0.00459237	0.0322879	0.0402371	0.166204	0.282493	0.180113	0.121584	0.0327375
m	0.00603365	6.56386e-05	0.0045329	0.0113104	0.0026885	0.0167117	0.00553342	0.0687599	0.124227	0.240912	0.447477	0.071748
b	0.00126653	0.00037973	0.00138332	0.000730601	0.000171012	0.00996185	0.00172417	0.0227457	0.0700347	0.112864	0.641348	0.137391
a	0.000338324	4.52668e-05	0.000835202	0.000756637	0.000171827	0.00164639	0.00203936	0.0199408	0.0621908	0.0196885	0.864282	0.0280652
n	0.000418169	6.63296e-06	0.00241669	0.00388154	0.000283402	0.00234397	0.0054021	0.0477566	0.203999	0.132244	0.430744	0.170505
d	0.00562488	0.000274168	0.0101538	0.0112393	0.00482348	0.0131429	0.00265339	0.0479582	0.110562	0.204397	0.354403	0.234768
a	0.00273674	7.19779e-05	0.00237948	0.00704378	0.00631299	0.00574836	0.000876015	0.0167063	0.0628091	0.134261	0.259707	0.501347
</S>	0.00205682	1.45233e-05	0.00366725	0.00706578	0.00707958	0.00727018	0.00349669	0.0618696	0.106973	0.256471	0.147504	0.396532
