 	il	a	abandonné	le	poisson	salé	là	où	il	vend	</S>
w	0.699583	0.184432	0.0211678	0.0282317	0.0133855	0.0312861	0.0110789	0.00844345	0.0020121	0.000326336	5.29775e-05
a	0.582757	0.226796	0.0169397	0.0472467	0.0681495	0.0401928	0.0062505	0.00792011	0.00248464	0.00116941	9.40329e-05
á	0.193337	0.535397	0.125852	0.0375066	0.0290217	0.0154797	0.0139734	0.0318922	0.0118394	0.00094929	0.00475193
k	0.0355378	0.337689	0.380756	0.110102	0.0116952	0.0108877	0.0104749	0.0268747	0.0319679	0.0232442	0.0207706
ú	0.0147054	0.0585473	0.41957	0.23358	0.0212525	0.100381	0.0362098	0.0186753	0.0167693	0.0250236	0.0552869
l	0.00191866	0.0383653	0.628273	0.265115	0.00848796	0.0439772	0.00645521	0.00125108	0.0013536	0.00258301	0.00222091
u	0.0230717	0.0811825	0.332947	0.291934	0.0973158	0.0475287	0.0420449	0.0323908	0.0239684	0.000536933	0.0270788
a	0.0257347	0.0791185	0.0607671	0.22858	0.268269	0.222334	0.0433112	0.0414864	0.011125	0.00432485	0.0149495
k	0.00195556	0.0165951	0.0617292	0.159522	0.11014	0.598964	0.0246612	0.0103494	0.00663799	0.00396381	0.00548155
a	0.00135883	0.00277196	0.0354374	0.183528	0.0204955	0.653213	0.084216	0.00528681	0.00457483	0.00311666	0.00600105
á	0.0016264	0.00926203	0.0424331	0.245659	0.0618432	0.502214	0.0814283	0.0122479	0.00728959	0.0184538	0.0175424
b	0.00987868	0.0192149	0.026576	0.0766427	0.350766	0.140036	0.163796	0.127796	0.0319512	0.0172481	0.036095
o	0.0213905	0.0109535	0.00762806	0.0507298	0.119712	0.314189	0.330467	0.0859303	0.0462484	0.0011797	0.0115722
m	0.00146251	0.00777699	0.0251257	0.119352	0.0590277	0.285841	0.307679	0.0818405	0.0453522	0.0331952	0.0333478
á	0.00643792	0.00380434	0.00480047	0.0308829	0.166322	0.116546	0.437456	0.12505	0.0502082	0.000340312	0.0581516
a	0.00913344	0.0205714	0.0238185	0.0732575	0.157827	0.135836	0.22271	0.208513	0.116567	0.0189836	0.0127839
m	0.00108878	0.0100405	0.024915	0.0388556	0.01987	0.0435347	0.139776	0.207062	0.253452	0.221946	0.039459
έ	0.00418956	0.013663	0.00550604	0.00935061	0.120375	0.0267903	0.108336	0.277031	0.344737	0.00211947	0.0879023
n	0.000396354	0.00327758	0.00837044	0.0227976	0.0384435	0.116059	0.179227	0.194023	0.332269	0.051772	0.0533644
έ	0.00344657	0.010684	0.0141956	0.0194005	0.0969888	0.0359235	0.0283252	0.554473	0.131434	0.0137976	0.091331
ó	0.000935472	0.00409617	0.0046647	0.0135908	0.0874225	0.0290717	0.0404047	0.429466	0.205232	0.031395	0.153721
e	0.00252565	0.0143789	0.0280923	0.0264257	0.0186337	0.0115643	0.0568875	0.0961261	0.440869	0.245158	0.0593395
b	0.000233352	0.00610703	0.0160811	0.0168096	0.00523158	0.0115485	0.0133031	0.0280202	0.163552	0.60615	0.132963
é	0.000500147	0.00565814	0.00632339	0.0112749	0.00368386	0.0143938	0.0260111	0.032471	0.200256	0.620872	0.0785559
e	0.000271035	0.000842765	0.00236303	0.00529742	0.010385	0.00679838	0.0362344	0.0687081	0.176305	0.421262	0.271533
y	0.000332581	0.000747752	0.00171758	0.00210085	0.00224214	0.00115726	0.00780247	0.0214038	0.0964954	0.267974	0.598026
é	0.00173285	0.00845057	0.0231578	0.0256023	0.0147191	0.00368319	0.0192212	0.091536	0.243754	0.124655	0.443488
é	0.00171943	0.00205988	0.00283144	0.00950258	0.0220929	0.0021778	0.00726035	0.120543	0.114084	0.0912163	0.626512
k	0.00051968	0.00299571	0.0063567	0.0129304	0.00886236	0.00406468	0.0102186	0.0310772	0.0984431	0.294744	0.529787
i	3.48789e-05	0.000375954	0.00326717	0.00889922	0.0012543	0.00548703	0.00878126	0.00557149	0.0482499	0.846477	0.071602
r	4.2808e-05	0.000633369	0.00544489	0.00838093	0.00256532	0.0042804	0.0181833	0.00928036	0.0636217	0.61798	0.269587
á	0.000225026	0.000460005	0.00336184	0.00434155	0.0023332	0.00505048	0.0207223	0.0273629	0.113746	0.520448	0.301949
w	0.00315244	0.00137345	0.00226824	0.00843801	0.0152841	0.00471736	0.0185893	0.0452318	0.0697552	0.0952704	0.73592
a	0.0164974	0.00438929	0.00517614	0.022552	0.0675236	0.02333	0.0967178	0.180354	0.351713	0.0472029	0.184544
</S>	0.001649	0.000530867	0.000663059	0.00353779	0.0062899	0.00210023	0.00763474	0.0292266	0.040302	0.078206	0.82986
