 	il	est	actuellement	au	village	</S>
p	0.626034	0.261475	0.043908	0.0309662	0.0365401	0.00107621
á	0.143705	0.229753	0.0479641	0.0370351	0.537006	0.00453705
r	0.00745816	0.167917	0.462678	0.11554	0.0370705	0.209336
á	0.3808	0.310229	0.0873376	0.169131	0.0159898	0.0365134
a	0.687883	0.226773	0.0364663	0.0355793	0.00255438	0.0107436
d	0.264147	0.184522	0.18186	0.190688	0.00875507	0.170029
í	0.0320082	0.0519171	0.038908	0.0533422	0.0020774	0.821747
b	0.0219149	0.0277647	0.211009	0.251723	0.018005	0.469583
h	0.119716	0.243135	0.493727	0.124216	0.00151864	0.0176859
á	0.0350266	0.10334	0.347389	0.330113	0.00267987	0.181451
w	0.0233278	0.0537061	0.324393	0.288409	0.0824471	0.227718
a	0.0551603	0.100886	0.402546	0.277165	0.0695967	0.0946452
a	0.0152524	0.0200294	0.169754	0.332406	0.105539	0.357019
d	0.0120602	0.0333291	0.19265	0.349395	0.182237	0.230328
i	0.00171306	0.00123695	0.0107814	0.0470469	0.00376449	0.935457
ó	0.00317824	0.00348045	0.0365563	0.423284	0.0547416	0.47876
p	0.045715	0.0521562	0.058979	0.320688	0.182308	0.340153
o	0.00429727	0.019842	0.0551168	0.0343044	0.565011	0.321429
o	0.00116238	0.00892962	0.0384937	0.0577572	0.670573	0.223084
</S>	0.0100701	0.0177302	0.0458692	0.16924	0.0191554	0.737935
