 	il	y	a	un	feu	de	brousse	</S>
é	0.183172	0.658826	0.0928048	0.0366284	0.00572449	0.0162222	0.00624042	0.00038153
d	0.152584	0.29017	0.197527	0.224098	0.0348484	0.0406152	0.0560944	0.00406368
í	0.0246673	0.026926	0.473865	0.313417	0.0337243	0.0492048	0.0057877	0.0724083
l	0.00772389	0.0136394	0.10139	0.207208	0.0497144	0.0915218	0.0292086	0.499595
a	0.0343806	0.0325644	0.275085	0.114211	0.061893	0.0807086	0.00326659	0.397892
o	0.0242108	0.0240868	0.195679	0.310091	0.213065	0.0394281	0.0217818	0.171657
b	0.00111006	0.00416238	0.125438	0.707678	0.0914615	0.0143362	0.0338957	0.0219182
o	0.0016612	0.0115299	0.132625	0.678545	0.0142894	0.0144376	0.118867	0.0280456
n	0.00512864	0.0445512	0.0955743	0.678344	0.0256506	0.0376073	0.0334038	0.0797404
g	0.0559105	0.0447053	0.0758512	0.506719	0.031522	0.0309518	0.0179136	0.236426
í	0.0531813	0.0312796	0.0425661	0.361471	0.0390482	0.0701562	0.146867	0.25543
m	0.0107723	0.00772702	0.059454	0.0947226	0.388613	0.214075	0.116175	0.108462
á	0.00172262	0.000427494	0.00915798	0.0210905	0.797484	0.0485851	0.00465854	0.116874
k	0.00770866	0.00746736	0.0281659	0.0690408	0.350864	0.264832	0.181814	0.090107
ώ	0.000806087	0.00174539	0.0015243	0.00824689	0.00164962	0.0259329	0.933064	0.0270307
</S>	0.000233291	0.00202688	0.00177419	0.00899411	0.00273537	0.0224415	0.881272	0.0805229
