 	c'	est	une	région	brûlée	par	le	soleil	</S>
é	0.77207	0.151913	0.0281321	0.0345993	0.00894119	0.000943104	0.0031938	0.000117331	9.04081e-05
d	0.271815	0.635318	0.0590176	0.0163919	0.0085877	0.00378483	0.00349476	0.00114362	0.000446805
í	0.168717	0.621153	0.185099	0.00918986	0.00791834	0.00393368	0.000542348	0.00114576	0.00230104
e	0.0585341	0.24518	0.384493	0.117458	0.0168054	0.0147347	0.0121554	0.00500361	0.145636
k	0.00555779	0.0349641	0.31103	0.464818	0.131837	0.0330446	0.00391277	0.00397634	0.0108601
y	0.00365852	0.00775186	0.0946229	0.708729	0.0830405	0.0642792	0.00510048	0.00598104	0.0268367
é	0.0327036	0.0383513	0.127513	0.621715	0.117006	0.0336894	0.00772301	0.00767316	0.0136257
n	0.0206617	0.0489591	0.269397	0.289139	0.101487	0.0680427	0.0256903	0.0156883	0.160934
á	0.0164753	0.0208322	0.144654	0.378105	0.192411	0.125245	0.0107962	0.0121427	0.0993381
á	0.0545062	0.0388954	0.128939	0.0882421	0.281588	0.201073	0.0859848	0.0604197	0.0603518
e	0.0112436	0.00878568	0.0419508	0.0414346	0.196048	0.256614	0.348957	0.0697253	0.0252406
p	0.00320491	0.00843878	0.0291622	0.00738273	0.0140953	0.410133	0.167886	0.304556	0.0551411
ω	0.000950389	0.0054236	0.0545863	0.0293913	0.0243812	0.288237	0.129994	0.372725	0.0943117
ώ	0.00204328	0.00350121	0.0457262	0.165965	0.15584	0.182646	0.309054	0.0467137	0.0885107
m	0.00967122	0.00764253	0.0230194	0.0157001	0.0421555	0.0639342	0.716908	0.0568173	0.0641513
w	0.011158	0.00525522	0.00339778	0.000313207	0.00428665	0.0462789	0.0342665	0.748318	0.146726
é	0.00222329	0.00124175	0.0045661	0.00351336	0.015263	0.123762	0.079038	0.714874	0.0555189
s	0.00701565	0.0024199	0.00989097	0.00316064	0.020461	0.0941994	0.134653	0.286988	0.441211
é	0.00290272	0.00128398	0.0138981	0.0242181	0.0397254	0.0642362	0.236154	0.4698	0.147781
w	0.00371862	0.00624134	0.025356	0.021384	0.0293296	0.0570996	0.42511	0.0882181	0.343543
a	0.00548266	0.00467574	0.0351451	0.0229562	0.0562577	0.0963369	0.558284	0.150846	0.070016
m	0.00316166	0.000955133	0.0118024	0.00992623	0.0111751	0.0374793	0.363271	0.0446815	0.517547
έ	0.0221376	0.0267199	0.0574396	0.00676686	0.0162601	0.0706669	0.358446	0.275979	0.165584
n	0.00297265	0.00345931	0.0241686	0.00708737	0.00768273	0.0470511	0.4076	0.0658966	0.434081
d	0.000885237	0.00112312	0.00816607	0.0323867	0.0211017	0.0236383	0.167997	0.0419419	0.70276
e	0.000399987	0.000446587	0.00181522	0.0177498	0.0182819	0.0165877	0.0690064	0.0286944	0.847018
</S>	0.000716855	0.000595204	0.00493582	0.0209731	0.0543868	0.0348443	0.127208	0.0424914	0.713848
