 	sa	manière	de	mettre	le	manche	est	difficile	</S>
e	0.356715	0.321718	0.0536371	0.0970481	0.0088734	0.00868617	0.00424151	0.016267	0.132814
k	0.0185595	0.0341437	0.154657	0.538031	0.171575	0.0134748	0.00682553	0.0561764	0.0065569
a	0.0348447	0.00925136	0.0312201	0.488504	0.11997	0.081686	0.00865206	0.219274	0.0065989
n	0.00295717	0.0134653	0.0507955	0.694718	0.110856	0.0797181	0.0102458	0.0249987	0.0122451
í	0.0501245	0.0771508	0.0200889	0.345817	0.364255	0.0668504	0.00967712	0.00595786	0.0600782
l	0.0994224	0.1915	0.210983	0.189465	0.173304	0.0286156	0.0318543	0.0057531	0.0691033
í	0.0170185	0.0499176	0.0475952	0.0683716	0.183133	0.0393028	0.0422412	0.0142628	0.538157
y	0.31472	0.172953	0.306155	0.0615782	0.0730662	0.0125072	0.0124603	0.00565239	0.0409076
é	0.0518217	0.177973	0.451612	0.00986887	0.0397014	0.0369109	0.0345287	0.00568477	0.191898
é	0.0760652	0.204341	0.51458	0.0263898	0.0531288	0.0118263	0.0146571	0.00291008	0.0961023
k	0.0254337	0.00421228	0.156642	0.150916	0.265268	0.253962	0.057176	0.0228351	0.0635537
a	0.00243611	0.000224396	0.0161522	0.263543	0.271483	0.385393	0.0319842	0.0124038	0.0163796
n	0.00160047	0.000529198	0.0279546	0.339045	0.18995	0.378357	0.0200563	0.00868415	0.0338235
a	0.00685146	0.00214473	0.0390316	0.200313	0.426983	0.255573	0.0306693	0.00518618	0.0332476
w	0.00281742	0.0041868	0.133892	0.185247	0.289379	0.319326	0.0476027	0.00299624	0.0145531
a	0.0123262	0.011473	0.142644	0.195086	0.308683	0.243315	0.0581816	0.0114677	0.0168245
p	0.00440599	0.00403557	0.107807	0.106372	0.308889	0.261443	0.13286	0.0149422	0.0592452
á	0.00287679	0.00530977	0.0101066	0.0200991	0.0505757	0.78052	0.0857162	0.0348506	0.00994484
n	0.00112075	0.000751799	0.0095942	0.0364659	0.0681302	0.722135	0.0787939	0.039862	0.0431466
d	0.0134941	0.00221892	0.0436387	0.198006	0.289628	0.163136	0.10499	0.0588103	0.126079
e	0.00995712	0.00528045	0.0614635	0.024553	0.136448	0.203991	0.174903	0.080189	0.303215
é	0.00454327	0.00145118	0.0519339	0.0433401	0.0771695	0.0547775	0.523418	0.090985	0.152382
d	0.0409797	0.0035309	0.0422181	0.0398463	0.0844347	0.0569131	0.551182	0.107799	0.0730961
í	0.0216433	0.00481454	0.0111796	0.00955433	0.0143855	0.00731966	0.224187	0.0511628	0.655753
l	0.0410333	0.00629031	0.0222791	0.0186831	0.024666	0.0388767	0.216315	0.338317	0.293539
a	0.0223858	0.00237285	0.014093	0.00894272	0.0161021	0.00337245	0.0736375	0.347231	0.511862
k	0.00414582	0.00235704	0.00447223	0.00183275	0.00594044	0.00266091	0.0359065	0.807303	0.135381
y	0.00070541	0.000170832	0.00223036	0.00756873	0.00534022	0.0107256	0.0136667	0.935463	0.0241286
έ	0.00047387	0.000393195	0.00122384	0.00247094	0.00194568	0.00810383	0.00972066	0.948447	0.0272211
r	0.000973338	0.000211027	0.00297888	0.00199871	0.00660675	0.0249607	0.0361594	0.757401	0.16871
ε	0.00251933	0.000515961	0.00181949	0.0011924	0.00475639	0.0168798	0.0885246	0.661103	0.222689
</S>	0.00954703	0.00225988	0.0110555	0.00548785	0.017595	0.0119487	0.121832	0.135731	0.684543
