 	quelle	est	la	personne	qui	a	déraciné	cet	arbre	</S>
o	0.594904	0.203965	0.0842384	0.0428319	0.0304966	0.012803	0.0162924	0.005548	0.00570143	0.00321856
f	0.00733327	0.0340347	0.0360502	0.0326959	0.0695363	0.0318065	0.643892	0.024922	0.0907972	0.0289318
u	0.00410942	0.132454	0.135351	0.113155	0.13141	0.0192477	0.343725	0.0375144	0.0619707	0.0210637
n	0.000147931	0.0572585	0.154581	0.158282	0.221564	0.0361041	0.296834	0.0154093	0.0212173	0.0386024
d	0.00849986	0.0223407	0.143541	0.193303	0.224251	0.0481827	0.163679	0.0922379	0.0837773	0.0201874
u	0.0269433	0.0198062	0.0976954	0.1243	0.286778	0.0725194	0.301352	0.0178541	0.0176372	0.0351152
i	0.0100353	0.00684055	0.0614468	0.0886591	0.153353	0.364247	0.0889307	0.11635	0.0214704	0.0886667
b	0.00464553	0.0184264	0.0358534	0.0546053	0.0666553	0.221901	0.0933179	0.220875	0.200311	0.0834103
v	0.035328	0.0131202	0.00928777	0.0202896	0.00649221	0.0271251	0.0264787	0.0827005	0.648449	0.130729
ú	0.0125641	0.00647538	0.0134299	0.0358324	0.0280547	0.071293	0.0875647	0.153994	0.494481	0.0963105
a	0.0028665	0.000622328	0.00283246	0.00686677	0.0200173	0.0473287	0.0269572	0.497036	0.356199	0.0392741
d	0.00171223	0.00829366	0.0120934	0.0147923	0.02272	0.0942639	0.0631927	0.509778	0.15846	0.114694
í	0.0061405	0.00408414	0.00662677	0.00408583	0.0106948	0.0435856	0.0463523	0.420348	0.0624528	0.395629
é	0.0279803	0.00815753	0.0170664	0.0148599	0.0223154	0.107664	0.0190702	0.393873	0.154537	0.234475
d	0.0183311	0.0158389	0.0181957	0.014444	0.0240036	0.0502115	0.0675739	0.316243	0.20575	0.269408
z	0.00447322	0.0111631	0.0127538	0.00667168	0.0125896	0.0308078	0.0292584	0.2434	0.126367	0.522516
e	0.00500639	0.00346887	0.00655092	0.00470493	0.0124305	0.0240676	0.0195968	0.769274	0.045228	0.109672
n	0.00200083	0.00239183	0.013398	0.0189171	0.0469629	0.101666	0.0645377	0.386412	0.156452	0.207262
d	0.000337922	0.00117828	0.0036856	0.003201	0.00402436	0.024001	0.0678564	0.116913	0.194696	0.584106
a	0.00358408	0.0010517	0.00323591	0.00188277	0.00140025	0.00801991	0.0170477	0.0698937	0.0302235	0.86366
</S>	0.000146972	0.000315662	0.00112925	0.00106578	0.000834015	0.00710781	0.02245	0.0702911	0.0326097	0.86405
