 	le	tilapia	meurt	à	cause	de	son	amour	pour	ses	enfants	</S>
m	0.24548	0.728661	0.00216739	0.0017468	0.00261937	0.00358692	0.00241696	0.00194102	0.0050758	0.00595762	0.000260356	8.74082e-05
b	0.129603	0.793298	0.019587	0.0133947	0.00568582	0.00289418	0.006148	0.00431343	0.00348983	0.0042776	0.0096338	0.0076749
ω	0.212828	0.585314	0.0196032	0.0201535	0.0250194	0.0093391	0.0135336	0.00250431	0.0192834	0.0116282	0.0767298	0.00406406
ώ	0.0517647	0.820836	0.0241659	0.00796871	0.013538	0.00709016	0.00624198	0.000651784	0.0165434	0.00874778	0.0318021	0.0106497
l	0.155055	0.137613	0.501873	0.0924554	0.0200464	0.0149646	0.0121411	0.00458065	0.0100444	0.0106243	0.00138661	0.0392151
á	0.0554084	0.0293781	0.289887	0.0653688	0.0274584	0.0235918	0.0369748	0.0080108	0.0217567	0.0189654	0.00797943	0.41522
a	0.474635	0.0413657	0.188497	0.095079	0.022816	0.0154515	0.0174904	0.015083	0.0142043	0.0353101	0.0527881	0.0272799
w	0.00546962	0.00259163	0.347714	0.428958	0.107505	0.0157104	0.00692363	0.00367106	0.00922944	0.00287225	0.0013437	0.0680109
á	0.00553117	0.0051221	0.40787	0.269903	0.131759	0.0280116	0.0183417	0.00648723	0.0269914	0.00726293	0.0066153	0.086105
m	0.00951427	0.00187743	0.286793	0.280115	0.0982686	0.0323456	0.0402672	0.0120457	0.0191422	0.0263719	0.0544463	0.138813
ó	0.0226677	0.0084296	0.00864935	0.195637	0.219714	0.0642359	0.105319	0.00693221	0.0799552	0.0642804	0.218545	0.00563436
p	0.0124242	0.00736902	0.026914	0.0982383	0.114025	0.152769	0.0937193	0.0946639	0.0831725	0.153894	0.138002	0.0248093
ó	0.00316094	0.00119266	0.0228611	0.0948939	0.368401	0.225122	0.0479215	0.043211	0.111381	0.0292459	0.013182	0.0394275
s	0.00209972	0.0029894	0.0669524	0.10376	0.224621	0.174308	0.0569236	0.0906159	0.144116	0.0456836	0.00550876	0.082423
á	0.00709302	0.00126562	0.00655092	0.0834201	0.164366	0.144415	0.0984177	0.173446	0.178064	0.0425795	0.00283459	0.0975468
b	0.00389112	0.00142896	0.00223512	0.0115987	0.0329008	0.101365	0.0953323	0.219206	0.162776	0.253504	0.0920143	0.0237486
á	0.00554407	0.000941273	0.00299854	0.0150651	0.0433507	0.0836809	0.0676399	0.0146912	0.180443	0.18041	0.35218	0.0530562
n	0.00139191	0.000463644	0.000645626	0.00474192	0.0088368	0.0275101	0.048292	0.00429473	0.0619958	0.203609	0.609693	0.0285251
a	0.00734221	0.0100611	0.00258252	0.00803081	0.0121862	0.043721	0.130177	0.0316083	0.0444801	0.110778	0.412178	0.186854
</S>	0.000295387	0.000485794	0.00435045	0.015924	0.0200041	0.0711834	0.107256	0.100447	0.224134	0.224329	0.0270412	0.20455
