 	il	parle	en	paraboles	</S>
w	0.972869	0.0219516	0.00465286	0.000473851	5.25941e-05
a	0.968391	0.0181114	0.0122051	0.000993689	0.000299091
l	0.284403	0.509745	0.171907	0.0066601	0.027285
á	0.16683	0.231551	0.225803	0.031149	0.344667
a	0.273065	0.233043	0.291781	0.0793973	0.122713
t	0.00571646	0.918082	0.061605	0.0100167	0.00458007
i	0.00552805	0.860225	0.10884	0.0151433	0.0102637
á	0.00435486	0.456018	0.483601	0.0295674	0.0264585
m	0.0246647	0.0610082	0.608909	0.246941	0.0584772
í	0.0212824	0.0359636	0.41594	0.337173	0.189641
l	0.0140233	0.0473733	0.315835	0.514851	0.107917
é	0.000742393	0.00412503	0.0317456	0.79801	0.165377
n	0.000578232	0.0140578	0.10321	0.712145	0.170009
d	0.00199743	0.017402	0.0992681	0.682638	0.198695
é	0.000824415	0.00238196	0.0191436	0.498962	0.478688
</S>	0.000984695	0.00433621	0.0644063	0.289236	0.641037
