 	il	a	flanqué	des	coups	de	poing	à	son	ami	en	pleine	figure	</S>
w	0.614257	0.302004	0.01312	0.00955409	0.00441837	0.00429659	0.00290878	0.0198823	0.0167655	0.00143798	0.00204759	0.00908194	0.000104138	0.000121746
a	0.829191	0.0712401	0.00280291	0.0105699	0.0037729	0.00954575	0.000707906	0.0210939	0.0295794	0.00863646	0.00263918	0.00957944	0.000505344	0.000136411
á	0.0644413	0.802227	0.0478431	0.0323169	0.00362564	0.0037717	0.00120633	0.00600672	0.00672191	0.000639169	0.00670331	0.0128782	0.00708727	0.00453146
m	0.00846942	0.376679	0.461559	0.102484	0.0245616	0.00557913	0.00325271	0.00180662	0.00109894	0.0012633	0.00166832	0.00123063	0.00391808	0.00642994
i	0.0113729	0.159497	0.148387	0.327015	0.126999	0.0635073	0.014943	0.0157146	0.0151627	0.0425939	0.0181185	0.00686825	0.00795518	0.0418662
t	0.00397226	0.0416183	0.645295	0.129791	0.0365663	0.0276007	0.0233895	0.00662482	0.00552885	0.0102106	0.00597039	0.00479727	0.0207891	0.0378456
ú	0.000338853	0.00466369	0.680068	0.100451	0.0509475	0.0238326	0.0601534	0.00420603	0.00569613	0.00737536	0.00931618	0.00301307	0.0119633	0.0379751
ú	0.00157008	0.0207973	0.522732	0.0812221	0.0274439	0.0129206	0.228781	0.00457744	0.00431711	0.00051975	0.0158766	0.00227191	0.00590553	0.071064
n	0.000566359	0.00915912	0.184834	0.236647	0.12532	0.0828036	0.0904004	0.0240054	0.0175054	0.00286042	0.0173952	0.0137914	0.00954769	0.185164
g	0.0020975	0.00972777	0.264566	0.258369	0.0571746	0.0996395	0.016068	0.0263571	0.0233025	0.000662095	0.0247745	0.0306113	0.0118156	0.174834
á	0.0283282	0.0248184	0.106331	0.247991	0.132951	0.0672682	0.0229263	0.0156727	0.0237898	0.000754055	0.0191238	0.0290998	0.0213646	0.259581
o	0.00154673	0.00599068	0.00461882	0.0297044	0.092967	0.261663	0.191205	0.133925	0.15381	0.0463459	0.0230771	0.044452	0.00750167	0.00319254
b	0.000176524	0.000762846	0.00078284	0.00337905	0.022329	0.0916633	0.111859	0.102446	0.0560432	0.470527	0.0726422	0.0262811	0.0193976	0.0217107
i	0.000515146	0.000157604	0.000233233	0.000465027	0.00204668	0.00334381	0.0167082	0.00636066	0.0108672	0.952694	0.00414177	0.000850807	0.000447348	0.00116839
a	0.00013173	0.00128809	0.000900346	0.00640541	0.0473295	0.0496086	0.0701587	0.0492316	0.0525348	0.543565	0.117449	0.00522417	0.00323061	0.0529427
i	0.00203995	0.00790298	0.00145223	0.0106008	0.00706344	0.0731388	0.0190288	0.237394	0.201128	0.0171979	0.200018	0.176206	0.0167501	0.0300785
t	0.0011786	0.00261597	0.00275061	0.005743	0.0133987	0.0413852	0.0529121	0.0430797	0.0353467	0.084605	0.306434	0.0630796	0.221963	0.125508
s	0.000611642	0.00184054	0.00964505	0.0117052	0.0336956	0.0509198	0.184621	0.0503804	0.0828566	0.0380496	0.193888	0.0457164	0.212339	0.0837312
ω	0.000183205	0.000315733	0.00211605	0.00445075	0.0378557	0.0582189	0.204084	0.0747688	0.085515	0.0331713	0.208886	0.0916202	0.125027	0.0737867
ώ	7.75431e-05	0.000949728	0.000658494	0.00427159	0.00604992	0.0249806	0.0113809	0.060871	0.0644368	0.00868943	0.139148	0.182204	0.162135	0.334146
s	0.000663153	0.0076812	0.00387908	0.00982219	0.00667448	0.0257315	0.00901557	0.0488615	0.0356207	0.00703481	0.13903	0.169201	0.287814	0.248971
é	0.000362732	0.00578146	0.0186688	0.0200736	0.0041472	0.0163032	0.00633291	0.0458055	0.0876804	0.00108158	0.0281802	0.280754	0.370886	0.113943
l	0.00020699	0.00122086	0.00208461	0.00454626	0.00186085	0.00805466	0.00931934	0.0579402	0.123704	0.00197913	0.00959763	0.208627	0.420636	0.150223
é	0.000209709	0.000485516	0.00121746	0.00422387	0.00280995	0.00937813	0.00219517	0.0185621	0.0171289	0.00135242	0.018229	0.100914	0.371501	0.451793
n	7.19406e-05	0.000252474	0.00020641	0.00156093	0.00540673	0.00766085	0.00987423	0.0259008	0.0265303	0.00265057	0.040236	0.105356	0.331578	0.442715
g	0.000108427	0.00055276	0.00665346	0.00547412	0.00175237	0.00609718	0.00314889	0.0205559	0.0433247	0.00554612	0.0162504	0.298118	0.354251	0.238167
é	3.73215e-05	0.000117953	0.00373985	0.00164162	0.00126104	0.00308627	0.00363196	0.00729735	0.0287765	0.00587449	0.0168772	0.110141	0.539946	0.277572
</S>	2.46501e-05	8.73704e-05	0.00013275	0.00150961	0.00228771	0.00771624	0.00458625	0.0323644	0.0346435	0.00181247	0.0866717	0.109438	0.171385	0.547339
