 	la	chefferie	est	héréditaire	chez	les	mbochis	</S>
o	0.780195	0.188633	0.0132825	0.00297573	0.00945968	0.00505238	0.000320633	8.09447e-05
m	0.0523584	0.93026	0.00574197	0.00861039	0.00123047	0.000399423	0.000788194	0.000611366
w	0.0400818	0.950961	0.00202802	0.000457043	0.0017556	0.000299442	0.000992339	0.00342483
ε	0.0187057	0.950746	0.00431239	0.00491618	0.0144888	0.00108217	0.0038308	0.00191798
n	0.222705	0.731674	0.00862961	0.00487443	0.0167854	0.00370557	0.0033447	0.00828071
έ	0.220397	0.697178	0.0252674	0.0116287	0.0106869	0.00562993	0.0067043	0.0225079
á	0.129342	0.04817	0.778395	0.0137706	0.00414273	0.013531	0.00226194	0.0103864
d	0.0259202	0.00710652	0.526701	0.367663	0.0365823	0.0150594	0.00327216	0.0176959
i	0.00719931	0.00396334	0.320247	0.500331	0.0247045	0.0111987	0.00799183	0.124364
e	0.0132663	0.00170278	0.200596	0.633222	0.0836939	0.0311078	0.00731506	0.0290961
k	0.0027692	0.00296208	0.0652516	0.510941	0.346985	0.0324474	0.0125342	0.026109
í	0.000227911	0.000320457	0.00809581	0.876835	0.0987841	0.00391282	0.00258922	0.00923428
r	0.000516083	0.000858741	0.0281078	0.827013	0.105585	0.00883192	0.00497308	0.024114
i	0.00376028	0.00076124	0.0379883	0.800027	0.0823757	0.0449834	0.00384077	0.026263
i	0.00196173	0.000681459	0.0640009	0.321996	0.356012	0.130168	0.0172988	0.107881
m	0.00161948	0.000622268	0.0208004	0.141398	0.364872	0.329852	0.0334546	0.107381
b	0.00285383	0.00284255	0.00349907	0.0036444	0.331929	0.206291	0.352981	0.0959582
v	0.000727622	0.00450331	0.000376235	0.00159589	0.74247	0.0446483	0.192577	0.0131015
á	0.000915145	0.0209372	0.00127054	0.00318622	0.62577	0.0436655	0.198515	0.105741
a	0.0213667	0.000487563	0.00805765	0.0119101	0.185773	0.435354	0.0714708	0.26558
a	0.00122192	0.000538262	0.0115567	0.00715118	0.0229829	0.792571	0.10017	0.0638083
m	0.00320625	0.000953576	0.0101276	0.0233354	0.0223262	0.289717	0.627249	0.0230852
b	0.000891132	0.00126243	0.00257529	0.000190301	0.0131482	0.111067	0.7998	0.0710654
ω	6.42436e-05	0.000591642	7.80761e-05	0.000135937	0.0746282	0.0352032	0.872077	0.0172218
s	4.15638e-05	0.000169461	0.000527801	0.0036808	0.0761949	0.0419628	0.705452	0.17197
í	0.000696134	0.00165392	0.00101351	0.00294029	0.0203853	0.0873163	0.296257	0.589738
</S>	0.00383236	0.000196059	0.00378137	0.000992487	0.00347285	0.222659	0.154537	0.610529
