 	ils	ont	levé	l'	ancre	hier	</S>
b	0.823449	0.140228	0.0168777	0.0150968	0.00220738	0.000667023	0.00147346
á	0.533906	0.081461	0.351432	0.0258441	0.00587535	0.000136226	0.00134547
a	0.918719	0.0225425	0.0528276	0.00435376	0.000357001	0.000132827	0.00106734
á	0.0930838	0.478518	0.188086	0.138114	0.018702	0.000556418	0.0829402
t	0.00408388	0.151511	0.150281	0.440636	0.218336	0.00629704	0.0288548
έ	0.000834307	0.104736	0.119809	0.426238	0.284649	0.0237895	0.039944
m	0.0219545	0.108397	0.0885086	0.345065	0.294389	0.0224391	0.119246
i	0.0346932	0.0874934	0.0586211	0.450537	0.271311	0.0142909	0.0830542
l	0.072718	0.0519438	0.198524	0.182791	0.179417	0.114005	0.200601
a	0.00200696	0.016256	0.0741296	0.261756	0.433548	0.0458975	0.166406
a	0.0142521	0.0179638	0.101587	0.150255	0.384213	0.173573	0.158157
p	0.00114445	0.00783043	0.0187874	0.0555191	0.343799	0.451351	0.121569
ó	1.62043e-05	0.0018088	0.000840286	0.00546848	0.0245838	0.939784	0.0274981
a	4.01586e-05	0.00323251	0.0054625	0.0241502	0.0581304	0.829326	0.0796579
</S>	0.00394146	0.0166193	0.0403021	0.040487	0.0531879	0.166772	0.67869
