 	a	côté	du	village	il	y	a	une	grande	bananeraie	</S>
b	0.559316	0.310421	0.0636561	0.0347194	0.00707631	0.00489048	0.00639892	0.0041605	0.0075228	0.00109742	0.000741333
ε	0.158688	0.62745	0.138746	0.0123614	0.0105407	0.00562159	0.0122929	0.00760212	0.017709	0.0055641	0.00342419
έ	0.0341668	0.715637	0.0730237	0.00466601	0.0182078	0.0242461	0.0169804	0.0215693	0.0142143	0.000523412	0.0767656
b	0.0625999	0.156278	0.35605	0.0223076	0.128884	0.0652567	0.0339418	0.0204934	0.0204866	0.000354584	0.133348
ε	0.138539	0.462339	0.20279	0.00637258	0.0411709	0.0209583	0.0151147	0.0124673	0.0333561	0.00048361	0.0664077
έ	0.186441	0.242079	0.249128	0.0202579	0.0378565	0.0149384	0.0129121	0.0141584	0.0136827	0.00155768	0.206988
l	0.0512529	0.0771676	0.276952	0.180247	0.0904719	0.108775	0.0538841	0.0532999	0.0328828	0.00330003	0.071767
a	0.0862459	0.033869	0.112767	0.250964	0.0937913	0.11651	0.0558834	0.0566393	0.0330678	0.00527526	0.154988
p	0.147863	0.0163151	0.112057	0.423869	0.116299	0.0455474	0.0213554	0.012375	0.0153104	0.0187452	0.0702633
o	0.00378893	0.092536	0.00453878	0.846027	0.0167999	0.0108482	0.00462785	0.00541655	0.000922671	0.00233762	0.0121565
o	0.00469985	0.0306548	0.0251633	0.719051	0.088502	0.0592503	0.02544	0.0226042	0.00367347	0.000712235	0.0202486
é	0.00304816	0.000867168	0.0892271	0.00983128	0.28465	0.283445	0.197247	0.0785707	0.039815	0.000980416	0.0123191
d	0.00466533	0.00307526	0.0628209	0.00403348	0.150891	0.229927	0.283191	0.190197	0.0357039	0.00231534	0.03318
í	0.000422054	9.97344e-05	0.0067076	0.00111838	0.0518579	0.106097	0.158497	0.298489	0.0462186	0.00172726	0.328766
l	0.00345277	0.000693817	0.0429544	0.0110467	0.0517117	0.136672	0.139349	0.203392	0.161177	0.0205806	0.228969
a	0.00165663	0.00115108	0.0213851	0.00324326	0.0525234	0.122955	0.108243	0.194499	0.223341	0.0297699	0.241232
n	0.00171436	0.000615538	0.0106842	0.00262138	0.0127689	0.0273861	0.0205899	0.041471	0.0614835	0.748416	0.0722494
g	0.000334132	8.39083e-05	0.000319833	0.000715583	0.00114586	0.00433734	0.0079603	0.0222255	0.0141488	0.922094	0.0266348
o	0.000155597	5.07212e-05	0.000367256	0.00105215	0.00201992	0.00436212	0.00637502	0.00857765	0.00329449	0.96929	0.00445527
n	2.83093e-06	9.72245e-06	1.89624e-05	0.00195793	0.000125141	0.000565384	0.000295086	0.00132166	0.000379258	0.987903	0.0074208
d	0.000805212	0.00094271	0.00298698	0.00497068	0.020159	0.0399779	0.0341943	0.123775	0.115105	0.30829	0.348794
a	0.00027787	0.000330079	0.000354775	0.00217214	0.000844331	0.00318725	0.00221932	0.0060799	0.0089796	0.934467	0.0410875
y	0.00269711	0.00181282	0.0197634	0.000540504	0.0320211	0.0719086	0.0629106	0.109142	0.304806	0.0876995	0.306699
á	0.0206891	0.00441175	0.104385	0.00331628	0.0675927	0.05314	0.0646022	0.0627199	0.409564	0.100696	0.108883
a	0.0058929	0.00391885	0.0553171	0.0044184	0.0195982	0.0420886	0.0429762	0.0873551	0.382161	0.166762	0.189511
t	0.00322038	0.00432509	0.0423941	0.00112987	0.0182311	0.0320885	0.0599213	0.130314	0.17333	0.105874	0.429172
ω	0.00043237	0.0118456	0.00630782	0.0127674	0.0143353	0.0548917	0.0503685	0.323711	0.0570224	0.0649513	0.403367
r	0.000337198	0.00468136	0.00218722	0.00533664	0.00839449	0.0698813	0.0342064	0.273293	0.101814	0.214657	0.285212
ω	0.000169076	0.003387	0.00166075	0.00406712	0.0105806	0.0401646	0.0281282	0.167311	0.0972621	0.40448	0.242789
</S>	0.00381374	0.000458539	0.0153692	0.000605433	0.0157583	0.0295167	0.0249499	0.0567328	0.301113	0.0315172	0.520166
