 	séparez	ces	enfants	qui	se	battent	</S>
l	0.754939	0.115925	0.0928729	0.0167502	0.0172486	0.00200023	0.000263463
é	0.844191	0.0401962	0.0264261	0.0670817	0.0144377	0.00440831	0.00325922
s	0.645848	0.24989	0.0498022	0.0245014	0.00391538	0.0122498	0.0137941
u	0.38513	0.407952	0.00625004	0.0513612	0.00631663	0.0240636	0.118927
n	0.58017	0.303773	0.0169771	0.0163705	0.00383489	0.00578766	0.0730866
g	0.426791	0.536474	0.0166545	0.00539278	0.00145808	0.00585399	0.00737567
á	0.218994	0.55869	0.0713834	0.0300965	0.00793363	0.0512803	0.061622
b	0.13707	0.388307	0.0865085	0.183962	0.163441	0.0275156	0.0131952
á	0.0488974	0.254638	0.394967	0.161911	0.0952388	0.025082	0.0192656
n	0.0111493	0.228977	0.53047	0.13448	0.0455741	0.0171925	0.0321559
a	0.0138789	0.30049	0.147144	0.109118	0.0765157	0.299779	0.053073
b	0.0183636	0.260201	0.0875695	0.345073	0.181758	0.0217255	0.0853104
á	0.0165144	0.191696	0.330478	0.200036	0.114853	0.0587673	0.0876547
á	0.00730368	0.0293055	0.0337713	0.346896	0.318073	0.093142	0.171509
b	0.0296985	0.00472466	0.000739267	0.0782249	0.278144	0.278401	0.330068
v	0.00480212	0.00995161	0.0065803	0.113168	0.436288	0.308318	0.120892
u	0.00285348	0.0110076	0.0161751	0.220018	0.492113	0.0765261	0.181307
n	0.00219186	0.00742418	0.000657288	0.0431597	0.0670794	0.270092	0.609396
a	0.00452556	0.0273129	0.000552891	0.157676	0.193208	0.46278	0.153944
b	0.00346912	0.0531417	0.017938	0.0770957	0.0527704	0.118331	0.677254
έ	0.0047681	0.115755	0.119718	0.0984526	0.282164	0.35703	0.0221111
ε	0.0014295	0.0322401	0.0136533	0.0362877	0.0693378	0.378301	0.46875
</S>	0.000710454	0.00141212	0.000475692	0.0166716	0.0189645	0.0817434	0.880022
