 	je	ne	bougerai	pas	d'	ici	</S>
n	0.653168	0.0751205	0.117533	0.0680872	0.045341	0.0311456	0.00960402
g	0.993607	0.0020426	0.00194141	0.000999647	0.000785341	0.000352791	0.000270878
á	0.987498	0.00924153	0.00114478	0.000613436	0.000546464	0.000797395	0.000158632
i	0.0721675	0.491665	0.0721262	0.0642966	0.0988744	0.153894	0.0469761
d	0.0223954	0.435979	0.12434	0.056359	0.03228	0.0462905	0.282356
í	0.0421206	0.477533	0.31487	0.027322	0.0110288	0.0125019	0.114624
s	0.0207652	0.073126	0.658802	0.0875194	0.0731325	0.0206637	0.0659913
i	0.0583907	0.296819	0.431134	0.0528482	0.038711	0.045901	0.0761961
o	0.0378532	0.152668	0.309441	0.158349	0.182327	0.069273	0.0900894
t	0.00266467	0.0496676	0.0645515	0.100037	0.145091	0.459361	0.178627
í	0.000368722	0.0468854	0.0831992	0.0972026	0.0733105	0.370079	0.328954
n	0.000591838	0.0644622	0.201571	0.11378	0.0867039	0.268034	0.264857
a	0.0230866	0.0444648	0.351267	0.229429	0.1143	0.145033	0.0924206
a	0.0114183	0.037457	0.131258	0.26152	0.268962	0.184352	0.105034
k	0.00522223	0.0119538	0.0683178	0.164313	0.39284	0.194558	0.162795
a	0.000161712	0.00340091	0.0989405	0.222401	0.288949	0.237833	0.148314
á	0.000296432	0.00186313	0.184862	0.157132	0.0944317	0.175991	0.385424
</S>	0.00279492	0.0125917	0.0304562	0.0697492	0.152048	0.180172	0.552188
