 	la	femme	allaite	son	enfant	</S>
o	0.643993	0.234113	0.0550318	0.0626439	0.00247203	0.00174622
y	0.176116	0.784182	0.0131252	0.00395535	0.013581	0.00904065
ú	0.870307	0.0880802	0.00841536	0.0239561	0.0019551	0.0072867
r	0.758489	0.0846049	0.00645796	0.0287591	0.00282578	0.118863
u	0.810755	0.107745	0.025031	0.00972975	0.00791392	0.0388256
l	0.255847	0.203793	0.281289	0.221313	0.0119689	0.0257898
á	0.101321	0.0704121	0.080289	0.0623264	0.00271989	0.682932
a	0.51844	0.170749	0.0503177	0.213521	0.0359631	0.0110103
p	0.0463475	0.0905238	0.619032	0.0418634	0.0235057	0.178728
έ	0.0143094	0.00606938	0.793947	0.0198063	0.00178092	0.164087
m	0.0957544	0.0577341	0.306615	0.297937	0.0701864	0.171774
w	0.0138423	0.0450923	0.0737799	0.11696	0.297775	0.452551
á	0.00419025	0.0264077	0.00662776	0.0217234	0.924489	0.0165615
n	0.00422052	0.00274153	0.00359019	0.101243	0.869989	0.018216
a	0.0135418	0.0296715	0.00323504	0.101041	0.807908	0.0446028
a	0.0316856	0.00877606	0.271396	0.325932	0.0160468	0.346164
b	0.0923512	0.0527257	0.271501	0.229969	0.0291404	0.324312
έ	0.0352495	0.00881848	0.647183	0.087302	0.0483686	0.173078
ε	0.00557425	0.000867669	0.221526	0.0400034	0.0124963	0.719533
</S>	0.0203831	0.00464663	0.114732	0.112546	0.00269136	0.745
