 	dieu	est	le	créateur	de	ces	étoiles	qui	luisent	</S>
n	0.828089	0.0741954	0.0171621	0.00365947	0.017902	0.0409352	0.00151326	0.0149754	0.000969537	0.000598425
z	0.997907	0.000826347	0.000448234	2.86502e-05	9.20439e-05	0.000227071	0.00037892	4.48261e-05	4.20767e-05	4.75336e-06
a	0.917189	0.0199451	0.0200636	0.0110279	0.00365797	0.00355241	0.0216476	0.000725041	0.00160501	0.00058632
m	0.61999	0.0740852	0.0665265	0.0521104	0.00917227	0.00888687	0.114449	0.0108749	0.00404011	0.0398647
b	0.358607	0.31889	0.0700266	0.0175911	0.0277536	0.0351184	0.0624756	0.0516599	0.0045728	0.053305
é	0.380908	0.286576	0.114925	0.0185403	0.0310983	0.042142	0.0569789	0.0103083	0.0112797	0.0472438
a	0.0289951	0.515283	0.337637	0.0433234	0.0176794	0.00883362	0.00272217	0.0176137	0.0030047	0.0249083
d	0.00363092	0.237606	0.5794	0.133473	0.0149874	0.00574981	0.00173704	0.00274647	0.000994331	0.0196743
í	0.00179498	0.285507	0.491993	0.0865137	0.0340641	0.0146403	0.00243286	0.00307936	0.00226174	0.0777134
m	0.00358561	0.107803	0.330676	0.159184	0.167364	0.0824764	0.00472734	0.0137435	0.00710628	0.123334
o	0.000150689	0.134689	0.0859871	0.0718205	0.120025	0.35558	0.111608	0.0596562	0.0446203	0.0158624
r	0.000504529	0.00423449	0.013647	0.503265	0.280336	0.0691058	0.113	0.00314492	0.00331206	0.00945072
o	0.000684443	0.0042926	0.014468	0.477379	0.204028	0.0645518	0.213592	0.0107718	0.0011578	0.00907425
y	0.000622637	0.00973624	0.0173194	0.288706	0.368249	0.149984	0.137894	0.0109532	0.00164138	0.0148946
a	0.00186763	0.0145529	0.0509292	0.457191	0.280958	0.0972656	0.0364639	0.018858	0.00833426	0.0335801
á	0.000626487	0.00473987	0.0177363	0.0475547	0.371685	0.374615	0.0847264	0.0448233	0.0119607	0.0415321
b	0.001255	0.0148245	0.0455837	0.0259925	0.243087	0.358185	0.180441	0.0638578	0.0336522	0.0331212
ω	0.00010614	0.00838621	0.0325481	0.0153628	0.248071	0.450467	0.0917291	0.0267623	0.0888593	0.0377083
n	8.71564e-05	0.0030754	0.0135402	0.0218728	0.227838	0.283449	0.187377	0.0289612	0.0711311	0.162668
g	0.000276648	0.00486007	0.0258165	0.0651718	0.286059	0.272031	0.222051	0.0551058	0.0114381	0.0571903
ó	0.00184704	0.00268701	0.0138994	0.0363702	0.12243	0.185735	0.558206	0.0361454	0.00914456	0.033535
m	0.000396917	0.00136786	0.00437121	0.00354185	0.0628778	0.271047	0.138947	0.349095	0.0677111	0.100644
y	0.000338819	0.00237951	0.00411679	0.00457951	0.0526828	0.133655	0.115818	0.232691	0.0960751	0.357664
έ	3.55922e-05	0.00154654	0.0079462	0.00775414	0.0596792	0.10921	0.182593	0.116143	0.347999	0.167094
r	5.45692e-05	0.000373911	0.00141342	0.00455477	0.0398574	0.0697352	0.0880138	0.124479	0.36864	0.302877
i	4.50075e-05	0.000411153	0.00340607	0.0201137	0.0688446	0.136243	0.060179	0.0720293	0.402028	0.236701
m	0.000235241	0.000668134	0.00162193	0.00126882	0.0186316	0.105008	0.0105838	0.209771	0.27707	0.375141
í	1.01533e-05	0.00094296	0.00126633	0.000292811	0.00538959	0.0501231	0.0538191	0.549726	0.162847	0.175583
í	0.00010026	0.00128306	0.00345747	0.00163479	0.0158513	0.0705871	0.0447688	0.0932797	0.602414	0.166623
b	0.000451095	0.00609386	0.0121456	0.00448859	0.0148099	0.0316708	0.0232343	0.156121	0.246459	0.504526
á	4.10423e-05	0.00821742	0.0406836	0.0120755	0.0537619	0.11414	0.0268447	0.0292003	0.577663	0.137373
l	0.000176812	0.00119114	0.00285163	0.00138278	0.00711515	0.0439799	0.00401158	0.0120876	0.551241	0.375962
a	8.54654e-05	0.000390113	0.00147222	0.00409821	0.00724271	0.0180678	0.00800953	0.0312471	0.278539	0.650848
m	8.85592e-05	0.000815136	0.00307454	0.00229435	0.012785	0.0275458	0.0118329	0.189393	0.243562	0.508609
í	5.42816e-05	0.00466006	0.005696	0.00272608	0.0152334	0.047825	0.127861	0.481519	0.160796	0.15363
</S>	6.47701e-05	0.00110259	0.00326769	0.000974701	0.0100448	0.0516911	0.0289359	0.147246	0.332944	0.423729
