 	nous	allons	nous	battre	sous	le	soleil	toi	et	moi	</S>
b	0.705824	0.251387	0.00784745	0.00916059	0.0051974	0.00900062	0.00236537	0.000965883	0.0076362	0.000357417	0.00025797
í	0.664689	0.0590431	0.23645	0.0133117	0.00324071	0.00236524	0.0012912	0.00332572	0.0124907	0.00363225	0.000160633
s	0.765856	0.00870847	0.213581	0.00427221	0.00099122	0.000226246	0.000636214	0.00218778	0.00160785	0.00101312	0.000920313
í	0.778076	0.0175352	0.163935	0.00665677	0.00192541	0.000896799	0.00184197	0.0138975	0.00705942	0.00682957	0.001346
l	0.0641176	0.338642	0.0302964	0.045283	0.0212484	0.0137459	0.00852183	0.0147939	0.0269106	0.0395356	0.396905
a	0.00691675	0.11104	0.0654484	0.0876692	0.0370459	0.0206016	0.0119266	0.0863482	0.10853	0.133768	0.330705
n	0.0136176	0.708299	0.0176907	0.0881243	0.0348855	0.0151298	0.0155195	0.0184081	0.020637	0.0204189	0.0472695
ω	0.0206701	0.55448	0.0833558	0.0471089	0.0141279	0.00467118	0.00750806	0.144408	0.0163536	0.0790804	0.0282362
l	0.018719	0.404294	0.0551236	0.228499	0.065233	0.0405022	0.0245103	0.0166546	0.0315721	0.0568015	0.0580908
é	0.0159272	0.0552062	0.0200417	0.482551	0.0976981	0.0653564	0.0257107	0.0239387	0.0211911	0.0179492	0.17443
e	0.00727565	0.0142852	0.181944	0.431531	0.20611	0.0454993	0.0151601	0.0104037	0.0241546	0.0127363	0.0508995
b	0.00194159	0.0115724	0.0239339	0.611148	0.234588	0.0370915	0.0102418	0.00285639	0.00441573	0.0117633	0.0504475
έ	0.00398949	0.00718142	0.0267399	0.771762	0.13542	0.0288765	0.00813421	0.00073694	0.00243056	0.00532115	0.00940809
r	0.000653979	0.00899368	0.00787197	0.353809	0.169574	0.10481	0.038084	0.00376157	0.0103613	0.0134409	0.28864
έ	0.033831	0.0420949	0.0355639	0.232521	0.290803	0.141578	0.0359272	0.0334072	0.0418701	0.0170491	0.0953557
a	0.00357071	0.00461335	0.0560081	0.170942	0.458204	0.21238	0.0387996	0.00677292	0.0189553	0.00486507	0.024888
b	0.00933963	0.00598275	0.0502385	0.0731625	0.23229	0.312001	0.163387	0.0847056	0.0274425	0.0309	0.0105503
i	0.128652	0.00424484	0.185471	0.0756602	0.157607	0.201112	0.145107	0.0200904	0.0249962	0.0263168	0.0307423
a	0.0220747	0.00284293	0.194787	0.0480334	0.139161	0.197288	0.149774	0.0403774	0.0553736	0.0333931	0.116896
ó	0.00101763	0.00259237	0.00514891	0.0388153	0.0985173	0.276578	0.241671	0.145431	0.115472	0.0156412	0.0591147
t	0.00505531	0.0129516	0.00370883	0.0537321	0.100773	0.18581	0.313915	0.113488	0.12033	0.0537266	0.0365096
s	0.000524867	0.00460484	0.00201661	0.0229206	0.116482	0.154288	0.155996	0.0198434	0.131825	0.0692964	0.322202
é	0.00104515	0.00214055	0.0019999	0.0307196	0.165409	0.209151	0.182846	0.0225573	0.147823	0.053311	0.182998
y	0.00162518	0.000812284	0.0122121	0.00861946	0.0325892	0.0321293	0.0706164	0.115261	0.139979	0.0229846	0.563171
á	0.00454535	0.0105511	0.00744969	0.0147839	0.0789839	0.120863	0.421864	0.101429	0.0827857	0.0546778	0.102067
m	0.00698594	0.00186285	0.0246633	0.0032741	0.0125844	0.0385931	0.104405	0.234452	0.22816	0.289055	0.0559637
w	0.00847928	0.0007478	0.0100055	0.00914391	0.00882807	0.0460877	0.459919	0.106615	0.084603	0.182482	0.0830884
é	0.0654512	0.000932284	0.079724	0.00611139	0.00880664	0.0320221	0.43761	0.149836	0.0424746	0.146692	0.0303391
s	0.00491593	0.00104543	0.00899087	0.00801552	0.01924	0.0847581	0.426858	0.0608595	0.258349	0.0710258	0.0559419
é	0.000659348	0.00125048	0.00103395	0.00165916	0.00381594	0.0157866	0.380333	0.186664	0.0389461	0.0799014	0.28995
</S>	0.000396481	0.000859044	0.00033336	0.00452837	0.00898946	0.0412176	0.073396	0.0983096	0.308341	0.159352	0.304278
