 	le	poisson	olombi	se	nourrit	de	petites	fourmis	noires	</S>
o	0.662023	0.226134	0.0244283	0.0567532	0.00828947	0.0145008	0.00506848	0.00231684	5.13591e-05	0.000434229
l	0.0692099	0.168114	0.747667	0.0020957	0.00476433	0.000320104	0.000197011	0.00114192	0.00476306	0.0017272
o	0.0459041	0.101004	0.823722	0.00079371	0.0200024	0.00112441	0.000550577	0.00215864	0.00247441	0.00226636
m	0.0127725	0.0237714	0.950893	0.000675381	0.00458746	0.000505973	0.000352347	0.000855689	0.00358764	0.00199815
b	0.192486	0.0716747	0.634972	0.0478647	0.0292766	0.0118228	0.0031115	0.0011463	0.000454014	0.00719163
i	0.222981	0.075835	0.632816	0.0257217	0.0148102	0.00559884	0.00278598	0.00160504	0.000332904	0.0175133
m	0.352576	0.205411	0.100369	0.269479	0.0146521	0.0161345	0.00677564	0.016943	0.00079545	0.0168641
ó	0.293014	0.044331	0.0242333	0.226818	0.0963016	0.20727	0.0566845	0.0349342	9.01414e-05	0.016324
o	0.524811	0.141923	0.0280067	0.162265	0.0408297	0.0627965	0.0151641	0.00745251	0.000535525	0.0162163
d	0.0484405	0.0417775	0.179162	0.0978859	0.577794	0.0190494	0.00536419	0.0180156	0.00947099	0.00303913
z	0.0223735	0.124727	0.100725	0.0173855	0.692543	0.00830105	0.00385276	0.00983822	0.00305013	0.0172037
á	0.0456151	0.121215	0.221303	0.0113478	0.569071	0.0185055	0.00223105	0.00289558	0.00248732	0.00532934
á	0.00988625	0.0092119	0.0257472	0.111567	0.315069	0.282362	0.0379083	0.0302787	0.0159539	0.162016
m	0.0112726	0.00560979	0.00153422	0.0904508	0.123472	0.299955	0.140015	0.306485	0.00510216	0.0161031
á	0.00746479	0.0143854	0.00877351	0.0194048	0.444941	0.127859	0.256679	0.0748029	0.0038774	0.0418121
m	0.0178338	0.0123973	0.0121694	0.0542604	0.307182	0.221974	0.188017	0.141939	0.0258473	0.01838
b	0.00204986	0.0100861	0.00456288	0.00797596	0.210258	0.0764268	0.60591	0.0660324	0.0022982	0.0143991
ω	0.00163423	0.0033566	0.00455366	0.0169392	0.110043	0.11416	0.725546	0.01629	0.00162758	0.00584956
n	0.00163522	0.00114203	0.00443889	0.0759196	0.163297	0.229322	0.371623	0.0972254	0.0036083	0.0517881
y	0.00571976	0.0030023	0.00764158	0.0378373	0.0854169	0.204377	0.383119	0.184612	0.00627324	0.0820007
í	0.000828205	0.00112412	0.0279759	0.0147471	0.119721	0.159433	0.195261	0.0811089	0.0379506	0.36185
i	0.00260076	0.000895841	0.000857803	0.0166577	0.0883534	0.0895169	0.114494	0.275306	0.0944052	0.316912
</S>	0.00483223	0.000958163	0.00114122	0.0128186	0.0133353	0.0410896	0.082884	0.470713	0.100713	0.271515
