 	son	épouse	l'	a	quitté	du	fait	qu'	il	n'	aime	pas	rester	à	la	maison	</S>
m	0.729094	0.187169	0.0307775	0.00597812	0.00141684	0.00608544	0.00526845	0.00939437	0.00537375	0.00169462	0.00123706	0.0122043	0.000990651	0.00194793	0.00121673	6.76476e-05	8.39102e-05
w	0.00656086	0.97928	0.00506774	0.00260469	0.000502998	0.00048295	0.00024315	0.000586205	0.00103538	0.000698698	0.000169705	0.000168639	7.6377e-05	0.0005347	0.000730249	5.58625e-05	0.00120209
á	0.00408763	0.993511	0.000988376	0.000258851	0.000128986	0.00022691	0.000152246	0.000146194	0.000204232	4.3134e-05	1.34626e-05	1.12794e-05	1.54274e-05	2.79028e-05	2.88594e-05	0.000144924	1.10246e-05
s	0.386153	0.540078	0.0329516	0.00555304	0.00146654	0.00176633	0.00227388	0.00557691	0.00621044	0.00103999	0.000445305	0.00145799	0.000429735	0.00166578	0.00125708	0.000900585	0.0107739
í	0.323961	0.112951	0.131953	0.0646465	0.0397639	0.0274611	0.0205915	0.0569253	0.0729247	0.0198404	0.00765264	0.00797973	0.00427278	0.0144156	0.0132756	0.0106856	0.0706995
á	0.435438	0.0126997	0.296032	0.0989321	0.0141598	0.00861854	0.00956159	0.0209291	0.014673	0.0120884	0.00729878	0.0236966	0.00316056	0.00977869	0.0170124	0.00317209	0.0127491
m	0.00930833	0.00831552	0.102827	0.330165	0.46924	0.00635635	0.00430139	0.00115066	0.00237416	0.00762727	0.0154738	0.00480309	0.0133102	0.00950145	0.00379694	0.000403017	0.0110462
i	0.00298321	0.00488162	0.16981	0.402143	0.350896	0.0205368	0.00723101	0.00257676	0.00369244	0.00676949	0.00407226	0.002907	0.00502637	0.00549395	0.00254701	5.27288e-05	0.00838092
s	0.00191224	0.0014987	0.0319426	0.166445	0.759412	0.0096143	0.00379923	0.000920988	0.00100777	0.0022545	0.00298536	0.000864521	0.00668331	0.00247178	0.000894214	0.000259708	0.00703388
á	0.00236574	0.000723044	0.0173616	0.0874408	0.864051	0.0114147	0.00184153	0.000543213	0.000742729	0.00168241	0.00166959	0.000255031	0.00308995	0.00143893	0.000485511	0.000103216	0.00479108
á	0.0132287	0.00114636	0.100761	0.229315	0.308189	0.0670759	0.024063	0.0216522	0.0193915	0.0213327	0.0182337	0.00596323	0.00683568	0.013561	0.0204882	0.00331905	0.125444
o	0.0109665	0.00197963	0.0956664	0.163781	0.200625	0.319241	0.094422	0.0449731	0.0279906	0.0087086	0.00405594	0.0050381	0.00128181	0.00551775	0.00790676	0.00376278	0.0040827
t	0.00165348	0.0015255	0.00980567	0.040976	0.427496	0.233644	0.112016	0.0142459	0.0122767	0.020126	0.0246164	0.0084368	0.0677602	0.0130342	0.00336353	0.00385261	0.0051706
ó	0.000327749	0.000647748	0.0246648	0.0364097	0.37476	0.237577	0.157656	0.0105765	0.0102384	0.0127469	0.02349	0.00802105	0.0494668	0.0210775	0.00529897	0.00164898	0.0253925
n	0.000195345	0.000367807	0.0295415	0.0239297	0.191656	0.333753	0.179128	0.0120687	0.012908	0.0182646	0.0234111	0.0195202	0.0463881	0.0454896	0.0102439	0.00241075	0.0507235
á	0.00993419	0.00184513	0.0511227	0.0534892	0.139423	0.23633	0.195572	0.0333863	0.0226631	0.0148213	0.0211701	0.0421952	0.027398	0.0460754	0.0140208	0.00376709	0.0867857
w	0.0041061	0.000409175	0.0163647	0.0194961	0.0121532	0.123756	0.200343	0.358355	0.197318	0.0333799	0.0114408	0.00633785	0.00129782	0.00433384	0.00492398	0.00132743	0.00465688
a	0.0155401	0.000671729	0.0372121	0.0355278	0.0312886	0.160475	0.215793	0.228867	0.135462	0.0235921	0.00954616	0.0182094	0.00256498	0.0173801	0.0354359	0.00482997	0.0276039
t	0.00255013	0.000160332	0.00740081	0.00557703	0.00595158	0.0808172	0.198076	0.328149	0.216594	0.0540561	0.0364819	0.0189278	0.00427475	0.00821255	0.0125051	0.00402442	0.0162413
s	0.0124932	0.000154807	0.00822343	0.00339934	0.00744128	0.111082	0.294091	0.0876286	0.102839	0.0731941	0.138415	0.0693862	0.0271694	0.014323	0.0168963	0.00853804	0.0247254
í	0.000541096	1.30578e-05	0.00170094	0.00137599	0.00668245	0.0614896	0.125362	0.0523619	0.0664451	0.076598	0.350878	0.0808548	0.0248781	0.0437678	0.0608259	0.0088884	0.0373368
n	0.00401838	0.0012918	0.0104189	0.00751404	0.0177813	0.0545124	0.170664	0.135947	0.109551	0.0384056	0.0939527	0.0267589	0.00990216	0.029543	0.0310152	0.00653226	0.252191
a	0.0168858	0.000678688	0.00915067	0.0043542	0.00446958	0.0240104	0.0607119	0.149669	0.119718	0.0151324	0.0107648	0.00533579	0.00197067	0.0121231	0.038978	0.152571	0.373475
w	0.000585991	3.15019e-05	0.00676594	0.00921168	0.00422377	0.012802	0.0508957	0.132566	0.272644	0.230947	0.141106	0.0870672	0.0134478	0.0131836	0.0105649	0.000949994	0.0130081
a	0.00341521	7.52871e-05	0.0193745	0.012891	0.00706948	0.0338523	0.0997904	0.164162	0.214237	0.0803985	0.0678219	0.0833331	0.00734527	0.0241982	0.0720143	0.011444	0.0985774
a	0.00157318	2.56781e-05	0.00600715	0.00344839	0.00145102	0.00842123	0.0286056	0.105952	0.17362	0.175143	0.214607	0.172408	0.0265672	0.0196166	0.0233114	0.00183683	0.0374052
d	0.000514719	4.67152e-05	0.00905667	0.0466306	0.0497274	0.0048246	0.0109037	0.00945945	0.0369466	0.179358	0.320308	0.0990293	0.110639	0.0481291	0.0231516	0.000575062	0.0506997
í	0.000112809	7.11987e-05	0.00170432	0.00707099	0.00939223	0.00344834	0.00972151	0.0203218	0.0754404	0.263305	0.295084	0.0359673	0.0954557	0.0441637	0.0389913	0.000749394	0.099
l	0.000301614	4.0086e-06	0.00115465	0.00213711	0.000994732	0.00165969	0.0049475	0.0131002	0.0293017	0.120741	0.359721	0.202605	0.10887	0.0561233	0.0569546	0.002595	0.0387896
i	0.000915635	0.000150263	0.00280681	0.0051435	0.00323772	0.00418529	0.0107628	0.0466248	0.0977096	0.137384	0.147949	0.0668942	0.0688079	0.0896484	0.0785463	0.029115	0.210118
b	0.000632471	3.52185e-05	0.000876951	0.000726658	0.00048697	0.00224064	0.00423381	0.0180233	0.0344657	0.0582971	0.0874362	0.0675332	0.21394	0.195409	0.0731145	0.168353	0.0741953
h	0.00171753	0.000442838	0.00966766	0.00951809	0.00489116	0.00605279	0.0103947	0.0487648	0.0925266	0.0544943	0.0758281	0.143524	0.097882	0.284985	0.12913	0.00711645	0.0230635
é	9.8302e-05	2.29995e-06	0.000385077	0.000440787	0.00149778	0.0043604	0.0114442	0.00773033	0.010277	0.0142853	0.0305567	0.079279	0.196943	0.514533	0.086426	0.00733145	0.0344092
m	1.25813e-05	9.56844e-07	0.000126043	7.22793e-05	0.000362126	0.00504487	0.00758972	0.010341	0.0126092	0.0199377	0.0584909	0.087139	0.139743	0.416912	0.174221	0.0171723	0.0502256
b	0.000163325	2.44172e-06	0.000281097	0.000188207	0.000282524	0.00352054	0.00694115	0.0125155	0.0123446	0.0179689	0.0239834	0.0244959	0.227672	0.363737	0.156532	0.00535773	0.144015
a	0.000299961	4.54192e-06	0.000426861	0.000121637	0.000196277	0.00431185	0.00657313	0.0161186	0.0126872	0.00675735	0.00775033	0.0442852	0.044914	0.458452	0.178927	0.0244983	0.193676
</S>	0.000696427	5.47144e-06	0.000905228	0.000315662	0.000358349	0.0032673	0.00626477	0.0236079	0.0267609	0.0194525	0.0371141	0.068735	0.0524796	0.328268	0.266453	0.0607665	0.104549
