 	il	s'	est	arrêté	en	ammont	du	fleuve	</S>
w	0.735842	0.218367	0.0135735	0.00719675	0.0163698	0.00188387	0.00632448	0.000352036	9.01828e-05
a	0.673672	0.270652	0.0111007	0.00585458	0.0305926	0.00020262	0.00669347	0.00118155	4.97786e-05
á	0.101298	0.346087	0.457115	0.0457791	0.0346533	0.000931401	0.0108597	0.00168313	0.00159325
s	0.013454	0.157044	0.559815	0.197331	0.0258802	0.016064	0.00817117	0.00235053	0.0198906
ú	0.0021271	0.0567819	0.285477	0.440926	0.0271044	0.028233	0.00443162	0.00615902	0.14876
u	0.13083	0.0795068	0.304665	0.319354	0.11506	0.0161228	0.0136694	0.00676058	0.0140317
m	0.00318587	0.0338755	0.0968394	0.17586	0.489733	0.134245	0.0490386	0.00631665	0.0109064
ó	0.0422254	0.0994661	0.146258	0.146984	0.289735	0.0278961	0.0607657	0.0916481	0.0950209
t	0.030048	0.0514774	0.0747301	0.074475	0.1452	0.423192	0.0617594	0.11071	0.0284074
á	0.00310485	0.0111047	0.0153439	0.053744	0.125562	0.689787	0.028279	0.0463039	0.0267701
n	0.00275297	0.00764944	0.0279097	0.0599864	0.0664156	0.493886	0.0537332	0.090377	0.19729
d	0.00961339	0.0115663	0.0104451	0.0306156	0.0915458	0.620594	0.0881996	0.0509213	0.0864988
a	0.0230853	0.0131097	0.00941682	0.0201001	0.0705441	0.315719	0.0725698	0.313692	0.161764
</S>	0.0106852	0.0176954	0.0303364	0.0303931	0.146787	0.0982829	0.354453	0.148891	0.162476
