 	cette	femme	est	avide	quand	elle	voit	quelqu'	un	avec	de	la	nourriture	elle	doit	en	manger	</S>
o	0.700214	0.0834308	0.049258	0.0347054	0.0579292	0.0427737	0.01618	0.00523722	0.00362542	0.0025143	0.00162863	0.00102715	0.000563068	0.000333731	0.000248351	0.000281728	3.97041e-05	9.76146e-06
y	0.0278655	0.960948	0.00323035	0.00123812	0.00125617	0.000538995	0.000760983	0.00103969	0.00077072	0.000670296	0.000274164	0.000142923	3.44488e-05	9.84668e-05	0.000188391	0.000100894	0.000139256	0.000702417
ú	0.769494	0.19288	0.00191132	0.0127402	0.00413905	0.0021255	0.00924681	0.00238286	0.00175477	0.00110021	0.000535877	0.000889854	3.06243e-05	8.38662e-05	0.000228316	7.97937e-05	0.000166572	0.000209802
r	0.801351	0.012283	0.00152701	0.0167516	0.0267956	0.00580297	0.0539471	0.0172776	0.0143446	0.00854929	0.00857844	0.0108996	0.000164851	0.00019222	0.000615769	0.00144617	0.0103328	0.0091403
u	0.536393	0.00524334	0.0292533	0.0438275	0.130018	0.107522	0.0700005	0.0212855	0.0160072	0.00959861	0.00876405	0.00663022	0.0027268	0.00296035	0.00344435	0.000876679	0.00161282	0.0038362
w	0.400011	0.176007	0.124574	0.035045	0.0451819	0.041536	0.00959759	0.019676	0.0199145	0.0120063	0.0131577	0.00726608	0.015246	0.0257921	0.00826448	0.0164392	0.00680406	0.0234807
ó	0.0333307	0.00379434	0.0765582	0.0550859	0.0477651	0.0673509	0.0349684	0.0900816	0.0676869	0.067596	0.07475	0.058818	0.0106096	0.0756024	0.114661	0.0315485	0.0111081	0.0786844
a	0.0453754	0.00128592	0.404308	0.08584	0.0304296	0.0508409	0.0140373	0.0494428	0.0410057	0.0321665	0.0352312	0.0226318	0.00542075	0.0334031	0.0291768	0.0307858	0.00771918	0.0808994
d	0.0559281	0.000511523	0.357902	0.173247	0.0307433	0.0139674	0.0108657	0.0274134	0.0301524	0.0330729	0.0224554	0.00679595	0.0021293	0.0194697	0.0462389	0.0488792	0.0212604	0.0989678
í	0.0988349	0.00309211	0.284558	0.169725	0.0541553	0.0276565	0.0125871	0.0274221	0.058645	0.0430513	0.0303518	0.0101376	0.00094968	0.00584478	0.0153029	0.0150573	0.017896	0.124733
l	0.1853	0.000326048	0.234579	0.271679	0.0510012	0.0395023	0.0093021	0.0217807	0.0284354	0.0259673	0.0224296	0.0147908	0.00703331	0.00776208	0.00924844	0.0182588	0.0222497	0.0303543
á	0.0178442	0.000192305	0.0711496	0.106538	0.0615939	0.0450617	0.0372937	0.0566453	0.0630022	0.0579629	0.0507043	0.0151213	0.00331571	0.0269234	0.0330815	0.0293545	0.0176292	0.306587
l	0.0339945	0.000316605	0.0722359	0.152867	0.150465	0.207778	0.0806492	0.0259374	0.041415	0.0343359	0.0373255	0.0279871	0.01616	0.0221896	0.0129777	0.0205922	0.0103233	0.0524498
e	0.0968488	0.00101202	0.0629072	0.336531	0.0711952	0.0447782	0.0999599	0.0516907	0.037451	0.0392144	0.0265787	0.0144719	0.000495465	0.00518552	0.0237755	0.0119362	0.0192544	0.0567138
f	0.0042153	3.27271e-05	0.0983683	0.351901	0.104766	0.0791339	0.0715906	0.0495248	0.0377731	0.0354728	0.0325164	0.0222273	0.00143691	0.00687405	0.0132412	0.0247814	0.0151908	0.0509534
ú	0.00610601	1.27864e-05	0.096162	0.477086	0.061711	0.0879626	0.039599	0.0302628	0.0223283	0.048232	0.0307699	0.0228133	0.00398366	0.0119921	0.0313248	0.00230913	0.00373757	0.0236073
s	0.00265084	1.27885e-05	0.0483442	0.644823	0.0756591	0.0242484	0.0464283	0.0155679	0.00977795	0.0202782	0.0119811	0.00765689	0.000332463	0.00102815	0.0110592	0.00587487	0.0161498	0.0581269
u	0.234405	3.00836e-05	0.0249621	0.415378	0.0651386	0.029713	0.0441608	0.0389795	0.01776	0.0219142	0.0227127	0.0233512	0.00143275	0.00381919	0.00866737	0.00494204	0.00629933	0.0363336
w	0.0398297	7.71603e-06	0.0583635	0.0996848	0.360393	0.21395	0.139141	0.0542576	0.0103827	0.00338097	0.0030109	0.0020013	0.00391125	0.00242045	0.00082639	0.00266145	0.000545974	0.00523167
á	0.0326289	1.62576e-05	0.0348561	0.0815276	0.0789711	0.115189	0.117661	0.100389	0.0479187	0.0605465	0.0620247	0.0470546	0.0282871	0.0657976	0.0491955	0.0122617	0.0044723	0.061203
á	0.0120308	7.95424e-05	0.0192152	0.0217676	0.16266	0.338598	0.126804	0.05512	0.0314668	0.0220414	0.0172432	0.012535	0.0351226	0.0372247	0.0138629	0.00908896	0.00645818	0.0786818
w	0.0061545	0.00031051	0.0194083	0.0315232	0.107621	0.0927097	0.281462	0.297929	0.0835316	0.0231875	0.00853635	0.00390686	0.000914805	0.00382999	0.00690182	0.0101958	0.00821239	0.0136652
a	0.00111386	4.46555e-05	0.00933119	0.0491889	0.0695902	0.0768472	0.143666	0.253884	0.15585	0.0737695	0.0429374	0.0257295	0.000599102	0.00675458	0.0247643	0.0150412	0.0193898	0.0314992
a	0.000302284	1.65332e-05	0.00748238	0.0296311	0.0748123	0.194762	0.150378	0.261076	0.111991	0.0375933	0.0235239	0.0158665	0.0028663	0.00757418	0.0093723	0.0125127	0.00954985	0.0506893
k	0.00142887	4.46383e-06	0.0118705	0.0131159	0.0593884	0.0702569	0.064334	0.448789	0.180032	0.0440921	0.0212537	0.00981429	0.00475264	0.0146127	0.0086189	0.0148543	0.00382719	0.0289548
y	7.65125e-05	4.36217e-06	0.00391705	0.0189442	0.0182907	0.0436196	0.0490763	0.237037	0.17371	0.222758	0.0842222	0.0703069	0.00329429	0.010025	0.0417376	0.0028094	0.00531859	0.0148513
ε	0.000296165	1.1665e-06	0.00161147	0.0147275	0.0259933	0.055255	0.0894552	0.256128	0.135523	0.123355	0.0807788	0.102293	0.0091694	0.0179259	0.0364373	0.00749134	0.00489628	0.0386615
b	0.0032282	4.51304e-06	0.00727938	0.0456137	0.0779683	0.0587095	0.16101	0.354656	0.0781621	0.0371032	0.025361	0.0314569	0.0103142	0.00757985	0.0104613	0.00469668	0.00408066	0.0823145
h	0.0105364	2.1391e-05	0.00638341	0.0163323	0.062986	0.0596444	0.204603	0.300543	0.0852236	0.0443491	0.0366115	0.0300643	0.0402711	0.0249712	0.0219024	0.0128498	0.00790771	0.0347993
í	0.0117946	1.59645e-06	0.0027726	0.0166979	0.095766	0.0928938	0.295672	0.185635	0.0506144	0.0260761	0.0248257	0.0361193	0.0754458	0.0204591	0.00805973	0.00666466	0.00574969	0.044752
m	0.0290766	1.1033e-05	0.00391358	0.00471723	0.0616492	0.113518	0.0453166	0.223856	0.177851	0.0636335	0.0391024	0.0215262	0.133087	0.0613102	0.00387738	0.00256518	0.000621034	0.0143686
o	0.000945097	0.000951147	0.00990015	0.0048012	0.0299245	0.0420019	0.00593666	0.064705	0.124239	0.188848	0.161525	0.13428	0.128313	0.0285693	0.0101552	0.0115954	0.00365174	0.0496576
r	6.88844e-05	0.00015799	0.00238581	0.0047244	0.0203716	0.0239306	0.00308252	0.0905052	0.19957	0.296961	0.160766	0.131676	0.00453707	0.0148898	0.0187373	0.0127153	0.00871376	0.00620764
o	0.0121997	0.000653734	0.00201122	0.00855412	0.0890944	0.0195179	0.148518	0.211278	0.175276	0.124653	0.0693643	0.104299	0.0036754	0.00316454	0.00658757	0.00355956	0.00356407	0.0140289
l	0.00156568	0.00203593	0.000534758	0.00129163	0.0288202	0.0234181	0.0302943	0.139952	0.298152	0.218389	0.102675	0.114536	0.00566373	0.00877222	0.010159	0.00401728	0.00199248	0.00773071
a	0.000952019	2.75981e-05	0.00441768	0.00825375	0.0123334	0.00821001	0.00949655	0.115056	0.14791	0.202928	0.133177	0.081823	0.0123248	0.0417423	0.0579872	0.0228205	0.0136327	0.126907
b	0.000125525	8.3334e-06	0.00182404	0.00312156	0.00858118	0.0143198	0.00461147	0.129453	0.12361	0.130025	0.158033	0.1516	0.0320413	0.115765	0.0482763	0.0376129	0.00900169	0.0319906
e	7.57604e-05	7.38787e-05	0.00782858	0.0047666	0.0183148	0.0357927	0.00421339	0.0851273	0.207223	0.216467	0.14761	0.091472	0.0522334	0.0660451	0.0352624	0.0113173	0.00329446	0.0128815
a	1.82215e-05	1.07877e-05	0.00278777	0.00463922	0.00826752	0.0347409	0.00228884	0.0510807	0.107743	0.220278	0.174392	0.139749	0.0306497	0.0702311	0.109741	0.0133125	0.00491753	0.0251519
w	0.000247518	2.04678e-06	0.00182697	0.00179377	0.00614505	0.00467269	0.00165854	0.0669348	0.102324	0.106672	0.148378	0.102388	0.0610139	0.222327	0.0731406	0.0666205	0.0088863	0.0249689
a	0.00105907	5.06972e-06	0.00549152	0.00631354	0.00898839	0.0106981	0.00289295	0.0806163	0.0768633	0.0791799	0.0931926	0.0895511	0.0198481	0.174081	0.215317	0.0561859	0.0165347	0.0631815
k	0.000158668	1.33069e-05	0.000490773	0.000619427	0.00149945	0.00173118	0.000731859	0.0386718	0.047638	0.0691858	0.135693	0.163113	0.0374011	0.191976	0.104079	0.117851	0.0152583	0.0738875
ω	3.50364e-05	1.19353e-05	0.0015547	0.00408031	0.00387591	0.0118083	0.0017647	0.0617007	0.0966528	0.175049	0.190155	0.123698	0.0172218	0.0940456	0.137031	0.0265068	0.012425	0.0423826
m	0.00050861	8.16419e-07	0.000263764	0.00114812	0.00277346	0.00513801	0.00726862	0.0797989	0.044118	0.108515	0.0859673	0.185482	0.0101736	0.0276109	0.301797	0.0453545	0.0476936	0.0463882
