 	il	est	frappé	de	tremblote	</S>
o	0.353786	0.23969	0.322961	0.0827114	0.0005432	0.000308872
t	0.0890456	0.220803	0.0879568	0.0738419	0.458666	0.0696869
i	0.0160003	0.0740403	0.039436	0.0302638	0.827532	0.0127274
r	0.0234966	0.130277	0.392334	0.106093	0.318203	0.0295961
á	0.339069	0.266119	0.124676	0.0313848	0.0729577	0.165793
a	0.229641	0.14134	0.343307	0.20385	0.0260087	0.0558543
ó	0.0600237	0.0590548	0.0415318	0.521059	0.240565	0.0777662
m	0.0100633	0.018385	0.0211379	0.483761	0.433555	0.0330977
i	0.017775	0.0707284	0.037983	0.52225	0.149796	0.201468
p	0.00656054	0.0172347	0.022284	0.236625	0.328636	0.388661
i	0.00157352	0.0106328	0.0113084	0.0533157	0.841389	0.0817805
á	0.00659541	0.0255094	0.0734958	0.131619	0.603779	0.159001
w	0.0213809	0.0218596	0.0594033	0.465328	0.111657	0.320371
a	0.0862013	0.0636932	0.167029	0.481863	0.0465034	0.15471
</S>	0.00416336	0.00647106	0.0422455	0.192588	0.154664	0.599869
