 	l'	herbe	coupante	m'	a	écorché	aux	pieds	</S>
a	0.396306	0.583222	0.0158306	0.00261607	0.00104032	5.70622e-06	0.000737343	6.98521e-05	0.000171295
l	0.0174234	0.488261	0.195833	0.0100988	0.0706571	0.17507	0.0219006	0.015981	0.00477589
έ	0.0210942	0.630428	0.0798688	0.00326984	0.0203062	0.125388	0.0729219	0.00412325	0.0426005
r	0.0308986	0.246552	0.228666	0.0285559	0.091506	0.204924	0.103213	0.00154648	0.0641378
i	0.226332	0.399693	0.0475593	0.068876	0.0763322	0.0323316	0.0754993	0.000303379	0.0730739
á	0.267858	0.0520531	0.0296079	0.233016	0.163536	0.0298534	0.0953366	0.00154642	0.127193
m	0.0107251	0.0120033	0.157886	0.293809	0.357755	0.0652289	0.0622902	0.00238218	0.0379203
i	0.0220127	0.0139495	0.0613359	0.0751089	0.177972	0.553371	0.071005	8.02346e-05	0.0251644
p	0.000551125	0.000185009	0.0016721	0.0010641	0.0155427	0.964866	0.0102709	0.000502734	0.00534509
a	0.000309691	0.000133378	0.00084749	0.000857004	0.00898338	0.883309	0.0326223	0.046093	0.0268445
s	0.00261277	0.00197702	0.00792948	0.0195599	0.0453571	0.580132	0.113416	0.105226	0.12379
á	0.0299315	0.00690356	0.00327993	0.0131453	0.0293643	0.583269	0.203171	0.0334574	0.0974788
á	0.0311876	0.00765045	0.0184499	0.274665	0.149517	0.0352036	0.422105	0.0336899	0.0275318
n	0.00978043	0.00507167	0.0171965	0.263439	0.230499	0.0175244	0.375286	0.0250154	0.0561868
g	0.0171673	0.00637741	0.011419	0.56244	0.195742	0.00225474	0.178396	0.000398043	0.0258057
á	0.00773729	0.00466474	0.0267916	0.495521	0.15423	0.00701588	0.279698	0.00235536	0.0219868
a	0.00772477	0.00162846	0.00107905	0.0305254	0.0371449	0.00320417	0.695065	0.0999832	0.123645
k	0.00396037	0.00235781	0.00127303	0.00559959	0.0180025	0.0145604	0.144548	0.745598	0.0640997
o	0.000819371	0.000499156	0.000103861	0.000397259	0.000848905	0.00404529	0.0455726	0.874039	0.0736749
o	0.000122873	3.96746e-05	1.15552e-05	0.000164815	0.000476889	0.00289332	0.0105844	0.945989	0.0397172
</S>	0.0131103	0.00130412	0.00053173	0.00750379	0.0104986	0.00113407	0.113206	0.0940609	0.75865
