 	le	poulailler	est	fermé	</S>
n	0.976446	0.0126676	0.00856055	0.00219546	0.00013015
d	0.986936	0.0107508	0.00148468	0.000644395	0.000183926
é	0.934552	0.016221	0.0037297	0.0326275	0.0128702
y	0.764276	0.167989	0.0119566	0.0358733	0.0199044
á	0.531124	0.129406	0.0560826	0.0179539	0.265433
a	0.420166	0.0848354	0.205522	0.0498827	0.239594
t	0.135915	0.455199	0.252484	0.0398669	0.116535
s	0.061562	0.303867	0.369579	0.0959587	0.169032
ó	0.15953	0.358291	0.252074	0.0857453	0.14436
s	0.0586647	0.103757	0.433717	0.231804	0.172057
ó	0.193523	0.101448	0.262528	0.153412	0.289089
é	0.0255313	0.0157237	0.421346	0.446064	0.0913355
d	0.00896367	0.0176617	0.624718	0.294995	0.0536617
í	0.00339205	0.00698827	0.151615	0.22791	0.610095
e	0.00751223	0.00247605	0.32331	0.386334	0.280368
k	0.00327744	0.00578783	0.0282991	0.796618	0.166018
a	0.00156662	0.0678558	0.0256094	0.803802	0.101166
n	0.00701308	0.22616	0.0246533	0.587002	0.155172
g	0.00688365	0.0274415	0.0511275	0.620651	0.293897
í	0.00441492	0.0132012	0.0392691	0.199664	0.743451
m	0.0116807	0.00353193	0.0916038	0.318663	0.574521
á	0.0472322	0.0021332	0.245802	0.261273	0.44356
k	0.0381058	0.00817283	0.154677	0.534222	0.264823
a	0.0160875	0.0780018	0.0768298	0.613532	0.215549
n	0.00554054	0.127284	0.0174481	0.492827	0.356901
g	0.00559184	0.135682	0.0373121	0.29532	0.526095
i	0.0119112	0.00668914	0.0243085	0.322489	0.634602
m	0.0527488	0.0157421	0.185523	0.164712	0.581274
a	0.0318926	0.000546986	0.430507	0.0175646	0.519489
</S>	0.0155909	0.00819756	0.198285	0.12401	0.653917
