 	il	est	aveugle	de	naissance	</S>
w	0.822835	0.148737	0.0104166	0.0166493	0.000857317	0.000504705
a	0.794054	0.119205	0.0123887	0.0693751	0.00452393	0.000453023
á	0.13605	0.628962	0.159331	0.0679819	0.00209592	0.00557909
b	0.0744473	0.449379	0.170607	0.20765	0.0393426	0.0585745
ó	0.101454	0.186423	0.147082	0.152468	0.13244	0.280133
r	0.0264721	0.122252	0.142999	0.297427	0.29626	0.11459
ó	0.0849592	0.205255	0.269479	0.200024	0.0694335	0.170849
m	0.082045	0.133811	0.163038	0.432416	0.108828	0.0798622
á	0.0248606	0.0962643	0.499008	0.201275	0.088029	0.0905631
m	0.038295	0.0785884	0.352437	0.319228	0.182053	0.029399
í	0.00569791	0.0251715	0.612458	0.114504	0.101818	0.14035
s	0.00690373	0.023413	0.271024	0.259602	0.336566	0.102491
i	0.00466991	0.017347	0.312849	0.196534	0.22766	0.24094
a	0.00300253	0.0356582	0.142862	0.469072	0.127616	0.221789
w	0.00710266	0.0275801	0.0827753	0.422981	0.230139	0.229423
á	0.0382156	0.0595933	0.0987625	0.318901	0.307566	0.176962
w	0.0244874	0.0155613	0.0546481	0.196941	0.164936	0.543426
a	0.0453968	0.0264102	0.0388043	0.445716	0.114109	0.329564
</S>	0.00548192	0.00978073	0.031509	0.218007	0.0542144	0.681007
