 	j'	observe	comment	nagent	les	poissons	dans	l'	eau	</S>
n	0.750825	0.0389626	0.167705	0.0209515	0.0152108	0.00221581	0.00118394	0.00286972	6.12674e-05	1.40676e-05
g	0.985298	0.00743559	0.00642568	0.000173263	0.000375085	0.000118204	3.45859e-05	0.0001255	8.94721e-06	4.81327e-06
á	0.933099	0.0491676	0.0117503	0.00169719	0.00166087	0.00158399	0.000186626	0.000208522	0.0006273	1.88845e-05
l	0.108418	0.0761681	0.113558	0.055329	0.138254	0.0462494	0.061647	0.062768	0.0481566	0.289452
í	0.260006	0.119127	0.0881812	0.0532546	0.0987064	0.0530875	0.0614645	0.0438957	0.0196782	0.202599
i	0.0645953	0.613881	0.126099	0.0302718	0.0417148	0.017046	0.013285	0.0174749	0.0108702	0.0647611
s	0.00953267	0.812377	0.0193682	0.037856	0.0218676	0.0101684	0.0137571	0.0053948	0.00272189	0.0669566
ω	0.00333106	0.97106	0.00258954	0.0108347	0.00152235	0.00867857	0.000671927	0.000122935	0.000142014	0.00104683
n	0.000621295	0.970464	0.00612039	0.0165845	0.000765851	0.00181452	0.000827358	0.000416231	8.97472e-05	0.00229648
g	0.00254802	0.84421	0.114946	0.0092004	0.013488	0.00301534	0.00464083	0.00277576	0.000356985	0.00481863
ώ	0.00608816	0.864367	0.0905207	0.00947779	0.00195345	0.00088378	0.00669719	0.00246043	0.000341554	0.0172102
n	0.00196238	0.174045	0.769622	0.0215669	0.012608	0.00426185	0.00789853	0.00508214	0.000363396	0.00258997
d	0.0559989	0.27191	0.530251	0.062413	0.0154445	0.00491682	0.0179859	0.00706933	0.00184788	0.0321628
é	0.0584012	0.243895	0.563214	0.0334441	0.0113744	0.0156746	0.00688082	0.00388851	0.00488744	0.0583399
n	0.0388885	0.314109	0.490962	0.0585811	0.0412264	0.0215539	0.00663437	0.00759989	0.00290237	0.0175428
g	0.016897	0.203963	0.562331	0.13271	0.0183837	0.00901416	0.00698769	0.00321055	0.00140999	0.0450925
é	0.0721957	0.251115	0.610513	0.0348009	0.00564822	0.00305556	0.00179153	0.00107705	0.000918543	0.0188837
y	0.010099	0.0355927	0.348379	0.36878	0.166347	0.0163529	0.0167733	0.0174044	0.00212295	0.0181488
é	0.0127004	0.0462079	0.472844	0.10628	0.130879	0.113138	0.0201314	0.0240442	0.0536035	0.0201718
é	0.00651243	0.0124651	0.139214	0.0862746	0.337547	0.184986	0.0486694	0.0655942	0.0469783	0.0717602
b	0.0047695	0.0143582	0.0111126	0.231986	0.382133	0.238851	0.0752059	0.0135021	0.00355449	0.0245272
h	0.00122289	0.00845532	0.0115529	0.413109	0.163344	0.118264	0.245788	0.0125594	0.00211896	0.0235851
é	0.000127383	0.0100419	0.0115453	0.681871	0.0698021	0.0595026	0.138133	0.00697727	0.00034408	0.0216551
m	0.00148603	0.00724847	0.040348	0.158032	0.146934	0.0797644	0.306391	0.0534979	0.00275885	0.20354
b	7.86254e-05	0.00476318	0.0539518	0.0492361	0.0925219	0.200475	0.185038	0.122684	0.210192	0.08106
á	0.000226843	0.0101141	0.107221	0.168738	0.110799	0.0877186	0.254936	0.0595061	0.0193198	0.18142
a	0.00105378	0.00165638	0.0162132	0.00739536	0.207187	0.133636	0.252905	0.281821	0.059142	0.0389903
s	0.00272537	0.00462286	0.00232691	0.0265931	0.0720812	0.232306	0.415782	0.17147	0.0304353	0.0416574
w	0.000968495	0.00476939	0.00123067	0.00635059	0.0240113	0.531035	0.140317	0.102268	0.120932	0.0681179
é	0.000542634	0.00530066	0.00405331	0.00161467	0.0194983	0.467961	0.0765243	0.0507494	0.3345	0.0392559
s	9.44491e-05	0.00076562	0.0022373	0.00431718	0.0512471	0.135781	0.25881	0.208695	0.0273907	0.310662
á	0.000207446	0.00860535	0.00324621	0.00447617	0.0179498	0.127133	0.178555	0.151699	0.123898	0.38423
m	0.00028847	0.00133749	0.00493829	0.00293629	0.0188159	0.0371316	0.0617456	0.268906	0.526402	0.0774974
á	3.46568e-06	0.000227466	0.000480112	0.000941786	0.00184057	0.015141	0.0154765	0.0246757	0.910637	0.0305762
a	0.000167569	0.00048495	0.00232178	0.0024147	0.0113177	0.01353	0.0301382	0.131872	0.743089	0.0646641
</S>	0.000497692	0.00107401	0.00121165	0.00220844	0.00886132	0.00451535	0.0434293	0.165651	0.351054	0.421498
