 	le	fou	a	porté	des	habits	déchiquetés	</S>
e	0.748958	0.228639	0.015621	0.00158071	0.00327467	0.00187367	1.08039e-05	4.14576e-05
b	0.068239	0.916073	0.00199888	0.00550284	0.00229752	0.00515047	0.000156407	0.00058235
h	0.00380211	0.995527	0.000318733	4.72516e-05	0.000125136	0.000140854	5.90425e-06	3.27219e-05
ó	0.00910757	0.98666	0.000792569	0.000790993	0.00116505	0.00111156	1.53272e-05	0.000356351
a	0.531368	0.447232	0.0136275	0.000509634	0.00305853	0.00215087	0.000123231	0.00192967
é	0.308131	0.0223928	0.570396	0.0438946	0.0298639	0.00597807	0.00020316	0.0191411
m	0.024217	0.0106104	0.249601	0.626693	0.0601689	0.0216402	0.000620621	0.00644862
i	0.0642207	0.01956	0.137154	0.242697	0.403829	0.0917983	0.00370292	0.0370378
l	0.00808439	0.0224294	0.0215994	0.658874	0.171701	0.0632589	0.0113449	0.0427078
á	0.00246044	0.0313539	0.0131173	0.805352	0.0540194	0.0439418	0.00741412	0.0423407
r	0.00438094	0.00190595	0.123029	0.624017	0.122155	0.0669772	0.0282427	0.0292917
á	0.0457412	0.0131038	0.1328	0.464011	0.235542	0.0690735	0.012911	0.0268167
i	0.0116116	0.00224525	0.0886187	0.239725	0.405868	0.219175	0.0157929	0.0169635
d	0.00658275	0.00981111	0.00878375	0.0694672	0.227323	0.601372	0.0459434	0.0307175
z	0.00214634	0.00129241	0.000411103	0.0251636	0.137925	0.389228	0.420189	0.023644
a	0.0011748	0.000600133	0.000661199	0.0080601	0.0466824	0.157281	0.771755	0.0137854
d	0.000382824	0.000546219	0.00250336	0.00887796	0.0455913	0.198935	0.611649	0.131514
z	0.000290011	0.00090948	0.00027835	0.00823747	0.0398773	0.278703	0.393451	0.278254
a	0.000904779	0.000594156	0.000474608	0.00514077	0.0232473	0.114753	0.578613	0.276273
</S>	0.00126855	0.0016665	0.00171076	0.00921053	0.0871367	0.269583	0.142304	0.48712
