 	la	poule	picore	les	grains	de	maïs	qui	sont	par	terre	</S>
t	0.437802	0.467228	0.0711354	0.00849012	0.00513908	0.00638264	0.000779543	0.000930027	0.0011495	0.000482001	0.000288683	0.000192124
s	0.0347917	0.957393	0.0048479	0.000842003	0.00117828	0.000130254	1.86657e-05	6.08268e-05	0.000158656	0.000182918	0.000316712	7.94158e-05
ó	0.0563954	0.800606	0.0269844	0.00813452	0.0832587	0.00522746	0.00236664	0.00316947	0.00119062	0.000580358	0.00919967	0.00288662
s	0.0486791	0.745054	0.164029	0.0120521	0.0183084	0.00161431	0.000553806	0.0012674	0.000839194	0.000798266	0.00316074	0.00364369
ó	0.104548	0.774501	0.0437108	0.0121926	0.00819855	0.00448044	0.000775721	0.00244192	0.00303085	0.00335758	0.00314284	0.0396203
b	0.0403377	0.0662059	0.636414	0.1448	0.0396675	0.0175641	0.00676228	0.0095401	0.0060448	0.00517766	0.00113791	0.0263475
ó	0.164716	0.0104545	0.412321	0.17574	0.111745	0.0376677	0.00719048	0.00789519	0.00845699	0.00742237	0.00253575	0.0538544
l	0.0328972	0.0104199	0.752496	0.107989	0.0380229	0.0134278	0.0150239	0.0112174	0.00639935	0.00522456	0.00171411	0.00516786
á	0.0260032	0.00153117	0.158532	0.153768	0.0537888	0.0523904	0.0717296	0.0545996	0.0598493	0.0549231	0.0193287	0.293556
a	0.237879	0.00688548	0.15974	0.357923	0.109444	0.0225734	0.0174486	0.0143877	0.0184081	0.0189753	0.00966548	0.0266705
t	0.0188181	0.00230184	0.0692969	0.473885	0.35283	0.00650659	0.0054421	0.00607504	0.0199325	0.00880837	0.00232963	0.0337737
ώ	0.00858212	0.00504137	0.0442607	0.255054	0.572945	0.0171149	0.00240309	0.0130843	0.0186795	0.0107522	0.00249308	0.0495898
b	0.00248783	0.00309295	0.0499512	0.0702178	0.802078	0.0135568	0.0021404	0.00871751	0.00790899	0.0047125	0.00607155	0.0290643
h	0.107626	0.00383924	0.103602	0.168081	0.431728	0.0890282	0.00939818	0.0235446	0.0155961	0.00660913	0.00511977	0.0358271
ώ	0.0120428	0.00661711	0.114476	0.0396263	0.616831	0.0824401	0.00762968	0.019367	0.00632158	0.00376694	0.00783636	0.0830453
l	0.0130306	0.000391644	0.0103487	0.158471	0.086101	0.578007	0.0652063	0.059212	0.0137613	0.00300421	0.00232835	0.0101385
ώ	0.0182025	0.000663194	0.00871924	0.13265	0.173052	0.163628	0.148143	0.0876896	0.0320666	0.0210227	0.0405118	0.173651
a	0.00198111	0.00101568	0.0113195	0.0817983	0.0529197	0.19964	0.33242	0.202184	0.0423867	0.0165274	0.0218645	0.0359432
s	0.0100207	0.0011502	0.0056422	0.0587136	0.0765919	0.0502225	0.096932	0.248572	0.335453	0.0662214	0.0292847	0.021196
á	0.0190787	0.000175016	0.00309981	0.0276349	0.0121338	0.0114292	0.170737	0.272781	0.252406	0.0657326	0.0687091	0.0960828
n	0.00566846	0.00137547	0.00807978	0.0255117	0.00721053	0.0572559	0.160082	0.29571	0.0993006	0.0590448	0.19469	0.0860708
g	0.000977238	0.000547808	0.00503904	0.00574836	0.00693147	0.0117948	0.555837	0.117408	0.0428186	0.0202339	0.184307	0.0483564
í	0.000243578	0.00115063	0.00877562	0.00348832	0.00308697	0.0170499	0.735175	0.0782924	0.0127988	0.0129144	0.0886917	0.038333
m	0.0011623	0.000261383	0.00146368	0.0144058	0.00677256	0.0647089	0.0687058	0.235161	0.190751	0.18925	0.125983	0.101374
á	0.00250941	0.000498486	0.00138605	0.0206432	0.00414366	0.0254802	0.00925991	0.106657	0.142848	0.275546	0.0214147	0.389614
á	0.00450726	0.00366798	0.00981659	0.0167277	0.00806131	0.0184954	0.0105674	0.0415918	0.0462862	0.140098	0.558451	0.14173
d	0.0117136	0.00034944	0.00470444	0.0152518	0.0144995	0.0045838	0.00847466	0.0251856	0.158381	0.22275	0.218039	0.316068
i	0.00162863	9.80798e-06	0.00030086	0.01114	0.00160827	0.00215865	0.00717265	0.0216195	0.23161	0.241637	0.0955329	0.385581
ó	0.00110081	5.40136e-06	0.00012524	0.00724698	0.0014186	0.00518279	0.00591139	0.0590313	0.193549	0.276304	0.206689	0.243436
t	0.00416852	0.000747651	0.00491845	0.013907	0.0259626	0.00265311	0.00591072	0.0136035	0.0536047	0.120985	0.656407	0.0971315
s	0.00080338	0.00152285	0.00606745	0.0143157	0.0144329	0.00221608	0.00168454	0.0113301	0.068458	0.215661	0.477264	0.186245
ε	0.00160337	0.000963454	0.00122402	0.00210917	0.00541089	0.00224551	0.00134067	0.00530695	0.0117472	0.0308124	0.879695	0.057541
n	0.00133768	0.000306013	0.00683903	0.00231588	0.0056357	0.003113	0.0103454	0.0140053	0.0332866	0.0388436	0.213903	0.670069
g	0.00170898	0.000665814	0.000958277	0.00552876	0.00520696	0.00668065	0.0178769	0.0333974	0.0584725	0.122894	0.466597	0.280013
ε	0.00117651	0.00171423	0.00266158	0.00153851	0.00721817	0.00439625	0.0133809	0.0108232	0.00997765	0.0238431	0.53143	0.39184
</S>	0.00143313	7.62327e-05	0.000287894	0.00400813	0.00504908	0.00696493	0.00286475	0.020679	0.0217578	0.0751297	0.198414	0.663336
