 	j'	ai	avalé	un	médicament	du	fait	que	j'	ai	mal	à	la	tête	</S>
n	0.815101	0.0822178	0.00476548	0.0107907	0.0259142	0.0321001	0.0129246	0.0107636	0.00171852	0.000903518	0.000885066	0.000663119	0.000701449	0.000446419	0.000104307
g	0.964324	0.0165989	0.000346844	0.0010919	0.000478435	0.00144663	0.000301788	0.000980966	0.0115395	0.000773107	0.00165254	0.000277736	9.60889e-05	8.18251e-05	9.35161e-06
á	0.972336	0.0154236	0.00266764	0.000536756	0.000180083	0.000226096	0.000145764	0.000271593	0.00642756	0.00046214	0.000949115	0.00020569	0.000125749	2.26213e-05	1.96363e-05
í	0.0474256	0.209039	0.106296	0.123291	0.043888	0.0469437	0.0315312	0.0409771	0.0201675	0.025355	0.0239225	0.028912	0.0562265	0.00305229	0.192973
m	0.0148696	0.117525	0.753566	0.0271371	0.0138789	0.002606	0.00246108	0.00221561	0.00348812	0.0214323	0.0154657	0.0103201	0.00383313	0.00460745	0.00659321
i	0.000149927	0.0236323	0.738052	0.123946	0.0580066	0.00988303	0.00711251	0.00189686	0.000272009	0.00340091	0.00471599	0.00689218	0.00333115	0.000699221	0.0180092
i	0.000655251	0.0156093	0.707867	0.120032	0.10201	0.0134931	0.0093623	0.00236402	0.000656447	0.00346595	0.00412432	0.00487892	0.00198995	0.00135933	0.0121311
o	0.000344038	0.0113521	0.547185	0.137169	0.179119	0.0252801	0.0225382	0.00581429	0.000620708	0.00615913	0.00738677	0.0107366	0.0052741	0.00607801	0.0349424
k	5.86451e-05	0.00616187	0.200512	0.216571	0.373089	0.063901	0.049397	0.0099653	0.00111392	0.00954178	0.0150353	0.0174233	0.00722627	0.0031457	0.0268578
y	4.2947e-06	0.000220792	0.00430015	0.111543	0.542113	0.0538447	0.15064	0.0158341	0.000109103	0.00786075	0.0083647	0.0247417	0.00693348	0.0310128	0.0424772
ε	2.53688e-05	0.00121173	0.00474557	0.0791587	0.722534	0.0579564	0.0766975	0.0163894	0.0005102	0.00596418	0.00668204	0.0099565	0.00299211	0.00101309	0.0141635
m	4.46557e-05	0.000458833	0.000282245	0.0566599	0.416665	0.275378	0.127336	0.0610079	0.00162765	0.00618613	0.0152214	0.00920776	0.00660987	0.000873649	0.0224404
i	0.00824896	0.00213033	0.0146416	0.101554	0.36854	0.222184	0.0737351	0.0748483	0.0124099	0.0115907	0.026493	0.0340071	0.0185852	0.00107542	0.0299566
t	0.00083881	0.00621019	0.00127913	0.0254006	0.0788496	0.172067	0.161091	0.269506	0.138534	0.0532856	0.0626844	0.0169735	0.0071268	0.001004	0.00514903
s	0.00157607	0.000744786	0.000716746	0.0220642	0.074774	0.17293	0.446979	0.203071	0.00645294	0.0136033	0.00672091	0.0153634	0.00819055	0.00503141	0.0217812
í	2.09526e-05	0.000323002	0.00016559	0.0147964	0.28029	0.152552	0.225551	0.236907	0.00639621	0.0197954	0.0203901	0.0206852	0.00899359	0.00153737	0.0115954
n	0.00270096	0.00281373	0.000731329	0.0111041	0.0895762	0.156648	0.198217	0.250421	0.150342	0.0423987	0.0489238	0.0102612	0.00634291	0.00197204	0.0275477
a	0.0219257	0.00603927	0.00189381	0.00462608	0.0152885	0.0399377	0.0354096	0.109792	0.492812	0.058625	0.0727799	0.0141824	0.00463199	0.000198904	0.121858
n	0.000235888	0.00454607	0.00184497	0.004711	0.00527179	0.0290499	0.0466215	0.240995	0.117646	0.19235	0.152882	0.117924	0.07018	0.00178001	0.0139619
g	0.013274	0.00836071	0.00192019	0.00442592	0.00237713	0.00737605	0.00665181	0.0417144	0.544008	0.0960457	0.131221	0.0311707	0.0225488	0.000611763	0.0882941
á	0.00329166	0.00265815	0.000608105	0.00161568	0.00107178	0.0109401	0.0133332	0.0658755	0.690371	0.0592473	0.093873	0.0265656	0.024195	0.000863964	0.00548962
i	9.97063e-05	0.00173728	0.00199405	0.00460916	0.00454336	0.0156108	0.0372712	0.0879224	0.0195238	0.103662	0.0747453	0.256996	0.244919	0.0464125	0.0999526
b	5.74739e-05	0.00151756	0.00267866	0.00599742	0.00770157	0.00382098	0.0108971	0.0189765	0.00479115	0.117463	0.0927337	0.29254	0.167305	0.205559	0.0679601
o	3.51511e-05	0.00347768	0.00259127	0.00958377	0.0137424	0.00412589	0.00822083	0.0164585	0.00253289	0.10731	0.143627	0.136096	0.0510819	0.482825	0.0182921
ó	9.17311e-07	0.000128764	0.000205008	0.00231912	0.00615465	0.00283076	0.0081829	0.00852103	0.000481578	0.0336826	0.0597105	0.19648	0.216856	0.345543	0.118904
b	0.000192987	0.00338959	0.00122492	0.00673001	0.00459886	0.00615629	0.00653629	0.0218531	0.00939264	0.066859	0.0582931	0.171926	0.3064	0.0818304	0.254617
ó	0.000575208	0.00215831	0.000536463	0.00995588	0.0304718	0.0230456	0.0150206	0.0731483	0.0310713	0.151147	0.238712	0.107729	0.0979493	0.194478	0.0240016
l	6.87368e-05	0.00117559	0.000252503	0.00350102	0.00560413	0.00955995	0.0147712	0.0543723	0.0120639	0.0588352	0.0682413	0.1294	0.339031	0.169821	0.133303
í	0.000484923	0.000616643	0.000716632	0.00409114	0.00497369	0.00366517	0.00666449	0.00714029	0.00784671	0.0758345	0.0543481	0.137436	0.145843	0.119186	0.431152
i	0.000445266	0.00149541	0.000534749	0.00348543	0.00325968	0.00480638	0.00523864	0.0133202	0.0094847	0.040791	0.0606061	0.124307	0.305607	0.112993	0.313625
y	1.12884e-05	0.0014151	0.00829236	0.00980572	0.00568306	0.00188205	0.00252257	0.00237189	0.00129356	0.0277938	0.0358904	0.101878	0.190735	0.377457	0.232968
ó	2.79749e-05	0.000730088	0.00811711	0.00859373	0.00324091	0.00612805	0.00370926	0.00850226	0.00577496	0.0675724	0.153466	0.16527	0.234525	0.0310617	0.303281
m	3.81392e-05	0.000444427	0.00088385	0.00337972	0.00188732	0.00211042	0.00204708	0.00238988	0.000661585	0.0125777	0.0273039	0.0764866	0.158065	0.216348	0.495376
a	4.2863e-06	4.43869e-05	0.000372974	0.00304137	0.00122015	0.0012186	0.00107949	0.00233625	0.000404532	0.00915735	0.0286652	0.0895449	0.175982	0.0662413	0.620687
a	0.000170561	0.00260084	0.00120989	0.0143702	0.0141326	0.0180191	0.0112899	0.0243987	0.0184276	0.0466506	0.0523404	0.0908262	0.153747	0.0394237	0.512393
</S>	0.000380456	0.00664971	0.00437525	0.01894	0.0292975	0.0304067	0.0210029	0.0322607	0.0125979	0.0599249	0.0745334	0.109953	0.153148	0.0342006	0.412329
