 	cette	forêt	a	excessivement	de	silures	iswa	</S>
k	0.118341	0.580257	0.0185393	0.00354891	0.243361	0.0358483	9.927e-05	5.82048e-06
ω	0.21454	0.469585	0.0293822	0.219439	0.0222531	0.0244889	0.015832	0.00447959
y	0.00626849	0.023729	0.0267174	0.868153	0.0646649	0.00638616	0.00286696	0.00121415
é	0.0162246	0.00994338	0.0530752	0.88054	0.0362894	0.00150797	0.000422756	0.00199626
é	0.0698702	0.00614574	0.0619793	0.211048	0.489391	0.110028	0.0268056	0.0247333
d	0.0110753	0.00217384	0.0144839	0.011736	0.2546	0.515459	0.12794	0.0625322
í	0.000663703	1.5293e-05	0.000389882	0.000373151	0.0164887	0.425664	0.30196	0.254445
l	0.0127512	6.00092e-05	0.00144345	0.0016669	0.0678343	0.195883	0.186903	0.533458
i	0.00337014	0.000684304	0.00706332	0.00710839	0.161295	0.333015	0.146764	0.3407
s	0.00317245	0.000302041	0.00285042	0.00415123	0.0240398	0.0275156	0.815198	0.122771
w	0.00222192	5.89702e-05	0.000728964	0.000399798	0.00195436	0.0239058	0.885216	0.0855142
a	0.00999946	0.000184929	0.000822459	0.00113839	0.00615727	0.0771465	0.760713	0.143838
</S>	0.00125017	3.43875e-05	0.000285498	0.000933243	0.00470625	0.00795605	0.0461295	0.938705
