 	l'	enfant	s'	est	fermément	saisi	sa	mère	</S>
m	0.723791	0.259865	0.00844264	0.00110958	0.000592522	0.00436242	0.00155742	3.92818e-06	0.000275551
w	0.0272744	0.956515	0.00808145	0.000678947	0.000115562	0.00274582	0.000656773	2.82493e-05	0.00390344
á	0.028706	0.962253	0.00411887	0.000909517	0.00010618	0.00319308	0.000392426	5.97563e-05	0.000261083
n	0.26616	0.719625	0.0101354	0.000541515	5.18144e-05	0.00140316	0.000708279	9.83208e-06	0.00136518
a	0.159854	0.500302	0.180779	0.0431934	0.0102232	0.00998904	0.0290874	0.0136524	0.0529201
á	0.455063	0.0510286	0.309059	0.131737	0.0299459	0.00184185	0.0167332	0.000543536	0.00404902
p	0.0322412	0.00798421	0.150319	0.2339	0.519226	0.0133052	0.0050035	0.00771083	0.03031
i	0.000479099	0.000354058	0.0202546	0.190781	0.772357	0.00987595	0.000713183	0.000330266	0.00485426
i	0.0401646	0.00200992	0.0882531	0.181829	0.581837	0.044236	0.0225517	0.011596	0.0275221
n	0.0171999	0.0207597	0.277921	0.0817001	0.017371	0.0616227	0.386094	0.0776577	0.0596733
g	0.0314999	0.0011355	0.00951265	0.0074392	0.00174817	0.0235646	0.708968	0.208355	0.0077772
ó	0.0234742	0.00564987	0.0338153	0.0269493	0.0142896	0.0829583	0.0779814	0.702734	0.0321476
o	0.00409745	0.000549695	0.0480348	0.0524793	0.0386248	0.182447	0.038479	0.488854	0.146433
m	0.00977279	0.000181142	0.0297467	0.0699006	0.0478057	0.396579	0.25531	0.0877177	0.102987
b	0.00164147	9.87273e-05	0.00522959	0.00598192	0.00116257	0.381877	0.16781	0.00770657	0.428492
v	0.000188717	0.000108604	0.00114684	0.000673818	0.000104395	0.973736	0.00392811	0.000959221	0.0191544
ε	0.000324383	0.000143242	0.00423999	0.00252245	0.000368775	0.873678	0.00965756	0.00151519	0.107551
</S>	0.000510028	6.75516e-05	0.0185548	0.0119232	0.00035839	0.185591	0.00819364	0.00297422	0.771827
