 	ngala	était	l'	enfant	préféré	de	leur	père	</S>
n	0.824019	0.00557556	0.0501715	0.0613988	0.0301284	0.010222	0.0157825	0.00225374	0.00044813
g	0.794957	0.00846249	0.0939787	0.0436239	0.0281058	0.00258529	0.0280406	0.000142498	0.000103655
a	0.738841	0.0239843	0.0471125	0.0820338	0.0542483	0.0087329	0.0392759	0.00385638	0.0019154
l	0.261769	0.107464	0.378672	0.132635	0.0122388	0.0145073	0.0573231	0.0159667	0.0194244
a	0.235505	0.0757174	0.119733	0.0396809	0.0262748	0.0836	0.120768	0.109968	0.188753
á	0.0737945	0.126703	0.233599	0.0559806	0.0539717	0.076713	0.157469	0.0709561	0.150814
d	0.0139303	0.738765	0.115497	0.0380638	0.00263967	0.0109179	0.00758547	0.00482221	0.0677788
z	0.00121722	0.862996	0.0618553	0.0156579	0.000769493	0.0205095	0.00531385	0.00313124	0.0285496
a	0.0621991	0.810436	0.0347082	0.0711297	0.00157305	0.00905269	0.00313261	0.00235553	0.00541273
m	0.00682536	0.310205	0.334786	0.0877626	0.0133118	0.0295729	0.0564458	0.0109606	0.15013
w	0.00181735	0.151625	0.144157	0.606225	0.00334108	0.0254262	0.0148909	0.0107774	0.0417405
á	0.00094654	0.0263408	0.018737	0.898796	0.0287982	0.0123313	0.0071163	0.00247778	0.00445603
n	0.0221643	0.0159915	0.146511	0.692179	0.024491	0.0097002	0.0514698	0.0035068	0.0339867
a	0.0147247	0.0382183	0.0842905	0.796283	0.00493963	0.00495193	0.0247121	0.00647808	0.0254014
y	0.00446981	0.173496	0.352304	0.125445	0.177204	0.0901616	0.0360314	0.0130479	0.0278409
a	0.00275373	0.19308	0.313156	0.119174	0.111701	0.116792	0.0372863	0.0599277	0.0461289
k	0.00404748	0.0230499	0.277282	0.0774497	0.196756	0.163342	0.161334	0.0549587	0.0417811
w	0.000407786	0.00233527	0.0355646	0.127321	0.439935	0.210819	0.00308596	0.158873	0.021659
é	0.00150858	0.00716698	0.0725227	0.0685111	0.475635	0.234516	0.0150584	0.0710836	0.0539982
n	0.000307942	0.00210767	0.017522	0.0275899	0.183751	0.140669	0.0289806	0.302872	0.2962
d	0.0019871	0.0036158	0.0213991	0.0567694	0.497729	0.134329	0.0481268	0.0980265	0.138017
é	0.000269557	0.00501464	0.0314341	0.0200926	0.373388	0.228427	0.0798516	0.0347647	0.226757
y	0.000505257	0.0038249	0.0581271	0.0188395	0.182773	0.296544	0.0957121	0.187538	0.156136
a	0.000151534	0.00761986	0.0383927	0.00436089	0.0428015	0.432111	0.135598	0.195508	0.143457
t	0.000287394	0.00110732	0.0118877	0.0015639	0.0173988	0.173983	0.373558	0.251837	0.168377
á	0.000350209	0.000710064	0.00432318	0.00806308	0.00907075	0.14267	0.0209591	0.773907	0.0399465
á	0.000369613	0.00106365	0.00452193	0.00169511	0.00471206	0.0960209	0.0922741	0.711192	0.0881508
y	0.000200397	0.0110211	0.00842937	0.00404265	0.00738323	0.0956713	0.343649	0.304063	0.22554
a	0.000155143	0.00694627	0.0285959	0.00169285	0.00907914	0.208292	0.276955	0.209276	0.259007
b	0.000170149	0.000660854	0.0070708	0.000566184	0.00409072	0.0608453	0.596682	0.170182	0.159732
á	0.000321507	0.000497215	0.0106555	0.0141687	0.00224496	0.149646	0.551573	0.248141	0.0227519
a	0.000413603	0.000362426	0.00524944	0.00188271	0.000756898	0.0526007	0.445457	0.409992	0.0832852
</S>	3.90966e-05	0.00443012	0.00333737	0.000921153	0.00505334	0.059089	0.0506617	0.124564	0.751904
