 	l'	abondance	de	nourriture	m'	a	sauvé	de	la	disette	</S>
o	0.920441	0.0330125	0.00827119	0.0287194	0.0021782	0.000595844	0.000212326	0.00416444	0.00217483	5.376e-05	0.000176175
y	0.0276355	0.955356	0.00376489	0.000459671	0.000603844	0.00065307	0.00574635	0.00123509	0.0013919	0.00188589	0.00126759
í	0.0313189	0.936887	0.00967633	0.00117298	0.00109309	0.00153133	0.0112621	0.00126349	0.000966623	0.00342161	0.0014061
l	0.0100873	0.831057	0.00803604	0.00122122	0.00124126	0.00563693	0.112302	0.00565005	0.00361089	0.00474487	0.0164128
í	0.149141	0.520876	0.100529	0.0195533	0.0241409	0.0353471	0.0245621	0.0228806	0.0113207	0.00413844	0.0875112
í	0.187591	0.163245	0.341137	0.0955226	0.0534275	0.0830002	0.0460012	0.00997305	0.00421791	0.000752698	0.0151323
m	0.0594954	0.0461438	0.189545	0.0615517	0.230045	0.179124	0.179422	0.024446	0.00898601	0.00101965	0.0202216
á	0.0535465	0.273239	0.201425	0.130852	0.0319807	0.163102	0.0736202	0.0146304	0.0075336	0.000970093	0.0491004
t	0.0200577	0.0156444	0.164111	0.197482	0.15847	0.197249	0.111359	0.0449085	0.0255515	0.00254101	0.0626265
ú	0.0148536	0.0187845	0.182451	0.215366	0.0909899	0.227807	0.101926	0.0371328	0.0289257	0.0291169	0.0526472
n	0.04971	0.0653435	0.145276	0.143895	0.0707567	0.094623	0.0289751	0.0526254	0.0701096	0.122074	0.156612
g	0.0455168	0.0572071	0.146661	0.146356	0.171501	0.112264	0.0884083	0.0428745	0.0628831	0.0452686	0.08106
u	0.0545259	0.0929917	0.106043	0.0321726	0.311699	0.101159	0.150588	0.0256136	0.0363047	0.0495151	0.0393875
ó	0.00311178	0.00304352	0.104103	0.0336019	0.239912	0.395112	0.115827	0.0701276	0.0210936	0.00145375	0.0126143
s	0.00633056	0.0478792	0.0204422	0.00934805	0.0151474	0.223999	0.498187	0.11704	0.034378	0.00831253	0.0189367
í	0.000287753	0.0077987	0.00232093	0.000925431	0.00702541	0.0457226	0.904305	0.0110761	0.00698005	0.0045039	0.00905433
í	0.000967902	0.00438812	0.0258279	0.0136927	0.0183597	0.0606666	0.670625	0.0505382	0.0303959	0.0214631	0.103075
s	0.00184633	0.000930673	0.0129847	0.0117306	0.120112	0.115295	0.0822339	0.423071	0.18869	0.0182193	0.0248873
i	0.0013177	0.0091951	0.00664491	0.00401667	0.0315253	0.0544262	0.37834	0.128054	0.157913	0.0787493	0.149818
n	0.00200884	0.00120349	0.00656325	0.00640755	0.0391887	0.0133108	0.012649	0.303745	0.336058	0.241081	0.0377835
g	0.000208388	0.00118305	0.00108265	0.000556841	0.127087	0.00399057	0.0141979	0.0540307	0.111055	0.667861	0.0187466
á	8.11032e-05	0.00126175	0.00141063	0.000228884	0.0523571	0.00376188	0.0122202	0.0373766	0.0665737	0.796405	0.0283233
n	0.000251845	0.000218441	0.00339682	0.00156572	0.00216749	0.00399999	0.00504329	0.339591	0.351564	0.0958136	0.196387
d	0.000641738	0.00633831	0.0063149	0.000619063	0.00301379	0.00411239	0.0138975	0.114436	0.174941	0.503826	0.171859
z	1.02774e-05	0.000457408	0.000468594	4.235e-05	0.00232427	0.000567701	0.00718669	0.00928949	0.0262662	0.913481	0.0399059
a	1.36536e-05	0.00043936	0.000391158	8.86172e-05	0.00165808	0.00154493	0.0178527	0.0119115	0.0478201	0.82283	0.0954499
a	0.000170993	0.000651697	0.00130199	0.0011773	0.00171218	0.00475814	0.020382	0.0473314	0.0563835	0.0925433	0.773588
</S>	0.000864119	0.000945259	0.0045182	0.000692369	0.00688259	0.0165587	0.012133	0.215254	0.137115	0.0312568	0.57378
