 	le	manche	de	la	machette	s'	est	cassé	</S>
p	0.455569	0.372143	0.0603542	0.0873912	0.0156238	0.0065087	0.00106727	0.00101142	0.000331443
á	0.0139022	0.871624	0.00595495	0.0101064	0.0909562	0.00161876	0.000609062	0.00465563	0.000572297
n	0.0285219	0.73516	0.0354337	0.0371216	0.108726	0.00774149	0.00296411	0.00147879	0.0428523
d	0.183511	0.645837	0.0252388	0.0643994	0.058536	0.00420083	0.00068371	0.00152147	0.0160723
e	0.144364	0.618428	0.0379774	0.0348524	0.0885586	0.00560958	0.000545258	0.00104055	0.0686249
y	0.250512	0.0592133	0.344784	0.211202	0.0238886	0.0713939	0.0131379	0.00495759	0.0209099
ó	0.183256	0.0419838	0.461607	0.171041	0.0691687	0.0372613	0.00690777	0.00169625	0.0270789
k	0.167241	0.0228938	0.268775	0.236818	0.109935	0.122304	0.015511	0.00742068	0.0491016
w	0.00777011	0.00933754	0.00330552	0.0283698	0.929864	0.00990926	0.00112167	0.0068893	0.00343272
á	0.00882262	0.0119195	0.0222584	0.176529	0.578474	0.121825	0.0194145	0.0356145	0.0251432
í	0.00664029	0.0306848	0.0927184	0.145621	0.383895	0.130878	0.0133107	0.00975282	0.186499
é	0.0131782	0.00207083	0.140313	0.121338	0.0250553	0.595294	0.0677903	0.00462102	0.0303396
m	0.00462731	0.00135456	0.0289219	0.0324951	0.023461	0.173777	0.674744	0.0339484	0.0266707
i	0.00628838	0.000238709	0.0350182	0.0299224	0.00191936	0.0720658	0.427021	0.147609	0.279917
p	0.0004879	0.000249708	0.00284388	0.00460065	0.0123913	0.0334019	0.543743	0.225496	0.176786
a	0.000718546	0.000766427	0.00582667	0.0165734	0.0220697	0.0433338	0.426899	0.361593	0.12222
s	0.00049865	0.00164581	0.0106058	0.0365095	0.0223274	0.0773267	0.327309	0.35511	0.168667
a	0.00905181	0.00245843	0.0132556	0.043115	0.0335117	0.0611327	0.179554	0.368031	0.28989
</S>	0.00204709	0.000479153	0.0324938	0.0387375	0.000869348	0.0608021	0.211698	0.175156	0.477716
